file,vars,vector_lengths,rpm,status
source_domain\cwru_12khz_de\B007_0.mat,"X118_DE_time:(96000, 1):double | X118_FE_time:(96000, 1):double | X118_BA_time:(96000, 1):double | X118RPM:(1, 1):double",96000;96000;96000;1,1796.000,OK
source_domain\cwru_12khz_de\B007_1.mat,"X119_DE_time:(96000, 1):double | X119_FE_time:(96000, 1):double | X119_BA_time:(96000, 1):double | X119RPM:(1, 1):double",96000;96000;96000;1,1772.000,OK
source_domain\cwru_12khz_de\B007_2.mat,"X120_DE_time:(96000, 1):double | X120_FE_time:(96000, 1):double | X120_BA_time:(96000, 1):double | X120RPM:(1, 1):double",96000;96000;96000;1,1748.000,OK
source_domain\cwru_12khz_de\B007_3.mat,"X121_DE_time:(96000, 1):double | X121_FE_time:(96000, 1):double | X121_BA_time:(96000, 1):double | X121RPM:(1, 1):double",96000;96000;96000;1,1722.000,OK
source_domain\cwru_12khz_de\B014_0.mat,"X185_DE_time:(96000, 1):double | X185_FE_time:(96000, 1):double | X185_BA_time:(96000, 1):double | X185RPM:(1, 1):double",96000;96000;96000;1,1796.000,OK
source_domain\cwru_12khz_de\B014_1.mat,"X186_DE_time:(96000, 1):double | X186_FE_time:(96000, 1):double | X186_BA_time:(96000, 1):double | X186RPM:(1, 1):double",96000;96000;96000;1,1772.000,OK
source_domain\cwru_12khz_de\B014_2.mat,"X187_DE_time:(96000, 1):double | X187_FE_time:(96000, 1):double | X187_BA_time:(96000, 1):double | X187RPM:(1, 1):double",96000;96000;96000;1,1749.000,OK
source_domain\cwru_12khz_de\B014_3.mat,"X188_DE_time:(96000, 1):double | X188_FE_time:(96000, 1):double | X188_BA_time:(96000, 1):double | X188RPM:(1, 1):double",96000;96000;96000;1,1724.000,OK
source_domain\cwru_12khz_de\B021_0.mat,"X222_DE_time:(96000, 1):double | X222_FE_time:(96000, 1):double | X222_BA_time:(96000, 1):double | X222RPM:(1, 1):double",96000;96000;96000;1,1796.000,OK
source_domain\cwru_12khz_de\B021_1.mat,"X223_DE_time:(96000, 1):double | X223_FE_time:(96000, 1):double | X223_BA_time:(96000, 1):double | X223RPM:(1, 1):double",96000;96000;96000;1,1774.000,OK
source_domain\cwru_12khz_de\B021_2.mat,"X224_DE_time:(96000, 1):double | X224_FE_time:(96000, 1):double | X224_BA_time:(96000, 1):double | X224RPM:(1, 1):double",96000;96000;96000;1,1754.000,OK
source_domain\cwru_12khz_de\B021_3.mat,"X225_DE_time:(96000, 1):double | X225_FE_time:(96000, 1):double | X225_BA_time:(96000, 1):double | X225RPM:(1, 1):double",96000;96000;96000;1,1729.000,OK
source_domain\cwru_12khz_de\B028_0_(1797rpm).mat,"X048_DE_time:(96000, 1):double",96000,,OK
source_domain\cwru_12khz_de\B028_1_(1772rpm).mat,"X049_DE_time:(96000, 1):double",96000,,OK
source_domain\cwru_12khz_de\B028_2_(1750rpm).mat,"X050_DE_time:(96000, 1):double",96000,,OK
source_domain\cwru_12khz_de\B028_3_(1730rpm).mat,"X051_DE_time:(96000, 1):double",96000,,OK
source_domain\cwru_12khz_de\IR007_0.mat,"X105_DE_time:(96000, 1):double | X105_FE_time:(96000, 1):double | X105_BA_time:(96000, 1):double | X105RPM:(1, 1):double",96000;96000;96000;1,1797.000,OK
source_domain\cwru_12khz_de\IR007_1.mat,"X106_DE_time:(96000, 1):double | X106_FE_time:(96000, 1):double | X106_BA_time:(96000, 1):double | X106RPM:(1, 1):double",96000;96000;96000;1,1772.000,OK
source_domain\cwru_12khz_de\IR007_2.mat,"X107_DE_time:(96000, 1):double | X107_FE_time:(96000, 1):double | X107_BA_time:(96000, 1):double | X107RPM:(1, 1):double",96000;96000;96000;1,1748.000,OK
source_domain\cwru_12khz_de\IR007_3.mat,"X108_DE_time:(96000, 1):double | X108_FE_time:(96000, 1):double | X108_BA_time:(96000, 1):double | X108RPM:(1, 1):double",96000;96000;96000;1,1721.000,OK
source_domain\cwru_12khz_de\IR014_0.mat,"X169_DE_time:(96000, 1):double | X169_FE_time:(96000, 1):double | X169_BA_time:(96000, 1):double | X169RPM:(1, 1):double",96000;96000;96000;1,1796.000,OK
source_domain\cwru_12khz_de\IR014_1.mat,"X170_DE_time:(96000, 1):double | X170_FE_time:(96000, 1):double | X170_BA_time:(96000, 1):double | X170RPM:(1, 1):double",96000;96000;96000;1,1774.000,OK
source_domain\cwru_12khz_de\IR014_2.mat,"X171_DE_time:(96000, 1):double | X171_FE_time:(96000, 1):double | X171_BA_time:(96000, 1):double | X171RPM:(1, 1):double",96000;96000;96000;1,1752.000,OK
