domain,subgroup,file,relative_path,label,fs,rpm,signal_var,signal_length,window_index,window_start,mean,std,rms,peak_abs,ptp,skewness,kurtosis,crest_factor,impulse_factor,shape_factor,clearance_factor,dominant_freq_0_6k,spectral_centroid_0_6k,f95_0_6k,spectral_entropy_0_6k,energy_0_500,energy_500_1500,energy_1500_3000,energy_3000_6000
source,source_12khz_de,B007_0.mat,source_domain\cwru_12khz_de\B007_0.mat,B,12000,1796.0,X118_DE_time,96000,0,0,0.002387676693922286,0.13690125682977103,0.1369220768231538,0.5252523180000231,1.0384477844311375,-0.04038419214716789,2.9833362760863316,3.836140454359262,4.811997879614632,1.2543852178590837,5.688009839372088,3263.671875,2987.004862521247,3489.2578125,0.7307432111936367,0.01927078635583422,0.06956812018964158,0.19198457199746655,0.71864346830858
source,source_12khz_de,B007_0.mat,source_domain\cwru_12khz_de\B007_0.mat,B,12000,1796.0,X118_DE_time,96000,1,24000,0.0008192707624518932,0.13855406326016326,0.13855648541473448,0.5794689993652463,1.067686107784431,-0.0011300039374075358,2.98572854569911,4.182186042223627,5.2460931124485946,1.2543901824179575,6.201019106008864,3231.4453125,2984.1482985291145,3495.1171875,0.7298818116590521,0.017785105941326325,0.07106797410917717,0.2133350018760064,0.696934491043372
source,source_12khz_de,B007_0.mat,source_domain\cwru_12khz_de\B007_0.mat,B,12000,1796.0,X118_DE_time,96000,2,48000,-0.00045570964340306373,0.13642622484960942,0.13642698595950611,0.562125092451121,1.0348742115768463,-0.010482812654352185,2.9356480789550816,4.120336519153542,5.16596242622423,1.2537719679381014,6.110504339254575,3445.3125,2991.7873252585027,3512.6953125,0.725473092264128,0.020521530212570062,0.06597775246448448,0.21171212450347704,0.7012664157155366
source,source_12khz_de,B007_0.mat,source_domain\cwru_12khz_de\B007_0.mat,B,12000,1796.0,X118_DE_time,96000,3,84000,-0.0014590037585061903,0.1394774684919216,0.13948509923601993,0.5702468489381469,1.1235637924151696,0.008731575887583163,2.9840799591140414,4.088227717923873,5.1053512250632505,1.2487932613546542,6.0117217744012175,3263.671875,3033.6547074824884,3498.046875,0.7093236109946717,0.019002015830061995,0.058433205968134325,0.16701599386872068,0.7550067917963426
source,source_12khz_de,B007_1.mat,source_domain\cwru_12khz_de\B007_1.mat,B,12000,1772.0,X119_DE_time,96000,0,0,-0.0002617213818709649,0.13906761742654788,0.13906786370250468,0.6357777057205909,1.2310958483033931,0.005484142964180311,3.0928792755118284,4.57170829255047,5.738903091742551,1.255308240259498,6.77916022574272,3372.0703125,3063.6011025954203,3480.46875,0.6957152584467257,0.016502096192963358,0.043946329338053064,0.1892316007021268,0.74710817643829
source,source_12khz_de,B007_1.mat,source_domain\cwru_12khz_de\B007_1.mat,B,12000,1772.0,X119_DE_time,96000,1,24000,-0.00016592526410649376,0.13963737014338387,0.13963746872438523,0.6635408970738204,1.251075369261477,0.02646547137285701,2.980051624660662,4.751882880222912,5.95420812143617,1.2530208070099185,7.035701983356339,3477.5390625,3063.464724433215,3486.328125,0.7097683920420624,0.01972784986971545,0.04202003643479308,0.1847396552131911,0.7487663380353061
source,source_12khz_de,B007_1.mat,source_domain\cwru_12khz_de\B007_1.mat,B,12000,1772.0,X119_DE_time,96000,2,48000,0.00012377778978572187,0.13872684208207436,0.13872689730187887,0.5509733521636407,1.0399097005988023,0.007907843192723451,2.9626231340109044,3.9716404163549823,4.9581924162760656,1.2483991239042636,5.8318397684898935,3477.5390625,3058.6178648118967,3506.8359375,0.7112382054806554,0.01910005532031708,0.04591538638404883,0.1928445066935405,0.7400727021936165
source,source_12khz_de,B007_1.mat,source_domain\cwru_12khz_de\B007_1.mat,B,12000,1772.0,X119_DE_time,96000,3,84000,0.00014819720429004623,0.13755101612152396,0.1375510959551944,0.4725304003313692,0.9445602794411178,-0.010250368484024002,2.8530429807420647,3.435308145286279,4.271536989567257,1.2434217860186272,5.011223445791054,3477.5390625,3055.960556547245,3492.1875,0.714387329258238,0.021308090358460048,0.04419090268851845,0.1845510081050903,0.7465042535912935
source,source_12khz_de,B007_2.mat,source_domain\cwru_12khz_de\B007_2.mat,B,12000,1748.0,X120_DE_time,96000,0,0,0.00017490285133529393,0.14654074173660628,0.14654084611371035,0.5477153261314418,1.084579361277445,0.024258278233095443,2.7747674679584056,3.737629068298794,4.621787131219762,1.2365558611443106,5.40876406493455,3430.6640625,3102.3849100554435,3489.2578125,0.6676013963539607,0.012704361943025176,0.051371011465299155,0.14685610841412786,0.7856680904597829
source,source_12khz_de,B007_2.mat,source_domain\cwru_12khz_de\B007_2.mat,B,12000,1748.0,X120_DE_time,96000,1,24000,8.959733569989829e-05,0.14960836114045006,0.14960838796943804,0.6000194379078888,1.1349342514970058,0.028606560228198886,2.8969941028011816,4.010600248071986,5.002500279424607,1.2473195955632872,5.890992372502599,3430.6640625,3104.036205702658,3489.2578125,0.665608621873059,0.01234194238504568,0.05157748723919604,0.14706065719608866,0.7874568443469129
