figure_id,row,field,expected,re_read,pass
F01,0,time_s,0.0,0.0,True
F01,0,demeaned_amplitude_original_unit,0.20634916526923078,0.2063491652692307,True
F01,19199,demeaned_amplitude_original_unit,-0.07814998726923077,-0.0781499872692307,True
F02,0,frequency_hz,0.0,0.0,True
F02,1521,relative_psd_db,-38.941832308245736,-38.941832308245736,True
F02,3041,theoretical_source_fault_frequency_hz,141.08907248279553,141.08907248279553,True
F03,0,td_rms,0.1464522483861895,0.1464522483861895,True
F03,0,fd_entropy_0_6k,0.7461123514519089,0.7461123514519089,True
F03,55,env_entropy_0_500,0.810649606751377,0.810649606751377,True
S01,0,spearman_rho,1.0,1.0,True
S01,392,spearman_rho,-0.23267259056732742,-0.2326725905673274,True
S01,783,spearman_rho,1.0,1.0,True
F04,0,file_count,25.0,25.0,True
F04,16,precision,1.0,1.0,True
F04,19,support_files,4.0,4.0,True
F05,0,outer_test_load,0.0,0.0,True
F05,2000,macro_f1,0.8958333333333334,0.8958333333333334,True
F05,2007,rep,1999.0,1999.0,True
F06,0,pc1,-25.399398462652826,-25.399398462652822,True
F06,0,explained_variance_pc1,0.9797502623501344,0.9797502623501344,True
F06,71,explained_variance_pc2,0.01300945815456726,0.0130094581545672,True
F07,0,seed,20260916.0,20260916.0,True
F07,6,macro_f1,0.8974358974358975,0.8974358974358975,True
F07,11,min_class_recall,0.8571428571428571,0.8571428571428571,True
F08,0,p_OR,0.4355555555555555,0.4355555555555555,True
F08,8,p_N,0.0933333333333333,0.0933333333333333,True
F08,15,entropy_norm,0.8356148493432434,0.8356148493432434,True
F09,0,window_start_s,0.0,0.0,True
F09,30,p_IR,0.16,0.16,True
F09,59,window_index,14.0,14.0,True
F10,0,rf_gini_importance,0.09491698791868,0.09491698791868,True
F10,0,rank,1.0,1.0,True
F10,11,rank,12.0,12.0,True
F11,0,path_importance,0.1259303767782357,0.1259303767782357,True
F11,0,rank,1.0,1.0,True
F11,19,rank,5.0,5.0,True
F12,0,value,0.2652592592592592,0.2652592592592592,True
F12,124,value,0.9999999999999998,0.9999999999999998,True
F12,247,value,-0.1552148918696961,-0.1552148918696961,True
