数字编号,含义,冻结值,单位,来源
N01,源域独立文件数,56.0,个,Q1C/STEP12
N02,源域窗口数（1 s/50%）,400.0,个,Q1C/STEP12
N03,目标独立文件数,16.0,个,Q1C/STEP12
N04,目标窗口数（1 s/50%）,240.0,个,Q1C
N05,共同特征维数,28.0,维,Q1C/Q2接口
N06,正常类独立文件数,4.0,个,STEP12
N07,Logistic基线文件级Macro-F1,0.8681849551414769,1,STEP07
N08,最终RF文件级Macro-F1,0.9392652056720966,1,STEP07/STEP12复现
N09,最终RF Balanced Accuracy,0.9523809523809523,1,STEP07
N10,A0模拟目标平均Macro-F1,0.9395947802197802,1,STEP09/STEP12
N11,CORAL模拟目标平均Macro-F1,0.8472413003663004,1,STEP09/STEP12
N12,实例加权模拟目标平均Macro-F1,0.9395947802197802,1,STEP09/STEP12
N13,A-P预测OR文件数,16.0,个,STEP10
N14,A-P very-low-trust文件数,16.0,个,STEP10
N15,窗口敏感性Macro-F1最小值,0.9392652056720966,1,STEP12
N16,窗口敏感性Macro-F1最大值,0.9520933977455716,1,STEP12
N17,去频域特征后的Macro-F1,0.8991666666666667,1,STEP12消融
