class,file,time_s,demeaned_amplitude_original_unit
OR,OR007@12_0.mat,0.0,0.20634916526923078
OR,OR007@12_0.mat,0.00020833333333333335,0.01296270373076921
OR,OR007@12_0.mat,0.0004166666666666667,0.021098703730769212
OR,OR007@12_0.mat,0.000625,-0.15831052703846155
OR,OR007@12_0.mat,0.0008333333333333334,-0.11575298857692307
OR,OR007@12_0.mat,0.0010416666666666667,0.1644174729615385
OR,OR007@12_0.mat,0.00125,-0.2563597578076923
OR,OR007@12_0.mat,0.0014583333333333334,0.14960578065384614
OR,OR007@12_0.mat,0.0016666666666666668,0.22533316526923078
OR,OR007@12_0.mat,0.001875,-0.11178929626923076
OR,OR007@12_0.mat,0.0020833333333333333,-0.0074816039615384685
OR,OR007@12_0.mat,0.0022916666666666667,0.25287039603846156
OR,OR007@12_0.mat,0.0025,-0.20524898857692306
OR,OR007@12_0.mat,0.0027083333333333334,0.061778703730769234
OR,OR007@12_0.mat,0.002916666666666667,0.11247224219230767
OR,OR007@12_0.mat,0.003125,0.031529472961538456
OR,OR007@12_0.mat,0.0033333333333333335,-0.040234219346153836
OR,OR007@12_0.mat,0.0035416666666666665,-0.16185698857692307
OR,OR007@12_0.mat,0.00375,0.16066239603846152
OR,OR007@12_0.mat,0.003958333333333334,-0.22444160396153845
OR,OR007@12_0.mat,0.004166666666666667,0.03319839603846155
OR,OR007@12_0.mat,0.004375,0.1798550114230769
OR,OR007@12_0.mat,0.004583333333333333,-0.21463668088461538
OR,OR007@12_0.mat,0.004791666666666666,0.30272947296153846
OR,OR007@12_0.mat,0.005,0.03006916526923075
OR,OR007@12_0.mat,0.005208333333333333,-0.3804859116538461
OR,OR007@12_0.mat,0.005416666666666667,0.24807224219230767
OR,OR007@12_0.mat,0.005625,-0.31644098857692304
OR,OR007@12_0.mat,0.005833333333333334,0.17151039603846155
OR,OR007@12_0.mat,0.0060416666666666665,-0.2346637578076923
OR,OR007@12_0.mat,0.00625,0.16483470373076922
OR,OR007@12_0.mat,0.006458333333333333,0.09828639603846154
OR,OR007@12_0.mat,0.006666666666666667,-0.3037154501153846
OR,OR007@12_0.mat,0.006875,0.3429922421923077
OR,OR007@12_0.mat,0.007083333333333333,-0.2672077578076923
OR,OR007@12_0.mat,0.007291666666666667,0.050096242192307676
OR,OR007@12_0.mat,0.0075,0.031320857576923065
OR,OR007@12_0.mat,0.0077083333333333335,-0.03272406549999999
OR,OR007@12_0.mat,0.007916666666666667,0.017969472961538467
OR,OR007@12_0.mat,0.008125,-0.005395450115384606
OR,OR007@12_0.mat,0.008333333333333333,0.06386485757692309
OR,OR007@12_0.mat,0.008541666666666666,0.11247224219230767
OR,OR007@12_0.mat,0.00875,-0.13807483473076923
OR,OR007@12_0.mat,0.008958333333333334,0.13980085757692304
OR,OR007@12_0.mat,0.009166666666666667,-0.15726745011538462
OR,OR007@12_0.mat,0.009375,0.08347470373076923
OR,OR007@12_0.mat,0.009583333333333333,-0.1249320655
OR,OR007@12_0.mat,0.009791666666666667,0.03048639603846153
OR,OR007@12_0.mat,0.01,0.26538731911538466
OR,OR007@12_0.mat,0.010208333333333333,-0.2997517578076923
OR,OR007@12_0.mat,0.010416666666666666,0.3659399345
OR,OR007@12_0.mat,0.010625,-0.10010683473076923
OR,OR007@12_0.mat,0.010833333333333334,0.06261316526923077
OR,OR007@12_0.mat,0.011041666666666667,-0.04753575780769231
OR,OR007@12_0.mat,0.01125,0.14772824219230765
OR,OR007@12_0.mat,0.011458333333333333,-0.1802151424230769
OR,OR007@12_0.mat,0.011666666666666667,-0.22339852703846153
OR,OR007@12_0.mat,0.011875,0.30335531911538455
OR,OR007@12_0.mat,0.012083333333333333,-0.2181831424230769
OR,OR007@12_0.mat,0.012291666666666666,0.061778703730769234
OR,OR007@12_0.mat,0.0125,0.1393836268076923
OR,OR007@12_0.mat,0.012708333333333334,0.052391011423076915
OR,OR007@12_0.mat,0.012916666666666667,-0.12826991165384616
OR,OR007@12_0.mat,0.013125,-0.018538219346153843
OR,OR007@12_0.mat,0.013333333333333334,0.20780947296153843
OR,OR007@12_0.mat,0.013541666666666667,-0.2334120655
OR,OR007@12_0.mat,0.01375,0.08806424219230771
OR,OR007@12_0.mat,0.013958333333333333,0.1164359345
OR,OR007@12_0.mat,0.014166666666666666,-0.006647142423076921
OR,OR007@12_0.mat,0.014375,-0.2640785270384615
OR,OR007@12_0.mat,0.014583333333333334,0.573720857576923
OR,OR007@12_0.mat,0.014791666666666667,-0.49772775780769224
OR,OR007@12_0.mat,0.015,0.21406793450000003
OR,OR007@12_0.mat,0.015208333333333334,-0.22006068088461536
OR,OR007@12_0.mat,0.015416666666666667,0.5084242421923076
OR,OR007@12_0.mat,0.015625,-0.2511443731923077
OR,OR007@12_0.mat,0.015833333333333335,0.14668516526923078
OR,OR007@12_0.mat,0.016041666666666666,0.1573245498846154
OR,OR007@12_0.mat,0.01625,-0.17917206549999998
OR,OR007@12_0.mat,0.016458333333333332,-0.05003914242307692
OR,OR007@12_0.mat,0.016666666666666666,0.0023233191153846176
OR,OR007@12_0.mat,0.016875,0.06136147296153845
OR,OR007@12_0.mat,0.017083333333333332,-0.24634621934615383
OR,OR007@12_0.mat,0.017291666666666667,0.33193562680769234
OR,OR007@12_0.mat,0.0175,-0.15580714242307692
OR,OR007@12_0.mat,0.017708333333333333,0.16921562680769234
OR,OR007@12_0.mat,0.017916666666666668,-0.33730252703846153
OR,OR007@12_0.mat,0.018125,0.2290882421923077
OR,OR007@12_0.mat,0.018333333333333333,0.02068147296153846
OR,OR007@12_0.mat,0.018541666666666668,-0.12096837319230769
OR,OR007@12_0.mat,0.01875,0.024019319115384623
OR,OR007@12_0.mat,0.018958333333333334,0.024436549884615376
