class,file,spectrum_type,frequency_hz,relative_psd_db,theoretical_source_fault_frequency_hz
OR,OR007@12_0.mat,vibration,0.0,-45.05542365779438,107.30428106701365
OR,OR007@12_0.mat,vibration,11.71875,-43.78870246063926,107.30428106701365
OR,OR007@12_0.mat,vibration,23.4375,-47.57509255852344,107.30428106701365
OR,OR007@12_0.mat,vibration,35.15625,-49.50116359914149,107.30428106701365
OR,OR007@12_0.mat,vibration,46.875,-50.55387789272974,107.30428106701365
OR,OR007@12_0.mat,vibration,58.59375,-49.888522085438645,107.30428106701365
OR,OR007@12_0.mat,vibration,70.3125,-52.4008332057645,107.30428106701365
OR,OR007@12_0.mat,vibration,82.03125,-49.508719316147314,107.30428106701365
OR,OR007@12_0.mat,vibration,93.75,-46.336262440769346,107.30428106701365
OR,OR007@12_0.mat,vibration,105.46875,-35.54097943607576,107.30428106701365
OR,OR007@12_0.mat,vibration,117.1875,-27.020333577121093,107.30428106701365
OR,OR007@12_0.mat,vibration,128.90625,-29.569762264083458,107.30428106701365
OR,OR007@12_0.mat,vibration,140.625,-23.81777248894614,107.30428106701365
OR,OR007@12_0.mat,vibration,152.34375,-18.505410731294422,107.30428106701365
OR,OR007@12_0.mat,vibration,164.0625,-17.18954644070886,107.30428106701365
OR,OR007@12_0.mat,vibration,175.78125,-25.106591233667856,107.30428106701365
OR,OR007@12_0.mat,vibration,187.5,-24.167690832329228,107.30428106701365
OR,OR007@12_0.mat,vibration,199.21875,-26.95299238855341,107.30428106701365
OR,OR007@12_0.mat,vibration,210.9375,-31.85740255585628,107.30428106701365
OR,OR007@12_0.mat,vibration,222.65625,-31.837622889063443,107.30428106701365
OR,OR007@12_0.mat,vibration,234.375,-32.002265370699575,107.30428106701365
OR,OR007@12_0.mat,vibration,246.09375,-30.09349218751467,107.30428106701365
OR,OR007@12_0.mat,vibration,257.8125,-27.670559181220828,107.30428106701365
OR,OR007@12_0.mat,vibration,269.53125,-24.891062557875806,107.30428106701365
OR,OR007@12_0.mat,vibration,281.25,-29.185064914879387,107.30428106701365
OR,OR007@12_0.mat,vibration,292.96875,-31.36605145272922,107.30428106701365
OR,OR007@12_0.mat,vibration,304.6875,-32.23232974804541,107.30428106701365
OR,OR007@12_0.mat,vibration,316.40625,-28.48628419101562,107.30428106701365
OR,OR007@12_0.mat,vibration,328.125,-23.949215947942953,107.30428106701365
OR,OR007@12_0.mat,vibration,339.84375,-28.268022114434594,107.30428106701365
OR,OR007@12_0.mat,vibration,351.5625,-23.191898384063002,107.30428106701365
OR,OR007@12_0.mat,vibration,363.28125,-20.870058640321567,107.30428106701365
OR,OR007@12_0.mat,vibration,375.0,-27.67132892543827,107.30428106701365
OR,OR007@12_0.mat,vibration,386.71875,-21.755771282740074,107.30428106701365
OR,OR007@12_0.mat,vibration,398.4375,-24.56312690509925,107.30428106701365
OR,OR007@12_0.mat,vibration,410.15625,-24.39946371967889,107.30428106701365
OR,OR007@12_0.mat,vibration,421.875,-21.01679096641242,107.30428106701365
OR,OR007@12_0.mat,vibration,433.59375,-25.62358345925908,107.30428106701365
OR,OR007@12_0.mat,vibration,445.3125,-20.952922915612284,107.30428106701365
OR,OR007@12_0.mat,vibration,457.03125,-22.767222994256024,107.30428106701365
OR,OR007@12_0.mat,vibration,468.75,-29.47460712164117,107.30428106701365
OR,OR007@12_0.mat,vibration,480.46875,-25.88739930641037,107.30428106701365
OR,OR007@12_0.mat,vibration,492.1875,-27.997414160827844,107.30428106701365
OR,OR007@12_0.mat,vibration,503.90625,-17.978369869394616,107.30428106701365
OR,OR007@12_0.mat,vibration,515.625,-18.836880441461894,107.30428106701365
OR,OR007@12_0.mat,vibration,527.34375,-23.681334028918254,107.30428106701365
OR,OR007@12_0.mat,vibration,539.0625,-17.922035434557888,107.30428106701365
OR,OR007@12_0.mat,vibration,550.78125,-21.655046661526004,107.30428106701365
OR,OR007@12_0.mat,vibration,562.5,-26.118038375362374,107.30428106701365
OR,OR007@12_0.mat,vibration,574.21875,-24.913360494461894,107.30428106701365
OR,OR007@12_0.mat,vibration,585.9375,-23.107704996455194,107.30428106701365
OR,OR007@12_0.mat,vibration,597.65625,-21.790237514454862,107.30428106701365
OR,OR007@12_0.mat,vibration,609.375,-24.95375597003858,107.30428106701365
