true,pred,file_count,panel,class,precision,recall,f1,support_files
OR,OR,25.0,confusion,,,,,
OR,IR,0.0,confusion,,,,,
OR,B,3.0,confusion,,,,,
OR,N,0.0,confusion,,,,,
IR,OR,0.0,confusion,,,,,
IR,IR,11.0,confusion,,,,,
IR,B,1.0,confusion,,,,,
IR,N,0.0,confusion,,,,,
B,OR,0.0,confusion,,,,,
B,IR,0.0,confusion,,,,,
B,B,12.0,confusion,,,,,
B,N,0.0,confusion,,,,,
N,OR,0.0,confusion,,,,,
N,IR,0.0,confusion,,,,,
N,B,0.0,confusion,,,,,
N,N,4.0,confusion,,,,,
,,,class_metrics,OR,1.0,0.8928571428571429,0.9433962264150944,28.0
,,,class_metrics,IR,1.0,0.9166666666666666,0.9565217391304348,12.0
,,,class_metrics,B,0.75,1.0,0.8571428571428571,12.0
,,,class_metrics,N,1.0,1.0,1.0,4.0
