method,setting,seed,simulated_target_load,macro_f1,balanced_accuracy,min_class_recall
A0_no_transfer,frozen_rf,20260916,0,0.8682692307692308,0.8809523809523809,0.6666666666666666
A0_no_transfer,frozen_rf,20260916,1,0.945054945054945,0.9642857142857144,0.8571428571428571
A0_no_transfer,frozen_rf,20260916,2,1.0,1.0,1.0
A0_no_transfer,frozen_rf,20260916,3,0.945054945054945,0.9642857142857144,0.8571428571428571
A2_CORAL,reg=0.1,20260916,0,0.546474358974359,0.5952380952380952,0.0
A2_CORAL,reg=0.1,20260916,1,0.945054945054945,0.9642857142857144,0.8571428571428571
A2_CORAL,reg=0.1,20260916,2,0.8974358974358975,0.9642857142857144,0.8571428571428571
A2_CORAL,reg=0.1,20260916,3,1.0,1.0,1.0
A3_instance_weighting,clip=10,20260916,0,0.8682692307692308,0.8809523809523809,0.6666666666666666
A3_instance_weighting,clip=10,20260916,1,0.945054945054945,0.9642857142857144,0.8571428571428571
A3_instance_weighting,clip=10,20260916,2,1.0,1.0,1.0
A3_instance_weighting,clip=10,20260916,3,0.945054945054945,0.9642857142857144,0.8571428571428571
