target_id,p_OR,p_IR,p_B,p_N,model_score_top1,score_margin_top1_top2,entropy_norm,uncertainty_level,truth_status
A,0.4355555555555555,0.1764444444444444,0.268,0.12,0.4355555555555555,0.1675555555555555,0.9200188558504778,very_low_trust,unknown
B,0.4631111111111111,0.1268888888888888,0.2982222222222222,0.1117777777777777,0.4631111111111111,0.1648888888888888,0.8830798401884864,very_low_trust,unknown
C,0.6288888888888889,0.1635555555555555,0.1142222222222222,0.0933333333333333,0.6288888888888889,0.4653333333333334,0.7624485240401053,very_low_trust,unknown
D,0.5326666666666667,0.1375555555555555,0.2273333333333333,0.1024444444444444,0.5326666666666667,0.3053333333333334,0.8501429004679777,very_low_trust,unknown
E,0.6122222222222222,0.1704444444444444,0.1195555555555555,0.0977777777777777,0.6122222222222222,0.4417777777777777,0.7813924930289456,very_low_trust,unknown
F,0.472,0.1484444444444444,0.2766666666666666,0.1028888888888888,0.472,0.1953333333333333,0.8851017594644547,very_low_trust,unknown
G,0.4686666666666667,0.1233333333333333,0.2853333333333333,0.1226666666666666,0.4686666666666667,0.1833333333333333,0.8861975265990578,very_low_trust,unknown
H,0.5704444444444444,0.2968888888888888,0.0193333333333333,0.1133333333333333,0.5704444444444444,0.2735555555555555,0.7241004929389454,very_low_trust,unknown
I,0.5624444444444445,0.1699999999999999,0.1742222222222222,0.0933333333333333,0.5624444444444445,0.3882222222222223,0.8300444149092056,very_low_trust,unknown
J,0.5935555555555555,0.1764444444444444,0.1364444444444444,0.0935555555555555,0.5935555555555555,0.4171111111111111,0.8000659835126298,very_low_trust,unknown
K,0.5617777777777777,0.2648888888888889,0.0551111111111111,0.1182222222222222,0.5617777777777777,0.2968888888888888,0.7848260265582896,very_low_trust,unknown
L,0.4757777777777778,0.1317777777777778,0.2731111111111111,0.1193333333333333,0.4757777777777778,0.2026666666666666,0.8862642605736082,very_low_trust,unknown
M,0.5744444444444444,0.2528888888888889,0.0551111111111111,0.1175555555555555,0.5744444444444444,0.3215555555555555,0.7772661512658562,very_low_trust,unknown
N,0.4744444444444444,0.2271111111111111,0.2017777777777777,0.0966666666666666,0.4744444444444444,0.2473333333333332,0.8939117480718816,very_low_trust,unknown
O,0.4555555555555555,0.1117777777777777,0.3128888888888889,0.1197777777777777,0.4555555555555555,0.1426666666666666,0.8806480536474939,very_low_trust,unknown
P,0.5475555555555556,0.1262222222222222,0.2251111111111111,0.1011111111111111,0.5475555555555556,0.3224444444444444,0.8356148493432434,very_low_trust,unknown
