window_id,independent_object_id,window_start_s,window_end_s,p_B,p_IR,p_N,p_OR,target_id,window_index
target::data/raw/target_domain/train_bearing_a_to_p/A.mat::w0000,data/raw/target_domain/train_bearing_a_to_p/A.mat,0.0,1.0,0.25333333333333335,0.18333333333333332,0.11666666666666667,0.44666666666666666,A,0
target::data/raw/target_domain/train_bearing_a_to_p/A.mat::w0001,data/raw/target_domain/train_bearing_a_to_p/A.mat,0.5,1.5,0.29333333333333333,0.15333333333333332,0.12,0.43333333333333335,A,1
target::data/raw/target_domain/train_bearing_a_to_p/A.mat::w0002,data/raw/target_domain/train_bearing_a_to_p/A.mat,1.0,2.0,0.25,0.22,0.11666666666666667,0.41333333333333333,A,2
target::data/raw/target_domain/train_bearing_a_to_p/A.mat::w0003,data/raw/target_domain/train_bearing_a_to_p/A.mat,1.5,2.5,0.25,0.18333333333333332,0.12333333333333334,0.44333333333333336,A,3
target::data/raw/target_domain/train_bearing_a_to_p/A.mat::w0004,data/raw/target_domain/train_bearing_a_to_p/A.mat,2.0,3.0,0.2833333333333333,0.17666666666666667,0.11333333333333333,0.4266666666666667,A,4
target::data/raw/target_domain/train_bearing_a_to_p/A.mat::w0005,data/raw/target_domain/train_bearing_a_to_p/A.mat,2.5,3.5,0.27666666666666667,0.17,0.12,0.43333333333333335,A,5
target::data/raw/target_domain/train_bearing_a_to_p/A.mat::w0006,data/raw/target_domain/train_bearing_a_to_p/A.mat,3.0,4.0,0.28,0.18,0.11666666666666667,0.42333333333333334,A,6
target::data/raw/target_domain/train_bearing_a_to_p/A.mat::w0007,data/raw/target_domain/train_bearing_a_to_p/A.mat,3.5,4.5,0.26,0.17333333333333334,0.12333333333333334,0.44333333333333336,A,7
target::data/raw/target_domain/train_bearing_a_to_p/A.mat::w0008,data/raw/target_domain/train_bearing_a_to_p/A.mat,4.0,5.0,0.25666666666666665,0.17333333333333334,0.12333333333333334,0.44666666666666666,A,8
target::data/raw/target_domain/train_bearing_a_to_p/A.mat::w0009,data/raw/target_domain/train_bearing_a_to_p/A.mat,4.5,5.5,0.29333333333333333,0.15,0.12,0.43666666666666665,A,9
target::data/raw/target_domain/train_bearing_a_to_p/A.mat::w0010,data/raw/target_domain/train_bearing_a_to_p/A.mat,5.0,6.0,0.2633333333333333,0.17,0.12,0.44666666666666666,A,10
target::data/raw/target_domain/train_bearing_a_to_p/A.mat::w0011,data/raw/target_domain/train_bearing_a_to_p/A.mat,5.5,6.5,0.26,0.19666666666666666,0.12333333333333334,0.42,A,11
target::data/raw/target_domain/train_bearing_a_to_p/A.mat::w0012,data/raw/target_domain/train_bearing_a_to_p/A.mat,6.0,7.0,0.2866666666666667,0.16333333333333333,0.11666666666666667,0.43333333333333335,A,12
target::data/raw/target_domain/train_bearing_a_to_p/A.mat::w0013,data/raw/target_domain/train_bearing_a_to_p/A.mat,6.5,7.5,0.26,0.17333333333333334,0.12333333333333334,0.44333333333333336,A,13
target::data/raw/target_domain/train_bearing_a_to_p/A.mat::w0014,data/raw/target_domain/train_bearing_a_to_p/A.mat,7.0,8.0,0.25333333333333335,0.18,0.12333333333333334,0.44333333333333336,A,14
target::data/raw/target_domain/train_bearing_a_to_p/B.mat::w0000,data/raw/target_domain/train_bearing_a_to_p/B.mat,0.0,1.0,0.31,0.12,0.11666666666666667,0.4533333333333333,B,0
target::data/raw/target_domain/train_bearing_a_to_p/B.mat::w0001,data/raw/target_domain/train_bearing_a_to_p/B.mat,0.5,1.5,0.30666666666666664,0.12666666666666668,0.11333333333333333,0.4533333333333333,B,1
target::data/raw/target_domain/train_bearing_a_to_p/B.mat::w0002,data/raw/target_domain/train_bearing_a_to_p/B.mat,1.0,2.0,0.31,0.13,0.10666666666666667,0.4533333333333333,B,2
target::data/raw/target_domain/train_bearing_a_to_p/B.mat::w0003,data/raw/target_domain/train_bearing_a_to_p/B.mat,1.5,2.5,0.27,0.11666666666666667,0.11,0.5033333333333333,B,3
target::data/raw/target_domain/train_bearing_a_to_p/B.mat::w0004,data/raw/target_domain/train_bearing_a_to_p/B.mat,2.0,3.0,0.3,0.13666666666666666,0.11333333333333333,0.45,B,4
target::data/raw/target_domain/train_bearing_a_to_p/B.mat::w0005,data/raw/target_domain/train_bearing_a_to_p/B.mat,2.5,3.5,0.3,0.12333333333333334,0.11,0.4666666666666667,B,5
target::data/raw/target_domain/train_bearing_a_to_p/B.mat::w0006,data/raw/target_domain/train_bearing_a_to_p/B.mat,3.0,4.0,0.30666666666666664,0.12666666666666668,0.1,0.4666666666666667,B,6
target::data/raw/target_domain/train_bearing_a_to_p/B.mat::w0007,data/raw/target_domain/train_bearing_a_to_p/B.mat,3.5,4.5,0.3,0.13,0.10666666666666667,0.4633333333333333,B,7
target::data/raw/target_domain/train_bearing_a_to_p/B.mat::w0008,data/raw/target_domain/train_bearing_a_to_p/B.mat,4.0,5.0,0.30666666666666664,0.14,0.11,0.44333333333333336,B,8
target::data/raw/target_domain/train_bearing_a_to_p/B.mat::w0009,data/raw/target_domain/train_bearing_a_to_p/B.mat,4.5,5.5,0.29,0.13333333333333333,0.11333333333333333,0.4633333333333333,B,9
target::data/raw/target_domain/train_bearing_a_to_p/B.mat::w0010,data/raw/target_domain/train_bearing_a_to_p/B.mat,5.0,6.0,0.29333333333333333,0.12333333333333334,0.11666666666666667,0.4666666666666667,B,10
target::data/raw/target_domain/train_bearing_a_to_p/B.mat::w0011,data/raw/target_domain/train_bearing_a_to_p/B.mat,5.5,6.5,0.30333333333333334,0.11333333333333333,0.11666666666666667,0.4666666666666667,B,11
target::data/raw/target_domain/train_bearing_a_to_p/B.mat::w0012,data/raw/target_domain/train_bearing_a_to_p/B.mat,6.0,7.0,0.2966666666666667,0.12666666666666668,0.11666666666666667,0.46,B,12
target::data/raw/target_domain/train_bearing_a_to_p/B.mat::w0013,data/raw/target_domain/train_bearing_a_to_p/B.mat,6.5,7.5,0.2966666666666667,0.12333333333333334,0.11333333333333333,0.4666666666666667,B,13
target::data/raw/target_domain/train_bearing_a_to_p/B.mat::w0014,data/raw/target_domain/train_bearing_a_to_p/B.mat,7.0,8.0,0.2833333333333333,0.13333333333333333,0.11333333333333333,0.47,B,14
