case_id,case_role,feature,feature_group,path_importance,rank,explained_label
A,target_prediction,env_rms,envelope,0.1259303767782357,1,OR
A,target_prediction,td_peak_abs,impact,0.1045311891286841,2,OR
A,target_prediction,td_ptp,impact,0.099179734576278,3,OR
A,target_prediction,td_std,time_energy,0.0977662910652521,4,OR
A,target_prediction,env_entropy_0_500,envelope,0.0843990858297744,5,OR
source_OR,source_known_label,env_rms,envelope,0.1137722551803785,1,OR
source_OR,source_known_label,env_entropy_0_500,envelope,0.0997687556139573,2,OR
source_OR,source_known_label,td_peak_abs,impact,0.0876908673428314,3,OR
source_OR,source_known_label,td_std,time_energy,0.0866740110949458,4,OR
source_OR,source_known_label,td_ptp,impact,0.0856895458908434,5,OR
source_IR,source_known_label,env_rms,envelope,0.1192279917274181,1,IR
source_IR,source_known_label,env_entropy_0_500,envelope,0.1034704911685212,2,IR
source_IR,source_known_label,td_peak_abs,impact,0.0939937413286232,3,IR
source_IR,source_known_label,td_ptp,impact,0.0906465005860537,4,IR
source_IR,source_known_label,td_std,time_energy,0.0870677639497795,5,IR
source_B,source_known_label,env_rms,envelope,0.1190701813956671,1,B
source_B,source_known_label,env_entropy_0_500,envelope,0.1107376759493465,2,B
source_B,source_known_label,td_std,time_energy,0.1001855915479581,3,B
source_B,source_known_label,td_peak_abs,impact,0.0878469528625937,4,B
source_B,source_known_label,td_ptp,impact,0.0829817590255735,5,B
