target_id,final_pred_label,model_score_top1,score_margin_top1_top2,entropy_norm,window_consistency,vote_agreement_rate,all_seed_labels_agree,mechanism_nearest_source_class,pred_class_distance_over_source_p95,uncertainty_level,truth_status
A,OR,0.4355555555555555,0.1675555555555555,0.9200188558504778,1.0,1.0,True,IR,3.5688453227811974,very_low_trust,unknown
B,OR,0.4631111111111111,0.1648888888888888,0.8830798401884864,1.0,1.0,True,B,2.464126188467588,very_low_trust,unknown
C,OR,0.6288888888888889,0.4653333333333334,0.7624485240401053,1.0,1.0,True,OR,53.50158309007545,very_low_trust,unknown
D,OR,0.5326666666666667,0.3053333333333334,0.8501429004679777,1.0,1.0,True,IR,8.464886136067252,very_low_trust,unknown
E,OR,0.6122222222222222,0.4417777777777777,0.7813924930289456,1.0,1.0,True,B,27.464912040347382,very_low_trust,unknown
F,OR,0.472,0.1953333333333333,0.8851017594644547,1.0,1.0,True,IR,5.898513788893458,very_low_trust,unknown
G,OR,0.4686666666666667,0.1833333333333333,0.8861975265990578,1.0,1.0,True,N,2.499758805438059,very_low_trust,unknown
H,OR,0.5704444444444444,0.2735555555555555,0.7241004929389454,1.0,1.0,True,IR,12.579171533198773,very_low_trust,unknown
I,OR,0.5624444444444445,0.3882222222222223,0.8300444149092056,1.0,1.0,True,B,47.00924700171183,very_low_trust,unknown
J,OR,0.5935555555555555,0.4171111111111111,0.8000659835126298,1.0,1.0,True,B,58.24759875024184,very_low_trust,unknown
K,OR,0.5617777777777777,0.2968888888888888,0.7848260265582896,1.0,1.0,True,IR,11.337531717093244,very_low_trust,unknown
L,OR,0.4757777777777778,0.2026666666666666,0.8862642605736082,1.0,1.0,True,B,2.7797366033871103,very_low_trust,unknown
M,OR,0.5744444444444444,0.3215555555555555,0.7772661512658562,1.0,1.0,True,N,10.259987482847936,very_low_trust,unknown
N,OR,0.4744444444444444,0.2473333333333332,0.8939117480718816,1.0,1.0,True,B,20.757275852489943,very_low_trust,unknown
O,OR,0.4555555555555555,0.1426666666666666,0.8806480536474939,1.0,1.0,True,N,2.495481956178088,very_low_trust,unknown
P,OR,0.5475555555555556,0.3224444444444444,0.8356148493432434,1.0,1.0,True,IR,8.599657040775487,very_low_trust,unknown
