model,fold,n_files,macro_f1,balanced_accuracy,accuracy
B0_dummy,1,14,0.16666666666666666,0.25,0.5
B0_dummy,2,14,0.16666666666666666,0.25,0.5
B0_dummy,3,14,0.16666666666666666,0.25,0.5
B0_dummy,4,14,0.16666666666666666,0.25,0.5
B1_time,1,14,0.5035714285714286,0.5952380952380952,0.5714285714285714
B1_time,2,14,0.7738095238095237,0.8095238095238095,0.7142857142857143
B1_time,3,14,0.45059523809523805,0.5238095238095237,0.42857142857142855
B1_time,4,14,0.5111111111111111,0.6547619047619047,0.5
B2_shared,1,14,0.7133699633699634,0.726190476190476,0.6428571428571429
B2_shared,2,14,0.8785714285714286,0.8809523809523809,0.8571428571428571
B2_shared,3,14,0.475,0.5,0.7142857142857143
B2_shared,4,14,0.6041666666666666,0.6428571428571428,0.5714285714285714
