experiment,fold,n_files,macro_f1,balanced_accuracy,accuracy
M1_baseline_B2_mean,1,14,0.7133699633699634,0.726190476190476,0.6428571428571429
M1_baseline_B2_mean,2,14,0.8785714285714286,0.8809523809523809,0.8571428571428571
M1_baseline_B2_mean,3,14,0.475,0.5,0.7142857142857143
M1_baseline_B2_mean,4,14,0.6041666666666666,0.6428571428571428,0.5714285714285714
H1_scale_free_features,1,14,0.5892857142857143,0.6071428571428571,0.5
H1_scale_free_features,2,14,0.8682692307692308,0.8809523809523809,0.8571428571428571
H1_scale_free_features,3,14,0.6808823529411765,0.6666666666666666,0.7142857142857143
H1_scale_free_features,4,14,0.5666666666666667,0.6071428571428571,0.5
H2_median_probability_aggregation,1,14,0.7133699633699634,0.726190476190476,0.6428571428571429
H2_median_probability_aggregation,2,14,0.8785714285714286,0.8809523809523809,0.8571428571428571
H2_median_probability_aggregation,3,14,0.475,0.5,0.7142857142857143
H2_median_probability_aggregation,4,14,0.6041666666666666,0.6428571428571428,0.5714285714285714
