domain,original_file_id,acquisition_id,independent_object_id,class_label,truth_status,fs_hz,signal_var,channel,sensor_position,fault_bearing_location,load_hp,rpm_value,rpm_source,fault_size_in,or_position,n_points_in_file,duration_s
source,data/raw/source_domain/cwru_48khz_de/B007_0.mat,data/raw/source_domain/cwru_48khz_de/B007_0.mat,data/raw/source_domain/cwru_48khz_de/B007_0.mat,B,known_source_label,48000,X122_DE_time,DE_time,drive_end,drive_end,0.0,1796.0,mat_variable,0.007,,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/B007_1.mat,data/raw/source_domain/cwru_48khz_de/B007_1.mat,data/raw/source_domain/cwru_48khz_de/B007_1.mat,B,known_source_label,48000,X123_DE_time,DE_time,drive_end,drive_end,1.0,1772.0,mat_variable,0.007,,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/B007_2.mat,data/raw/source_domain/cwru_48khz_de/B007_2.mat,data/raw/source_domain/cwru_48khz_de/B007_2.mat,B,known_source_label,48000,X124_DE_time,DE_time,drive_end,drive_end,2.0,1747.0,mat_variable,0.007,,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/B007_3.mat,data/raw/source_domain/cwru_48khz_de/B007_3.mat,data/raw/source_domain/cwru_48khz_de/B007_3.mat,B,known_source_label,48000,X125_DE_time,DE_time,drive_end,drive_end,3.0,1721.0,mat_variable,0.007,,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/B014_0.mat,data/raw/source_domain/cwru_48khz_de/B014_0.mat,data/raw/source_domain/cwru_48khz_de/B014_0.mat,B,known_source_label,48000,X189_DE_time,DE_time,drive_end,drive_end,0.0,1797.0,mat_variable,0.014,,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/B014_1.mat,data/raw/source_domain/cwru_48khz_de/B014_1.mat,data/raw/source_domain/cwru_48khz_de/B014_1.mat,B,known_source_label,48000,X190_DE_time,DE_time,drive_end,drive_end,1.0,1772.0,mat_variable,0.014,,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/B014_2.mat,data/raw/source_domain/cwru_48khz_de/B014_2.mat,data/raw/source_domain/cwru_48khz_de/B014_2.mat,B,known_source_label,48000,X191_DE_time,DE_time,drive_end,drive_end,2.0,1748.0,mat_variable,0.014,,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/B014_3.mat,data/raw/source_domain/cwru_48khz_de/B014_3.mat,data/raw/source_domain/cwru_48khz_de/B014_3.mat,B,known_source_label,48000,X192_DE_time,DE_time,drive_end,drive_end,3.0,1725.0,mat_variable,0.014,,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/B021_0.mat,data/raw/source_domain/cwru_48khz_de/B021_0.mat,data/raw/source_domain/cwru_48khz_de/B021_0.mat,B,known_source_label,48000,X226_DE_time,DE_time,drive_end,drive_end,0.0,1797.0,mat_variable,0.021,,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/B021_1.mat,data/raw/source_domain/cwru_48khz_de/B021_1.mat,data/raw/source_domain/cwru_48khz_de/B021_1.mat,B,known_source_label,48000,X227_DE_time,DE_time,drive_end,drive_end,1.0,1774.0,mat_variable,0.021,,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/B021_2.mat,data/raw/source_domain/cwru_48khz_de/B021_2.mat,data/raw/source_domain/cwru_48khz_de/B021_2.mat,B,known_source_label,48000,X228_DE_time,DE_time,drive_end,drive_end,2.0,1754.0,mat_variable,0.021,,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/B021_3.mat,data/raw/source_domain/cwru_48khz_de/B021_3.mat,data/raw/source_domain/cwru_48khz_de/B021_3.mat,B,known_source_label,48000,X229_DE_time,DE_time,drive_end,drive_end,3.0,1729.0,mat_variable,0.021,,192000,4.0
source,data/raw/source_domain/cwru_48khz_de/IR007_0.mat,data/raw/source_domain/cwru_48khz_de/IR007_0.mat,data/raw/source_domain/cwru_48khz_de/IR007_0.mat,IR,known_source_label,48000,X109_DE_time,DE_time,drive_end,drive_end,0.0,1796.0,mat_variable,0.007,,192000,4.0
