window_id,domain,original_file_id,acquisition_id,independent_object_id,window_start_s,window_end_s,fs_hz,class_label,truth_status,load_hp,rpm_value,rpm_source,channel,sensor_position,td_rms,td_std,td_peak_abs,td_ptp,td_skewness,td_kurtosis,td_crest_factor,td_impulse_factor,td_shape_factor,td_clearance_factor,td_zero_cross_rate,fd_dominant_hz_0_6k,fd_centroid_hz_0_6k,fd_f95_hz_0_6k,fd_entropy_0_6k,fd_energy_ratio_0_500,fd_energy_ratio_500_1500,fd_energy_ratio_1500_3000,fd_energy_ratio_3000_6000,env_rms,env_kurtosis,env_dominant_hz_0_500,env_centroid_hz_0_500,env_entropy_0_500,env_energy_ratio_0_50,env_energy_ratio_50_150,env_energy_ratio_150_300,env_energy_ratio_300_500
target::data/raw/target_domain/train_bearing_a_to_p/A.mat::w0000,target,data/raw/target_domain/train_bearing_a_to_p/A.mat,data/raw/target_domain/train_bearing_a_to_p/A.mat,data/raw/target_domain/train_bearing_a_to_p/A.mat,0.0,1.0,32000,UNKNOWN,unknown,,600.0,problem_approximate_not_used_for_mechanism_features,anonymous_single_channel,unknown,3.401648516191155,3.401648516191155,15.119901771356952,29.355344016796877,0.036398088251889976,3.153530876007167,4.444874800963372,5.598754223080274,1.2595977330711694,6.61421318569715,0.29079033719803743,1328.125,2605.6435052805855,5375.0,0.9128969259141301,0.02814749973915144,0.19657769135635475,0.44650049642215384,0.32288492560524984,2.2744782129899095,3.6549366706346764,27.0,211.55308757273988,0.9331006137892733,0.15785448095163113,0.22378381319197452,0.33296972897731936,0.2825925494306726
target::data/raw/target_domain/train_bearing_a_to_p/A.mat::w0001,target,data/raw/target_domain/train_bearing_a_to_p/A.mat,data/raw/target_domain/train_bearing_a_to_p/A.mat,data/raw/target_domain/train_bearing_a_to_p/A.mat,0.5,1.5,32000,UNKNOWN,unknown,,600.0,problem_approximate_not_used_for_mechanism_features,anonymous_single_channel,unknown,3.3709493714248135,3.3709493714248135,15.07675623581746,29.5007139984375,0.028773065334102548,3.2390847326843497,4.472554931740321,5.648295588222392,1.2628789750879372,6.681495312714274,0.29160286258945595,1328.125,2623.0671246875495,5382.8125,0.9175589726016228,0.028883169008545637,0.19158073345022839,0.4505028882044771,0.32213815972271814,2.2617507086247515,3.702729130534588,3.0,202.6436483723929,0.9167528389690357,0.2018283299780328,0.2599803594767238,0.23112172584575802,0.3032162848368555
target::data/raw/target_domain/train_bearing_a_to_p/A.mat::w0002,target,data/raw/target_domain/train_bearing_a_to_p/A.mat,data/raw/target_domain/train_bearing_a_to_p/A.mat,data/raw/target_domain/train_bearing_a_to_p/A.mat,1.0,2.0,32000,UNKNOWN,unknown,,600.0,problem_approximate_not_used_for_mechanism_features,anonymous_single_channel,unknown,3.39308315028701,3.39308315028701,15.617741122772237,30.039718414453127,0.03127231765092196,3.1985237212514823,4.602817093193422,5.796106372802014,1.2592519440695356,6.849145521119984,0.2896965530172818,1328.125,2614.815015777655,5398.4375,0.9171213998392762,0.0275885980639709,0.18273765610257645,0.46970061980335714,0.313663102328657,2.2682622683950813,3.850682905370596,166.0,225.83835115114033,0.9206914586112781,0.1001446567820338,0.21405038953941338,0.3505429926343819,0.3285078642316308
target::data/raw/target_domain/train_bearing_a_to_p/A.mat::w0003,target,data/raw/target_domain/train_bearing_a_to_p/A.mat,data/raw/target_domain/train_bearing_a_to_p/A.mat,data/raw/target_domain/train_bearing_a_to_p/A.mat,1.5,2.5,32000,UNKNOWN,unknown,,600.0,problem_approximate_not_used_for_mechanism_features,anonymous_single_channel,unknown,3.4631903075745436,3.4631903075745436,15.63160022763272,30.484379534765623,0.00380663789632129,3.1307398495535788,4.513641711643576,5.6702845165589935,1.2562548998805236,6.691148839861848,0.29085283915122345,1328.125,2608.372375533386,5382.8125,0.910580455327176,0.02622508970953636,0.18191289343304062,0.467694407184377,0.3155679758807597,2.307026768382655,3.8323458417078538,63.0,216.47694249755793,0.9307939593543189,0.13789705101846023,0.2514984875951808,0.30568911893913886,0.3012160635859627
target::data/raw/target_domain/train_bearing_a_to_p/A.mat::w0004,target,data/raw/target_domain/train_bearing_a_to_p/A.mat,data/raw/target_domain/train_bearing_a_to_p/A.mat,data/raw/target_domain/train_bearing_a_to_p/A.mat,2.0,3.0,32000,UNKNOWN,unknown,,600.0,problem_approximate_not_used_for_mechanism_features,anonymous_single_channel,unknown,3.49586340138014,3.49586340138014,15.36958836126682,30.21817163203125,-0.023417499674868253,3.0732771699701398,4.396507127593894,5.524328952229435,1.256526781807173,6.525184232967855,0.29132160380011873,1328.125,2609.971611066706,5375.0,0.910168007502199,0.027312845815219106,0.18436333227918247,0.4653670036379818,0.31240431315394235,2.3190577867090574,3.635361452929859,4.0,220.1555743652772,0.9279728388154336,0.18191236246953182,0.18721697093695683,0.2710590689213751,0.35319596328878705
target::data/raw/target_domain/train_bearing_a_to_p/A.mat::w0005,target,data/raw/target_domain/train_bearing_a_to_p/A.mat,data/raw/target_domain/train_bearing_a_to_p/A.mat,data/raw/target_domain/train_bearing_a_to_p/A.mat,2.5,3.5,32000,UNKNOWN,unknown,,600.0,problem_approximate_not_used_for_mechanism_features,anonymous_single_channel,unknown,3.4846851708836355,3.4846851708836355,15.357932090879517,28.580691636328126,-0.01653688591755381,3.052970742777843,4.407265316017256,5.54460637538423,1.258060492803091,6.559096689570686,0.2947904622019438,1328.125,2634.0005022556757,5398.4375,0.9141362251886513,0.028060311532258433,0.20010129646445438,0.4347654713941586,0.3263516530584348,2.3203710599988656,3.377040543307419,25.0,218.92173636100642,0.9292339053080959,0.14751893086016046,0.2500197340771251,0.27393162888446104,0.32380055466709673
target::data/raw/target_domain/train_bearing_a_to_p/A.mat::w0006,target,data/raw/target_domain/train_bearing_a_to_p/A.mat,data/raw/target_domain/train_bearing_a_to_p/A.mat,data/raw/target_domain/train_bearing_a_to_p/A.mat,3.0,4.0,32000,UNKNOWN,unknown,,600.0,problem_approximate_not_used_for_mechanism_features,anonymous_single_channel,unknown,3.4300712710443424,3.4300712710443424,13.614594220129842,26.839055520703127,0.01149817148847511,3.0777585071926934,3.969186977266709,5.000860461035788,1.2599206058259464,5.921578505319271,0.296759273727304,1328.125,2648.280698390685,5414.0625,0.9214410655697663,0.030316951372732673,0.19373250959683447,0.43520754120189015,0.3319776841903163,2.288663223991003,3.351586492217536,17.0,208.26476917334256,0.9209221406747706,0.22037151172264904,0.20018825501551768,0.27715686507285975,0.29208275643241294
target::data/raw/target_domain/train_bearing_a_to_p/A.mat::w0007,target,data/raw/target_domain/train_bearing_a_to_p/A.mat,data/raw/target_domain/train_bearing_a_to_p/A.mat,data/raw/target_domain/train_bearing_a_to_p/A.mat,3.5,4.5,32000,UNKNOWN,unknown,,600.0,problem_approximate_not_used_for_mechanism_features,anonymous_single_channel,unknown,3.436381421185131,3.436381421185131,15.994611087834418,28.96941965859375,0.025422382769513682,3.145314476178799,4.654492364911453,5.8699698545386285,1.2611407204765261,6.95331307124881,0.2944467014594206,1328.125,2673.68138181676,5414.0625,0.9260361040496182,0.030112330975254346,0.17710040684176634,0.4478598424818734,0.33896760788444885,2.297323727092444,3.53264598302739,77.0,211.24584664102719,0.9211527685218448,0.15619881858360965,0.24111252823217103,0.30983834485274386,0.2883631509792607
target::data/raw/target_domain/train_bearing_a_to_p/A.mat::w0008,target,data/raw/target_domain/train_bearing_a_to_p/A.mat,data/raw/target_domain/train_bearing_a_to_p/A.mat,data/raw/target_domain/train_bearing_a_to_p/A.mat,4.0,5.0,32000,UNKNOWN,unknown,,600.0,problem_approximate_not_used_for_mechanism_features,anonymous_single_channel,unknown,3.4673860691280325,3.4673860691280325,16.015810916056925,29.10974304492187,0.023207826305573276,3.1714505119592338,4.618986924660487,5.8223224199625205,1.260519355202289,6.8900608012949,0.291696615519235,1328.125,2658.8275490856554,5382.8125,0.9170611882562468,0.02740818850237982,0.16228240033282595,0.47233469317162363,0.33115048358754157,2.330267661131287,3.7459734656589916,70.0,199.22275782353896,0.9218302463631318,0.1424363210371014,0.29311013514367645,0.3113372703201738,0.24884335948969863
target::data/raw/target_domain/train_bearing_a_to_p/A.mat::w0009,target,data/raw/target_domain/train_bearing_a_to_p/A.mat,data/raw/target_domain/train_bearing_a_to_p/A.mat,data/raw/target_domain/train_bearing_a_to_p/A.mat,4.5,5.5,32000,UNKNOWN,unknown,,600.0,problem_approximate_not_used_for_mechanism_features,anonymous_single_channel,unknown,3.481496040983508,3.481496040983508,15.25675747069211,30.300599355468748,0.009009390018575916,3.118020690138475,4.382241798091419,5.52662545286809,1.2611411481843589,6.551328370673282,0.2927903996999906,1328.125,2637.501022386448,5375.0,0.9112740924569038,0.026289636309283475,0.17255366062800914,0.47041753496720556,0.32365926798498307,2.3369490932046424,3.6150030162390046,9.0,196.7470777157439,0.9105366874269752,0.15518504192296295,0.29970951173007887,0.2706243207046185,0.26730542712504907
