window_id,domain,original_file_id,acquisition_id,independent_object_id,window_index_in_file,window_start_sample,window_end_sample_exclusive,window_start_s,window_end_s,window_seconds,stride_seconds,overlap_fraction,fs_hz,signal_var,channel,sensor_position,fault_bearing_location,class_label,truth_status,load_hp,rpm_value,rpm_source,fault_size_in,or_position,n_points_in_file
source::data/raw/source_domain/cwru_48khz_de/B007_0.mat::w0000,source,data/raw/source_domain/cwru_48khz_de/B007_0.mat,data/raw/source_domain/cwru_48khz_de/B007_0.mat,data/raw/source_domain/cwru_48khz_de/B007_0.mat,0,0,48000,0.0,1.0,1.0,0.5,0.5,48000,X122_DE_time,DE_time,drive_end,drive_end,B,known_source_label,0.0,1796.0,mat_variable,0.007,,192000
source::data/raw/source_domain/cwru_48khz_de/B007_0.mat::w0001,source,data/raw/source_domain/cwru_48khz_de/B007_0.mat,data/raw/source_domain/cwru_48khz_de/B007_0.mat,data/raw/source_domain/cwru_48khz_de/B007_0.mat,1,24000,72000,0.5,1.5,1.0,0.5,0.5,48000,X122_DE_time,DE_time,drive_end,drive_end,B,known_source_label,0.0,1796.0,mat_variable,0.007,,192000
source::data/raw/source_domain/cwru_48khz_de/B007_0.mat::w0002,source,data/raw/source_domain/cwru_48khz_de/B007_0.mat,data/raw/source_domain/cwru_48khz_de/B007_0.mat,data/raw/source_domain/cwru_48khz_de/B007_0.mat,2,48000,96000,1.0,2.0,1.0,0.5,0.5,48000,X122_DE_time,DE_time,drive_end,drive_end,B,known_source_label,0.0,1796.0,mat_variable,0.007,,192000
source::data/raw/source_domain/cwru_48khz_de/B007_0.mat::w0003,source,data/raw/source_domain/cwru_48khz_de/B007_0.mat,data/raw/source_domain/cwru_48khz_de/B007_0.mat,data/raw/source_domain/cwru_48khz_de/B007_0.mat,3,72000,120000,1.5,2.5,1.0,0.5,0.5,48000,X122_DE_time,DE_time,drive_end,drive_end,B,known_source_label,0.0,1796.0,mat_variable,0.007,,192000
source::data/raw/source_domain/cwru_48khz_de/B007_0.mat::w0004,source,data/raw/source_domain/cwru_48khz_de/B007_0.mat,data/raw/source_domain/cwru_48khz_de/B007_0.mat,data/raw/source_domain/cwru_48khz_de/B007_0.mat,4,96000,144000,2.0,3.0,1.0,0.5,0.5,48000,X122_DE_time,DE_time,drive_end,drive_end,B,known_source_label,0.0,1796.0,mat_variable,0.007,,192000
source::data/raw/source_domain/cwru_48khz_de/B007_0.mat::w0005,source,data/raw/source_domain/cwru_48khz_de/B007_0.mat,data/raw/source_domain/cwru_48khz_de/B007_0.mat,data/raw/source_domain/cwru_48khz_de/B007_0.mat,5,120000,168000,2.5,3.5,1.0,0.5,0.5,48000,X122_DE_time,DE_time,drive_end,drive_end,B,known_source_label,0.0,1796.0,mat_variable,0.007,,192000
source::data/raw/source_domain/cwru_48khz_de/B007_0.mat::w0006,source,data/raw/source_domain/cwru_48khz_de/B007_0.mat,data/raw/source_domain/cwru_48khz_de/B007_0.mat,data/raw/source_domain/cwru_48khz_de/B007_0.mat,6,144000,192000,3.0,4.0,1.0,0.5,0.5,48000,X122_DE_time,DE_time,drive_end,drive_end,B,known_source_label,0.0,1796.0,mat_variable,0.007,,192000
source::data/raw/source_domain/cwru_48khz_de/B007_1.mat::w0000,source,data/raw/source_domain/cwru_48khz_de/B007_1.mat,data/raw/source_domain/cwru_48khz_de/B007_1.mat,data/raw/source_domain/cwru_48khz_de/B007_1.mat,0,0,48000,0.0,1.0,1.0,0.5,0.5,48000,X123_DE_time,DE_time,drive_end,drive_end,B,known_source_label,1.0,1772.0,mat_variable,0.007,,192000
source::data/raw/source_domain/cwru_48khz_de/B007_1.mat::w0001,source,data/raw/source_domain/cwru_48khz_de/B007_1.mat,data/raw/source_domain/cwru_48khz_de/B007_1.mat,data/raw/source_domain/cwru_48khz_de/B007_1.mat,1,24000,72000,0.5,1.5,1.0,0.5,0.5,48000,X123_DE_time,DE_time,drive_end,drive_end,B,known_source_label,1.0,1772.0,mat_variable,0.007,,192000
source::data/raw/source_domain/cwru_48khz_de/B007_1.mat::w0002,source,data/raw/source_domain/cwru_48khz_de/B007_1.mat,data/raw/source_domain/cwru_48khz_de/B007_1.mat,data/raw/source_domain/cwru_48khz_de/B007_1.mat,2,48000,96000,1.0,2.0,1.0,0.5,0.5,48000,X123_DE_time,DE_time,drive_end,drive_end,B,known_source_label,1.0,1772.0,mat_variable,0.007,,192000
