outer_test_load,C,mean_macro_f1,mean_balanced_accuracy,mean_min_class_recall
0,10.0,0.9633699633699634,0.9761904761904763,0.9047619047619048
0,0.1,0.9450549450549449,0.9642857142857143,0.8571428571428571
0,1.0,0.9450549450549449,0.9642857142857143,0.8571428571428571
1,10.0,0.8062881562881562,0.8253968253968255,0.5079365079365079
1,1.0,0.7942002442002442,0.8134920634920636,0.5079365079365079
1,0.1,0.7484126984126984,0.7579365079365079,0.4444444444444444
2,1.0,0.7884310134310134,0.8134920634920636,0.5238095238095238
2,0.1,0.7478327228327228,0.7738095238095237,0.4603174603174603
2,10.0,0.7386065323565324,0.7420634920634921,0.4444444444444444
3,10.0,0.8531135531135531,0.8650793650793651,0.6190476190476191
3,1.0,0.8126373626373627,0.8253968253968255,0.5079365079365079
3,0.1,0.7824786324786324,0.7976190476190476,0.5079365079365079
