independent_object_id,class_label,load_hp,baseline_pred,final_pred,baseline_correct,final_correct,transition
data/raw/source_domain/cwru_48khz_de/B007_0.mat,B,0.0,B,B,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/B014_0.mat,B,0.0,B,B,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/B021_0.mat,B,0.0,B,B,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/IR007_0.mat,IR,0.0,IR,IR,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/IR014_0.mat,IR,0.0,OR,B,False,False,persistent_error
data/raw/source_domain/cwru_48khz_de/IR021_0.mat,IR,0.0,IR,IR,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/OR007@12_0.mat,OR,0.0,OR,OR,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/OR007@3_0.mat,OR,0.0,OR,OR,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/OR007@6_0.mat,OR,0.0,OR,OR,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/OR014@6_0.mat,OR,0.0,B,B,False,False,persistent_error
data/raw/source_domain/cwru_48khz_de/OR021@12_0.mat,OR,0.0,OR,OR,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/OR021@3_0.mat,OR,0.0,OR,OR,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/OR021@6_0.mat,OR,0.0,OR,OR,True,True,correct_both
data/raw/source_domain/cwru_48khz_normal/N_0.mat,N,0.0,IR,N,False,True,corrected
data/raw/source_domain/cwru_48khz_de/B007_1.mat,B,1.0,B,B,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/B014_1.mat,B,1.0,B,B,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/B021_1.mat,B,1.0,B,B,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/IR007_1.mat,IR,1.0,IR,IR,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/IR014_1.mat,IR,1.0,IR,IR,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/IR021_1.mat,IR,1.0,IR,IR,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/OR007@12_1.mat,OR,1.0,OR,OR,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/OR007@3_1.mat,OR,1.0,OR,OR,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/OR007@6_1.mat,OR,1.0,OR,OR,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/OR014@6_1.mat,OR,1.0,B,B,False,False,persistent_error
data/raw/source_domain/cwru_48khz_de/OR021@12_1.mat,OR,1.0,OR,OR,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/OR021@3_1.mat,OR,1.0,OR,OR,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/OR021@6_1.mat,OR,1.0,OR,OR,True,True,correct_both
data/raw/source_domain/cwru_48khz_normal/N_1_(1772rpm).mat,N,1.0,N,N,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/B007_2.mat,B,2.0,B,B,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/B014_2.mat,B,2.0,B,B,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/B021_2.mat,B,2.0,B,B,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/IR007_2.mat,IR,2.0,IR,IR,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/IR014_2.mat,IR,2.0,IR,IR,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/IR021_2.mat,IR,2.0,IR,IR,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/OR007@12_2.mat,OR,2.0,OR,OR,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/OR007@3_2.mat,OR,2.0,OR,OR,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/OR007@6_2.mat,OR,2.0,OR,OR,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/OR014@6_2.mat,OR,2.0,B,OR,False,True,corrected
data/raw/source_domain/cwru_48khz_de/OR021@12_2.mat,OR,2.0,OR,OR,True,True,correct_both
data/raw/source_domain/cwru_48khz_de/OR021@3_2.mat,OR,2.0,OR,OR,True,True,correct_both
