evaluation_run,experiment_id,features,dropped
R1,E0_baseline,td_rms|td_std|td_peak_abs|td_ptp|td_skewness|td_kurtosis|td_crest_factor|td_impulse_factor|td_shape_factor|td_clearance_factor|td_zero_cross_rate|fd_dominant_hz_0_6k|fd_centroid_hz_0_6k|fd_f95_hz_0_6k|fd_entropy_0_6k|fd_energy_ratio_0_500|fd_energy_ratio_500_1500|fd_energy_ratio_1500_3000|fd_energy_ratio_3000_6000|env_rms|env_kurtosis|env_dominant_hz_0_500|env_centroid_hz_0_500|env_entropy_0_500|env_energy_ratio_0_50|env_energy_ratio_50_150|env_energy_ratio_150_300|env_energy_ratio_300_500,
R2,E0_baseline,td_rms|td_std|td_peak_abs|td_ptp|td_skewness|td_kurtosis|td_crest_factor|td_impulse_factor|td_shape_factor|td_clearance_factor|td_zero_cross_rate|fd_dominant_hz_0_6k|fd_centroid_hz_0_6k|fd_f95_hz_0_6k|fd_entropy_0_6k|fd_energy_ratio_0_500|fd_energy_ratio_500_1500|fd_energy_ratio_1500_3000|fd_energy_ratio_3000_6000|env_rms|env_kurtosis|env_dominant_hz_0_500|env_centroid_hz_0_500|env_entropy_0_500|env_energy_ratio_0_50|env_energy_ratio_50_150|env_energy_ratio_150_300|env_energy_ratio_300_500,
R3,E0_baseline,td_rms|td_std|td_peak_abs|td_ptp|td_skewness|td_kurtosis|td_crest_factor|td_impulse_factor|td_shape_factor|td_clearance_factor|td_zero_cross_rate|fd_dominant_hz_0_6k|fd_centroid_hz_0_6k|fd_f95_hz_0_6k|fd_entropy_0_6k|fd_energy_ratio_0_500|fd_energy_ratio_500_1500|fd_energy_ratio_1500_3000|fd_energy_ratio_3000_6000|env_rms|env_kurtosis|env_dominant_hz_0_500|env_centroid_hz_0_500|env_entropy_0_500|env_energy_ratio_0_50|env_energy_ratio_50_150|env_energy_ratio_150_300|env_energy_ratio_300_500,
R4,E0_baseline,td_rms|td_std|td_peak_abs|td_ptp|td_skewness|td_kurtosis|td_crest_factor|td_impulse_factor|td_shape_factor|td_clearance_factor|td_zero_cross_rate|fd_dominant_hz_0_6k|fd_centroid_hz_0_6k|fd_f95_hz_0_6k|fd_entropy_0_6k|fd_energy_ratio_0_500|fd_energy_ratio_500_1500|fd_energy_ratio_1500_3000|fd_energy_ratio_3000_6000|env_rms|env_kurtosis|env_dominant_hz_0_500|env_centroid_hz_0_500|env_entropy_0_500|env_energy_ratio_0_50|env_energy_ratio_50_150|env_energy_ratio_150_300|env_energy_ratio_300_500,
R1,E1_corr98_logreg,td_rms|td_peak_abs|td_skewness|td_kurtosis|td_crest_factor|td_impulse_factor|td_shape_factor|td_zero_cross_rate|fd_dominant_hz_0_6k|fd_centroid_hz_0_6k|fd_f95_hz_0_6k|fd_entropy_0_6k|fd_energy_ratio_0_500|fd_energy_ratio_500_1500|fd_energy_ratio_1500_3000|fd_energy_ratio_3000_6000|env_rms|env_kurtosis|env_dominant_hz_0_500|env_centroid_hz_0_500|env_entropy_0_500|env_energy_ratio_0_50|env_energy_ratio_50_150|env_energy_ratio_150_300|env_energy_ratio_300_500,td_std|td_ptp|td_clearance_factor
R2,E1_corr98_logreg,td_rms|td_peak_abs|td_skewness|td_kurtosis|td_crest_factor|td_impulse_factor|td_shape_factor|td_zero_cross_rate|fd_dominant_hz_0_6k|fd_centroid_hz_0_6k|fd_f95_hz_0_6k|fd_entropy_0_6k|fd_energy_ratio_0_500|fd_energy_ratio_500_1500|fd_energy_ratio_1500_3000|fd_energy_ratio_3000_6000|env_rms|env_kurtosis|env_dominant_hz_0_500|env_centroid_hz_0_500|env_entropy_0_500|env_energy_ratio_0_50|env_energy_ratio_50_150|env_energy_ratio_150_300|env_energy_ratio_300_500,td_std|td_ptp|td_clearance_factor
R3,E1_corr98_logreg,td_rms|td_peak_abs|td_skewness|td_kurtosis|td_crest_factor|td_impulse_factor|td_shape_factor|td_zero_cross_rate|fd_dominant_hz_0_6k|fd_centroid_hz_0_6k|fd_f95_hz_0_6k|fd_entropy_0_6k|fd_energy_ratio_0_500|fd_energy_ratio_500_1500|fd_energy_ratio_1500_3000|fd_energy_ratio_3000_6000|env_rms|env_kurtosis|env_dominant_hz_0_500|env_centroid_hz_0_500|env_entropy_0_500|env_energy_ratio_0_50|env_energy_ratio_50_150|env_energy_ratio_150_300|env_energy_ratio_300_500,td_std|td_ptp|td_clearance_factor
R4,E1_corr98_logreg,td_rms|td_peak_abs|td_skewness|td_kurtosis|td_crest_factor|td_impulse_factor|td_shape_factor|td_zero_cross_rate|fd_dominant_hz_0_6k|fd_centroid_hz_0_6k|fd_f95_hz_0_6k|fd_entropy_0_6k|fd_energy_ratio_0_500|fd_energy_ratio_500_1500|fd_energy_ratio_1500_3000|fd_energy_ratio_3000_6000|env_rms|env_kurtosis|env_dominant_hz_0_500|env_centroid_hz_0_500|env_entropy_0_500|env_energy_ratio_0_50|env_energy_ratio_50_150|env_energy_ratio_150_300|env_energy_ratio_300_500,td_std|td_ptp|td_clearance_factor
R1,E2_corr98_random_forest,td_rms|td_peak_abs|td_skewness|td_kurtosis|td_crest_factor|td_impulse_factor|td_shape_factor|td_zero_cross_rate|fd_dominant_hz_0_6k|fd_centroid_hz_0_6k|fd_f95_hz_0_6k|fd_entropy_0_6k|fd_energy_ratio_0_500|fd_energy_ratio_500_1500|fd_energy_ratio_1500_3000|fd_energy_ratio_3000_6000|env_rms|env_kurtosis|env_dominant_hz_0_500|env_centroid_hz_0_500|env_entropy_0_500|env_energy_ratio_0_50|env_energy_ratio_50_150|env_energy_ratio_150_300|env_energy_ratio_300_500,td_std|td_ptp|td_clearance_factor
R2,E2_corr98_random_forest,td_rms|td_peak_abs|td_skewness|td_kurtosis|td_crest_factor|td_impulse_factor|td_shape_factor|td_zero_cross_rate|fd_dominant_hz_0_6k|fd_centroid_hz_0_6k|fd_f95_hz_0_6k|fd_entropy_0_6k|fd_energy_ratio_0_500|fd_energy_ratio_500_1500|fd_energy_ratio_1500_3000|fd_energy_ratio_3000_6000|env_rms|env_kurtosis|env_dominant_hz_0_500|env_centroid_hz_0_500|env_entropy_0_500|env_energy_ratio_0_50|env_energy_ratio_50_150|env_energy_ratio_150_300|env_energy_ratio_300_500,td_std|td_ptp|td_clearance_factor
