evaluation_run,experiment_id,selected_config_id,n_features,dropped,n_files,macro_f1,balanced_accuracy,accuracy,min_class_recall,precision_OR,recall_OR,f1_OR,support_OR,precision_IR,recall_IR,f1_IR,support_IR,precision_B,recall_B,f1_B,support_B,precision_N,recall_N,f1_N,support_N
R1,E0_baseline,LR_0.1_none,28,,14,0.6166666666666667,0.6309523809523809,0.7857142857142857,0.0,0.75,0.8571428571428571,0.8,7,1.0,1.0,1.0,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,0.0,0.0,0.0,1
R2,E0_baseline,LR_0.1_bal,28,,14,0.945054945054945,0.9642857142857143,0.9285714285714286,0.8571428571428571,1.0,0.8571428571428571,0.9230769230769231,7,1.0,1.0,1.0,3,0.75,1.0,0.8571428571428571,3,1.0,1.0,1.0,1
R3,E0_baseline,LR_0.1_bal,28,,14,0.7976190476190476,0.7976190476190476,0.7857142857142857,0.6666666666666666,0.8571428571428571,0.8571428571428571,0.8571428571428571,7,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,1.0,1.0,1.0,1
R4,E0_baseline,LR_0.1_none,28,,14,0.945054945054945,0.9642857142857143,0.9285714285714286,0.8571428571428571,1.0,0.8571428571428571,0.9230769230769231,7,1.0,1.0,1.0,3,0.75,1.0,0.8571428571428571,3,1.0,1.0,1.0,1
R1,E1_corr98_logreg,LR_0.1_none,25,td_std|td_ptp|td_clearance_factor,14,0.6166666666666667,0.6309523809523809,0.7857142857142857,0.0,0.75,0.8571428571428571,0.8,7,1.0,1.0,1.0,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,0.0,0.0,0.0,1
R2,E1_corr98_logreg,LR_0.1_bal,25,td_std|td_ptp|td_clearance_factor,14,0.945054945054945,0.9642857142857143,0.9285714285714286,0.8571428571428571,1.0,0.8571428571428571,0.9230769230769231,7,1.0,1.0,1.0,3,0.75,1.0,0.8571428571428571,3,1.0,1.0,1.0,1
R3,E1_corr98_logreg,LR_0.1_none,25,td_std|td_ptp|td_clearance_factor,14,0.7976190476190476,0.7976190476190476,0.7857142857142857,0.6666666666666666,0.8571428571428571,0.8571428571428571,0.8571428571428571,7,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,1.0,1.0,1.0,1
R4,E1_corr98_logreg,LR_10_bal,25,td_std|td_ptp|td_clearance_factor,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,1.0,1.0,1.0,3,1.0,1.0,1.0,3,1.0,1.0,1.0,1
R1,E2_corr98_random_forest,RF_200_full_l1,25,td_std|td_ptp|td_clearance_factor,14,0.945054945054945,0.9642857142857143,0.9285714285714286,0.8571428571428571,1.0,0.8571428571428571,0.9230769230769231,7,1.0,1.0,1.0,3,0.75,1.0,0.8571428571428571,3,1.0,1.0,1.0,1
R2,E2_corr98_random_forest,RF_200_full_l1,25,td_std|td_ptp|td_clearance_factor,14,0.8785714285714286,0.8809523809523809,0.8571428571428571,0.6666666666666666,0.8571428571428571,0.8571428571428571,0.8571428571428571,7,1.0,0.6666666666666666,0.8,3,0.75,1.0,0.8571428571428571,3,1.0,1.0,1.0,1
R3,E2_corr98_random_forest,RF_200_full_l1,25,td_std|td_ptp|td_clearance_factor,14,0.9333333333333333,0.9166666666666666,0.9285714285714286,0.6666666666666666,0.875,1.0,0.9333333333333333,7,1.0,0.6666666666666666,0.8,3,1.0,1.0,1.0,3,1.0,1.0,1.0,1
R4,E2_corr98_random_forest,RF_200_full_l1,25,td_std|td_ptp|td_clearance_factor,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,1.0,1.0,1.0,3,1.0,1.0,1.0,3,1.0,1.0,1.0,1
R1,E3_mechanism_logreg,LR_0.1_none,39,,14,0.6785714285714286,0.7142857142857143,0.8571428571428571,0.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,7,1.0,1.0,1.0,3,0.75,1.0,0.8571428571428571,3,0.0,0.0,0.0,1
R2,E3_mechanism_logreg,LR_1_none,39,,14,0.945054945054945,0.9642857142857143,0.9285714285714286,0.8571428571428571,1.0,0.8571428571428571,0.9230769230769231,7,1.0,1.0,1.0,3,0.75,1.0,0.8571428571428571,3,1.0,1.0,1.0,1
R3,E3_mechanism_logreg,LR_0.1_bal,39,,14,0.8785714285714286,0.8809523809523809,0.8571428571428571,0.6666666666666666,0.8571428571428571,0.8571428571428571,0.8571428571428571,7,1.0,0.6666666666666666,0.8,3,0.75,1.0,0.8571428571428571,3,1.0,1.0,1.0,1
R4,E3_mechanism_logreg,LR_10_bal,39,,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,1.0,1.0,1.0,3,1.0,1.0,1.0,3,1.0,1.0,1.0,1
