method,setting,seed,simulated_target_load,macro_f1,balanced_accuracy,accuracy,min_class_recall,precision_OR,recall_OR,f1_OR,support_OR,precision_IR,recall_IR,f1_IR,support_IR,precision_B,recall_B,f1_B,support_B,precision_N,recall_N,f1_N,support_N
A0_no_transfer,frozen_rf,20260916,0,0.8682692307692308,0.8809523809523809,0.8571428571428571,0.6666666666666666,1.0,0.8571428571428571,0.9230769230769231,7,1.0,0.6666666666666666,0.8,3,0.6,1.0,0.75,3,1.0,1.0,1.0,1
A0_no_transfer,frozen_rf,20260916,1,0.945054945054945,0.9642857142857143,0.9285714285714286,0.8571428571428571,1.0,0.8571428571428571,0.9230769230769231,7,1.0,1.0,1.0,3,0.75,1.0,0.8571428571428571,3,1.0,1.0,1.0,1
A0_no_transfer,frozen_rf,20260916,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,1.0,1.0,1.0,3,1.0,1.0,1.0,3,1.0,1.0,1.0,1
A0_no_transfer,frozen_rf,20260916,3,0.945054945054945,0.9642857142857143,0.9285714285714286,0.8571428571428571,1.0,0.8571428571428571,0.9230769230769231,7,1.0,1.0,1.0,3,0.75,1.0,0.8571428571428571,3,1.0,1.0,1.0,1
A0_no_transfer,frozen_rf,20260917,0,0.8682692307692308,0.8809523809523809,0.8571428571428571,0.6666666666666666,1.0,0.8571428571428571,0.9230769230769231,7,1.0,0.6666666666666666,0.8,3,0.6,1.0,0.75,3,1.0,1.0,1.0,1
A0_no_transfer,frozen_rf,20260917,1,0.945054945054945,0.9642857142857143,0.9285714285714286,0.8571428571428571,1.0,0.8571428571428571,0.9230769230769231,7,1.0,1.0,1.0,3,0.75,1.0,0.8571428571428571,3,1.0,1.0,1.0,1
A0_no_transfer,frozen_rf,20260917,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,1.0,1.0,1.0,3,1.0,1.0,1.0,3,1.0,1.0,1.0,1
A0_no_transfer,frozen_rf,20260917,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,1.0,1.0,1.0,3,1.0,1.0,1.0,3,1.0,1.0,1.0,1
A0_no_transfer,frozen_rf,20260918,0,0.8682692307692308,0.8809523809523809,0.8571428571428571,0.6666666666666666,1.0,0.8571428571428571,0.9230769230769231,7,1.0,0.6666666666666666,0.8,3,0.6,1.0,0.75,3,1.0,1.0,1.0,1
A0_no_transfer,frozen_rf,20260918,1,0.945054945054945,0.9642857142857143,0.9285714285714286,0.8571428571428571,1.0,0.8571428571428571,0.9230769230769231,7,1.0,1.0,1.0,3,0.75,1.0,0.8571428571428571,3,1.0,1.0,1.0,1
A0_no_transfer,frozen_rf,20260918,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,1.0,1.0,1.0,3,1.0,1.0,1.0,3,1.0,1.0,1.0,1
A0_no_transfer,frozen_rf,20260918,3,0.945054945054945,0.9642857142857143,0.9285714285714286,0.8571428571428571,1.0,0.8571428571428571,0.9230769230769231,7,1.0,1.0,1.0,3,0.75,1.0,0.8571428571428571,3,1.0,1.0,1.0,1
