target_id,independent_object_id,truth_status,n_windows,p_OR,p_IR,p_B,p_N,pred_label,confidence,margin,entropy_norm,window_consistency
A,data/raw/target_domain/train_bearing_a_to_p/A.mat,unknown,15,0.43555555555555553,0.17644444444444443,0.268,0.12000000000000001,OR,0.43555555555555553,0.1675555555555555,0.9200188558504778,1.0
B,data/raw/target_domain/train_bearing_a_to_p/B.mat,unknown,15,0.4631111111111111,0.12688888888888888,0.2982222222222222,0.11177777777777778,OR,0.4631111111111111,0.16488888888888886,0.8830798401884864,1.0
C,data/raw/target_domain/train_bearing_a_to_p/C.mat,unknown,15,0.6288888888888889,0.16355555555555554,0.11422222222222222,0.09333333333333334,OR,0.6288888888888889,0.4653333333333334,0.7624485240401053,1.0
D,data/raw/target_domain/train_bearing_a_to_p/D.mat,unknown,15,0.5326666666666667,0.13755555555555557,0.22733333333333333,0.10244444444444444,OR,0.5326666666666667,0.3053333333333334,0.8501429004679777,1.0
E,data/raw/target_domain/train_bearing_a_to_p/E.mat,unknown,15,0.6122222222222222,0.17044444444444445,0.11955555555555557,0.09777777777777778,OR,0.6122222222222222,0.44177777777777777,0.7813924930289456,1.0
F,data/raw/target_domain/train_bearing_a_to_p/F.mat,unknown,15,0.47200000000000003,0.14844444444444443,0.27666666666666667,0.10288888888888889,OR,0.47200000000000003,0.19533333333333336,0.8851017594644547,1.0
G,data/raw/target_domain/train_bearing_a_to_p/G.mat,unknown,15,0.4686666666666667,0.12333333333333334,0.2853333333333333,0.12266666666666667,OR,0.4686666666666667,0.18333333333333335,0.8861975265990578,1.0
H,data/raw/target_domain/train_bearing_a_to_p/H.mat,unknown,15,0.5704444444444444,0.29688888888888887,0.01933333333333333,0.11333333333333333,OR,0.5704444444444444,0.27355555555555555,0.7241004929389454,1.0
I,data/raw/target_domain/train_bearing_a_to_p/I.mat,unknown,15,0.5624444444444445,0.16999999999999998,0.17422222222222222,0.09333333333333334,OR,0.5624444444444445,0.3882222222222223,0.8300444149092056,1.0
J,data/raw/target_domain/train_bearing_a_to_p/J.mat,unknown,15,0.5935555555555555,0.17644444444444443,0.13644444444444445,0.09355555555555556,OR,0.5935555555555555,0.4171111111111111,0.8000659835126298,1.0
K,data/raw/target_domain/train_bearing_a_to_p/K.mat,unknown,15,0.5617777777777777,0.2648888888888889,0.05511111111111111,0.11822222222222223,OR,0.5617777777777777,0.2968888888888888,0.7848260265582896,1.0
L,data/raw/target_domain/train_bearing_a_to_p/L.mat,unknown,15,0.4757777777777778,0.1317777777777778,0.27311111111111114,0.11933333333333333,OR,0.4757777777777778,0.20266666666666666,0.8862642605736082,1.0
M,data/raw/target_domain/train_bearing_a_to_p/M.mat,unknown,15,0.5744444444444444,0.2528888888888889,0.05511111111111111,0.11755555555555557,OR,0.5744444444444444,0.32155555555555554,0.7772661512658562,1.0
N,data/raw/target_domain/train_bearing_a_to_p/N.mat,unknown,15,0.4744444444444444,0.22711111111111112,0.20177777777777778,0.09666666666666666,OR,0.4744444444444444,0.24733333333333327,0.8939117480718816,1.0
O,data/raw/target_domain/train_bearing_a_to_p/O.mat,unknown,15,0.45555555555555555,0.11177777777777778,0.3128888888888889,0.11977777777777777,OR,0.45555555555555555,0.14266666666666666,0.8806480536474939,1.0
P,data/raw/target_domain/train_bearing_a_to_p/P.mat,unknown,15,0.5475555555555556,0.1262222222222222,0.22511111111111112,0.10111111111111111,OR,0.5475555555555556,0.3224444444444444,0.8356148493432434,1.0
