target_id,pred_seed_20260916,confidence_seed_20260916,pred_seed_20260917,confidence_seed_20260917,pred_seed_20260918,confidence_seed_20260918,all_seed_labels_agree
A,OR,0.43555555555555553,OR,0.4233333333333333,OR,0.4171111111111111,True
B,OR,0.4631111111111111,OR,0.4686666666666667,OR,0.4664444444444444,True
C,OR,0.6288888888888889,OR,0.6484444444444445,OR,0.6346666666666666,True
D,OR,0.5326666666666667,OR,0.49133333333333334,OR,0.4857777777777778,True
E,OR,0.6122222222222222,OR,0.5964444444444444,OR,0.6148888888888888,True
F,OR,0.47200000000000003,OR,0.446,OR,0.45,True
G,OR,0.4686666666666667,OR,0.4613333333333333,OR,0.4713333333333333,True
H,OR,0.5704444444444444,OR,0.5873333333333334,OR,0.5737777777777778,True
I,OR,0.5624444444444445,OR,0.5726666666666667,OR,0.5682222222222222,True
J,OR,0.5935555555555555,OR,0.5977777777777777,OR,0.5871111111111111,True
K,OR,0.5617777777777777,OR,0.554888888888889,OR,0.5755555555555555,True
L,OR,0.4757777777777778,OR,0.45666666666666667,OR,0.4568888888888889,True
M,OR,0.5744444444444444,OR,0.5562222222222223,OR,0.583111111111111,True
N,OR,0.4744444444444444,OR,0.5155555555555555,OR,0.49777777777777776,True
O,OR,0.45555555555555555,OR,0.44333333333333336,OR,0.4588888888888889,True
P,OR,0.5475555555555556,OR,0.49622222222222223,OR,0.49466666666666664,True
