target_id,independent_object_id,truth_status,n_windows,p_OR,p_IR,p_B,p_N,final_pred_label,model_score_top1,score_margin_top1_top2,entropy_norm,window_consistency,score_interpretation,vote_label,vote_agreement_rate,all_seed_labels_agree,nearest_all28_source_class,pred_class_distance_over_source_p95,mechanism_nearest_source_class,mechanism_pred_class_similarity_index,mechanism_model_prototype_agree,three_most_prototype_consistent_mechanism_features,three_largest_mechanism_feature_deviations,flag_low_source_like_score,flag_small_margin,flag_high_entropy,flag_outside_predicted_class_p95_support,flag_prototype_conflict,global_collapse_warning,uncertainty_level,uncertainty_reasons,target_accuracy_available
A,data/raw/target_domain/train_bearing_a_to_p/A.mat,unknown,15,0.43555555555555553,0.17644444444444443,0.268,0.12000000000000001,OR,0.43555555555555553,0.1675555555555555,0.9200188558504778,1.0,uncalibrated class score; not a true correctness probability,OR,1.0,True,OR,3.5688453227811974,IR,0.4509762852738132,False,fd_energy_ratio_3000_6000(|zdiff|=0.088);fd_energy_ratio_0_500(|zdiff|=0.308);env_energy_ratio_0_50(|zdiff|=0.648),fd_energy_ratio_500_1500(|zdiff|=2.357);env_energy_ratio_300_500(|zdiff|=1.864);env_energy_ratio_50_150(|zdiff|=1.523),True,True,True,True,True,True,very_low_trust,top score below source-correct OOF q10; margin below source-correct OOF q10; entropy above source-correct OOF q90; outside predicted-class source p95 support; mechanism prototype nearest class disagrees with model; global A-P output collapse warning,False
B,data/raw/target_domain/train_bearing_a_to_p/B.mat,unknown,15,0.4631111111111111,0.12688888888888888,0.2982222222222222,0.11177777777777778,OR,0.4631111111111111,0.16488888888888886,0.8830798401884864,1.0,uncalibrated class score; not a true correctness probability,OR,1.0,True,N,2.464126188467588,B,0.5094920848327692,False,env_energy_ratio_150_300(|zdiff|=0.039);td_crest_factor(|zdiff|=0.217);env_kurtosis(|zdiff|=0.278),fd_energy_ratio_0_500(|zdiff|=2.194);env_energy_ratio_50_150(|zdiff|=1.479);env_energy_ratio_0_50(|zdiff|=1.236),True,True,True,True,True,True,very_low_trust,top score below source-correct OOF q10; margin below source-correct OOF q10; entropy above source-correct OOF q90; outside predicted-class source p95 support; mechanism prototype nearest class disagrees with model; global A-P output collapse warning,False
C,data/raw/target_domain/train_bearing_a_to_p/C.mat,unknown,15,0.6288888888888889,0.16355555555555554,0.11422222222222222,0.09333333333333334,OR,0.6288888888888889,0.4653333333333334,0.7624485240401053,1.0,uncalibrated class score; not a true correctness probability,OR,1.0,True,OR,53.50158309007545,OR,0.43868338824869374,True,fd_energy_ratio_0_500(|zdiff|=0.005);env_energy_ratio_150_300(|zdiff|=0.064);env_energy_ratio_50_150(|zdiff|=0.204),td_kurtosis(|zdiff|=2.598);env_kurtosis(|zdiff|=2.101);td_impulse_factor(|zdiff|=1.964),False,False,True,True,False,True,very_low_trust,entropy above source-correct OOF q90; outside predicted-class source p95 support; global A-P output collapse warning,False
D,data/raw/target_domain/train_bearing_a_to_p/D.mat,unknown,15,0.5326666666666667,0.13755555555555557,0.22733333333333333,0.10244444444444444,OR,0.5326666666666667,0.3053333333333334,0.8501429004679777,1.0,uncalibrated class score; not a true correctness probability,OR,1.0,True,OR,8.464886136067252,IR,0.4401213796058136,False,fd_energy_ratio_0_500(|zdiff|=0.059);fd_energy_ratio_500_1500(|zdiff|=0.061);env_energy_ratio_0_50(|zdiff|=0.744),env_energy_ratio_300_500(|zdiff|=2.129);fd_energy_ratio_3000_6000(|zdiff|=1.938);env_energy_ratio_50_150(|zdiff|=1.578),True,True,True,True,True,True,very_low_trust,top score below source-correct OOF q10; margin below source-correct OOF q10; entropy above source-correct OOF q90; outside predicted-class source p95 support; mechanism prototype nearest class disagrees with model; global A-P output collapse warning,False
E,data/raw/target_domain/train_bearing_a_to_p/E.mat,unknown,15,0.6122222222222222,0.17044444444444445,0.11955555555555557,0.09777777777777778,OR,0.6122222222222222,0.44177777777777777,0.7813924930289456,1.0,uncalibrated class score; not a true correctness probability,OR,1.0,True,OR,27.464912040347386,B,0.3350609922803524,False,fd_energy_ratio_0_500(|zdiff|=0.140);env_energy_ratio_300_500(|zdiff|=0.213);env_energy_ratio_150_300(|zdiff|=0.216),td_kurtosis(|zdiff|=4.459);env_kurtosis(|zdiff|=3.347);td_impulse_factor(|zdiff|=2.855),True,False,True,True,True,True,very_low_trust,top score below source-correct OOF q10; entropy above source-correct OOF q90; outside predicted-class source p95 support; mechanism prototype nearest class disagrees with model; global A-P output collapse warning,False
F,data/raw/target_domain/train_bearing_a_to_p/F.mat,unknown,15,0.47200000000000003,0.14844444444444443,0.27666666666666667,0.10288888888888889,OR,0.47200000000000003,0.19533333333333336,0.8851017594644547,1.0,uncalibrated class score; not a true correctness probability,OR,1.0,True,OR,5.898513788893458,IR,0.4623527854872604,False,fd_energy_ratio_0_500(|zdiff|=0.088);fd_energy_ratio_500_1500(|zdiff|=0.730);env_energy_ratio_0_50(|zdiff|=0.766),env_energy_ratio_300_500(|zdiff|=2.150);env_energy_ratio_50_150(|zdiff|=1.612);td_impulse_factor(|zdiff|=1.212),True,True,True,True,True,True,very_low_trust,top score below source-correct OOF q10; margin below source-correct OOF q10; entropy above source-correct OOF q90; outside predicted-class source p95 support; mechanism prototype nearest class disagrees with model; global A-P output collapse warning,False
G,data/raw/target_domain/train_bearing_a_to_p/G.mat,unknown,15,0.4686666666666667,0.12333333333333334,0.2853333333333333,0.12266666666666667,OR,0.4686666666666667,0.18333333333333335,0.8861975265990578,1.0,uncalibrated class score; not a true correctness probability,OR,1.0,True,N,2.499758805438059,N,0.4556538531944735,False,env_energy_ratio_300_500(|zdiff|=0.000);env_energy_ratio_150_300(|zdiff|=0.107);td_crest_factor(|zdiff|=0.315),fd_energy_ratio_0_500(|zdiff|=3.316);fd_energy_ratio_1500_3000(|zdiff|=1.343);td_kurtosis(|zdiff|=0.973),True,True,True,True,True,True,very_low_trust,top score below source-correct OOF q10; margin below source-correct OOF q10; entropy above source-correct OOF q90; outside predicted-class source p95 support; mechanism prototype nearest class disagrees with model; global A-P output collapse warning,False
H,data/raw/target_domain/train_bearing_a_to_p/H.mat,unknown,15,0.5704444444444444,0.29688888888888887,0.01933333333333333,0.11333333333333333,OR,0.5704444444444444,0.27355555555555555,0.7241004929389454,1.0,uncalibrated class score; not a true correctness probability,OR,1.0,True,OR,12.579171533198771,IR,0.46672393095892606,False,fd_energy_ratio_3000_6000(|zdiff|=0.016);fd_energy_ratio_0_500(|zdiff|=0.154);td_crest_factor(|zdiff|=0.264),env_energy_ratio_300_500(|zdiff|=2.442);fd_energy_ratio_500_1500(|zdiff|=2.242);env_energy_ratio_0_50(|zdiff|=1.382),True,True,True,True,True,True,very_low_trust,top score below source-correct OOF q10; margin below source-correct OOF q10; entropy above source-correct OOF q90; outside predicted-class source p95 support; mechanism prototype nearest class disagrees with model; global A-P output collapse warning,False
I,data/raw/target_domain/train_bearing_a_to_p/I.mat,unknown,15,0.5624444444444445,0.16999999999999998,0.17422222222222222,0.09333333333333334,OR,0.5624444444444445,0.3882222222222223,0.8300444149092056,1.0,uncalibrated class score; not a true correctness probability,OR,1.0,True,OR,47.00924700171183,B,0.4784465434499113,False,fd_energy_ratio_0_500(|zdiff|=0.055);env_energy_ratio_0_50(|zdiff|=0.083);env_energy_ratio_300_500(|zdiff|=0.154),env_kurtosis(|zdiff|=2.459);td_kurtosis(|zdiff|=1.560);td_crest_factor(|zdiff|=1.250),True,False,True,True,True,True,very_low_trust,top score below source-correct OOF q10; entropy above source-correct OOF q90; outside predicted-class source p95 support; mechanism prototype nearest class disagrees with model; global A-P output collapse warning,False
J,data/raw/target_domain/train_bearing_a_to_p/J.mat,unknown,15,0.5935555555555555,0.17644444444444443,0.13644444444444445,0.09355555555555556,OR,0.5935555555555555,0.4171111111111111,0.8000659835126298,1.0,uncalibrated class score; not a true correctness probability,OR,1.0,True,OR,58.24759875024184,B,0.34112649993811955,False,fd_energy_ratio_0_500(|zdiff|=0.042);env_energy_ratio_0_50(|zdiff|=0.128);env_energy_ratio_300_500(|zdiff|=0.383),td_kurtosis(|zdiff|=3.916);env_kurtosis(|zdiff|=3.457);td_impulse_factor(|zdiff|=2.884),True,False,True,True,True,True,very_low_trust,top score below source-correct OOF q10; entropy above source-correct OOF q90; outside predicted-class source p95 support; mechanism prototype nearest class disagrees with model; global A-P output collapse warning,False
K,data/raw/target_domain/train_bearing_a_to_p/K.mat,unknown,15,0.5617777777777777,0.2648888888888889,0.05511111111111111,0.11822222222222223,OR,0.5617777777777777,0.2968888888888888,0.7848260265582896,1.0,uncalibrated class score; not a true correctness probability,OR,1.0,True,OR,11.337531717093244,IR,0.42240576789148954,False,env_energy_ratio_150_300(|zdiff|=0.241);fd_energy_ratio_3000_6000(|zdiff|=0.349);fd_energy_ratio_0_500(|zdiff|=0.427),fd_energy_ratio_500_1500(|zdiff|=3.568);env_energy_ratio_300_500(|zdiff|=2.120);env_energy_ratio_0_50(|zdiff|=1.130),True,True,True,True,True,True,very_low_trust,top score below source-correct OOF q10; margin below source-correct OOF q10; entropy above source-correct OOF q90; outside predicted-class source p95 support; mechanism prototype nearest class disagrees with model; global A-P output collapse warning,False
L,data/raw/target_domain/train_bearing_a_to_p/L.mat,unknown,15,0.4757777777777778,0.1317777777777778,0.27311111111111114,0.11933333333333333,OR,0.4757777777777778,0.20266666666666666,0.8862642605736082,1.0,uncalibrated class score; not a true correctness probability,OR,1.0,True,N,2.7797366033871103,B,0.5082664604598348,False,fd_energy_ratio_500_1500(|zdiff|=0.070);env_energy_ratio_150_300(|zdiff|=0.353);env_energy_ratio_0_50(|zdiff|=0.557),fd_energy_ratio_0_500(|zdiff|=1.794);env_energy_ratio_50_150(|zdiff|=1.479);td_kurtosis(|zdiff|=1.073),True,True,True,True,True,True,very_low_trust,top score below source-correct OOF q10; margin below source-correct OOF q10; entropy above source-correct OOF q90; outside predicted-class source p95 support; mechanism prototype nearest class disagrees with model; global A-P output collapse warning,False
M,data/raw/target_domain/train_bearing_a_to_p/M.mat,unknown,15,0.5744444444444444,0.2528888888888889,0.05511111111111111,0.11755555555555557,OR,0.5744444444444444,0.32155555555555554,0.7772661512658562,1.0,uncalibrated class score; not a true correctness probability,OR,1.0,True,OR,10.259987482847936,N,0.3854407728241404,False,env_energy_ratio_150_300(|zdiff|=0.187);fd_energy_ratio_3000_6000(|zdiff|=0.258);env_energy_ratio_50_150(|zdiff|=0.408),fd_energy_ratio_500_1500(|zdiff|=3.971);env_energy_ratio_300_500(|zdiff|=2.721);env_energy_ratio_0_50(|zdiff|=1.353),True,False,True,True,True,True,very_low_trust,top score below source-correct OOF q10; entropy above source-correct OOF q90; outside predicted-class source p95 support; mechanism prototype nearest class disagrees with model; global A-P output collapse warning,False
N,data/raw/target_domain/train_bearing_a_to_p/N.mat,unknown,15,0.4744444444444444,0.22711111111111112,0.20177777777777778,0.09666666666666666,OR,0.4744444444444444,0.24733333333333327,0.8939117480718816,1.0,uncalibrated class score; not a true correctness probability,OR,1.0,True,OR,20.757275852489943,B,0.2727066757759004,False,fd_energy_ratio_0_500(|zdiff|=0.058);fd_energy_ratio_3000_6000(|zdiff|=0.207);fd_energy_ratio_1500_3000(|zdiff|=0.361),env_kurtosis(|zdiff|=6.971);td_crest_factor(|zdiff|=4.009);td_kurtosis(|zdiff|=3.163),True,True,True,True,True,True,very_low_trust,top score below source-correct OOF q10; margin below source-correct OOF q10; entropy above source-correct OOF q90; outside predicted-class source p95 support; mechanism prototype nearest class disagrees with model; global A-P output collapse warning,False
O,data/raw/target_domain/train_bearing_a_to_p/O.mat,unknown,15,0.45555555555555555,0.11177777777777778,0.3128888888888889,0.11977777777777777,OR,0.45555555555555555,0.14266666666666666,0.8806480536474939,1.0,uncalibrated class score; not a true correctness probability,OR,1.0,True,N,2.4954819561780877,N,0.4047715845907271,False,env_energy_ratio_300_500(|zdiff|=0.115);env_energy_ratio_150_300(|zdiff|=0.164);fd_energy_ratio_3000_6000(|zdiff|=0.170),fd_energy_ratio_0_500(|zdiff|=4.111);fd_energy_ratio_1500_3000(|zdiff|=1.486);fd_energy_ratio_500_1500(|zdiff|=1.334),True,True,True,True,True,True,very_low_trust,top score below source-correct OOF q10; margin below source-correct OOF q10; entropy above source-correct OOF q90; outside predicted-class source p95 support; mechanism prototype nearest class disagrees with model; global A-P output collapse warning,False
P,data/raw/target_domain/train_bearing_a_to_p/P.mat,unknown,15,0.5475555555555556,0.1262222222222222,0.22511111111111112,0.10111111111111111,OR,0.5475555555555556,0.3224444444444444,0.8356148493432434,1.0,uncalibrated class score; not a true correctness probability,OR,1.0,True,OR,8.599657040775487,IR,0.4340718799416019,False,fd_energy_ratio_0_500(|zdiff|=0.075);fd_energy_ratio_500_1500(|zdiff|=0.108);env_energy_ratio_0_50(|zdiff|=0.777),fd_energy_ratio_3000_6000(|zdiff|=2.130);env_energy_ratio_300_500(|zdiff|=2.060);fd_energy_ratio_1500_3000(|zdiff|=1.657),True,False,True,True,True,True,very_low_trust,top score below source-correct OOF q10; entropy above source-correct OOF q90; outside predicted-class source p95 support; mechanism prototype nearest class disagrees with model; global A-P output collapse warning,False
