target_id,independent_object_id,pred_label,distance_all28_to_OR,distance_all28_to_IR,distance_all28_to_B,distance_all28_to_N,nearest_all28_source_class,pred_class_distance_over_source_p95,mechanism_distance_to_OR,mechanism_distance_to_IR,mechanism_distance_to_B,mechanism_distance_to_N,mechanism_nearest_source_class,mechanism_pred_class_similarity_index,mechanism_model_prototype_agree,three_most_prototype_consistent_mechanism_features,three_largest_mechanism_feature_deviations,evidence_role
A,data/raw/target_domain/train_bearing_a_to_p/A.mat,OR,4.1403425525165645,4.301644815052938,4.505497079244823,4.455742265519269,OR,3.5688453227811974,1.2174114973536656,0.9547769144448113,1.0827798949451082,1.2053140323437626,IR,0.4509762852738132,False,fd_energy_ratio_3000_6000(|zdiff|=0.088);fd_energy_ratio_0_500(|zdiff|=0.308);env_energy_ratio_0_50(|zdiff|=0.648),fd_energy_ratio_500_1500(|zdiff|=2.357);env_energy_ratio_300_500(|zdiff|=1.864);env_energy_ratio_50_150(|zdiff|=1.523),explanatory side evidence only; not target truth
B,data/raw/target_domain/train_bearing_a_to_p/B.mat,OR,2.8587191626820476,3.0153510703577715,3.0796418676408908,2.854938309868214,N,2.464126188467588,0.9627390292593663,1.111661668613559,0.8113302593428457,1.315605832520708,B,0.5094920848327692,False,env_energy_ratio_150_300(|zdiff|=0.039);td_crest_factor(|zdiff|=0.217);env_kurtosis(|zdiff|=0.278),fd_energy_ratio_0_500(|zdiff|=2.194);env_energy_ratio_50_150(|zdiff|=1.479);env_energy_ratio_0_50(|zdiff|=1.236),explanatory side evidence only; not target truth
C,data/raw/target_domain/train_bearing_a_to_p/C.mat,OR,62.069061856178664,62.330647853261496,62.53583101529198,62.772307924838,OR,53.50158309007545,1.2795483640084648,1.5689435764975599,1.325217845332973,2.3105553071580283,OR,0.43868338824869374,True,fd_energy_ratio_0_500(|zdiff|=0.005);env_energy_ratio_150_300(|zdiff|=0.064);env_energy_ratio_50_150(|zdiff|=0.204),td_kurtosis(|zdiff|=2.598);env_kurtosis(|zdiff|=2.101);td_impulse_factor(|zdiff|=1.964),explanatory side evidence only; not target truth
D,data/raw/target_domain/train_bearing_a_to_p/D.mat,OR,9.8204111138261,10.05706389253701,10.285854216228874,10.36941469852945,OR,8.464886136067252,1.2721004848608608,1.229414119374281,1.272639956529093,1.4925864890694345,IR,0.4401213796058136,False,fd_energy_ratio_0_500(|zdiff|=0.059);fd_energy_ratio_500_1500(|zdiff|=0.061);env_energy_ratio_0_50(|zdiff|=0.744),env_energy_ratio_300_500(|zdiff|=2.129);fd_energy_ratio_3000_6000(|zdiff|=1.938);env_energy_ratio_50_150(|zdiff|=1.578),explanatory side evidence only; not target truth
E,data/raw/target_domain/train_bearing_a_to_p/E.mat,OR,31.86300714572788,32.129507719290395,32.328541436679956,32.57412625328877,OR,27.464912040347386,1.984531243682581,2.2075314310705885,1.9683850521513238,2.8320921268724297,B,0.3350609922803524,False,fd_energy_ratio_0_500(|zdiff|=0.140);env_energy_ratio_300_500(|zdiff|=0.213);env_energy_ratio_150_300(|zdiff|=0.216),td_kurtosis(|zdiff|=4.459);env_kurtosis(|zdiff|=3.347);td_impulse_factor(|zdiff|=2.855),explanatory side evidence only; not target truth
F,data/raw/target_domain/train_bearing_a_to_p/F.mat,OR,6.8430725985427,7.0535298789355645,7.277484048394891,7.289956667705902,OR,5.898513788893458,1.1628506010753858,0.9968605658154958,1.0970733542194608,1.3781611485010465,IR,0.4623527854872604,False,fd_energy_ratio_0_500(|zdiff|=0.088);fd_energy_ratio_500_1500(|zdiff|=0.730);env_energy_ratio_0_50(|zdiff|=0.766),env_energy_ratio_300_500(|zdiff|=2.150);env_energy_ratio_50_150(|zdiff|=1.612);td_impulse_factor(|zdiff|=1.212),explanatory side evidence only; not target truth
G,data/raw/target_domain/train_bearing_a_to_p/G.mat,OR,2.9000578106079247,3.0461050278714943,3.1262209517311006,2.7793192311023875,N,2.499758805438059,1.1946484002916993,1.3186185902690921,1.1225276791477203,0.992069260896443,N,0.4556538531944735,False,env_energy_ratio_300_500(|zdiff|=0.000);env_energy_ratio_150_300(|zdiff|=0.107);td_crest_factor(|zdiff|=0.315),fd_energy_ratio_0_500(|zdiff|=3.316);fd_energy_ratio_1500_3000(|zdiff|=1.343);td_kurtosis(|zdiff|=0.973),explanatory side evidence only; not target truth
H,data/raw/target_domain/train_bearing_a_to_p/H.mat,OR,14.593537815116179,14.829473345364717,15.06447509746825,15.185054075044055,OR,12.579171533198771,1.1425942268385736,0.9368557261992586,1.0426531516564064,1.3311613667452924,IR,0.46672393095892606,False,fd_energy_ratio_3000_6000(|zdiff|=0.016);fd_energy_ratio_0_500(|zdiff|=0.154);td_crest_factor(|zdiff|=0.264),env_energy_ratio_300_500(|zdiff|=2.442);fd_energy_ratio_500_1500(|zdiff|=2.242);env_energy_ratio_0_50(|zdiff|=1.382),explanatory side evidence only; not target truth
I,data/raw/target_domain/train_bearing_a_to_p/I.mat,OR,54.53707519362897,54.79796208131132,55.005219183631496,55.237184112925455,OR,47.00924700171183,1.0900976581194393,1.3482774562415374,1.0880090072465471,2.044656142545365,B,0.4784465434499113,False,fd_energy_ratio_0_500(|zdiff|=0.055);env_energy_ratio_0_50(|zdiff|=0.083);env_energy_ratio_300_500(|zdiff|=0.154),env_kurtosis(|zdiff|=2.459);td_kurtosis(|zdiff|=1.560);td_crest_factor(|zdiff|=1.250),explanatory side evidence only; not target truth
J,data/raw/target_domain/train_bearing_a_to_p/J.mat,OR,67.57508097874002,67.83242530054716,68.02576082823121,68.26590362148022,OR,58.24759875024184,1.9314638416581542,2.1018797035874455,1.8870933708319078,2.8307684188849853,B,0.34112649993811955,False,fd_energy_ratio_0_500(|zdiff|=0.042);env_energy_ratio_0_50(|zdiff|=0.128);env_energy_ratio_300_500(|zdiff|=0.383),td_kurtosis(|zdiff|=3.916);env_kurtosis(|zdiff|=3.457);td_impulse_factor(|zdiff|=2.884),explanatory side evidence only; not target truth
K,data/raw/target_domain/train_bearing_a_to_p/K.mat,OR,13.153067943052816,13.381413266628272,13.617506096097705,13.736089743884945,OR,11.337531717093244,1.3673919155784036,1.1993368715217745,1.299483210901621,1.2204091037191818,IR,0.42240576789148954,False,env_energy_ratio_150_300(|zdiff|=0.241);fd_energy_ratio_3000_6000(|zdiff|=0.349);fd_energy_ratio_0_500(|zdiff|=0.427),fd_energy_ratio_500_1500(|zdiff|=3.568);env_energy_ratio_300_500(|zdiff|=2.120);env_energy_ratio_0_50(|zdiff|=1.130),explanatory side evidence only; not target truth
L,data/raw/target_domain/train_bearing_a_to_p/L.mat,OR,3.224869867664232,3.368142891152132,3.4648540510007226,3.1737199376349463,N,2.7797366033871103,0.9674719419717128,1.0294456579085776,0.8849114213764159,1.213466244691358,B,0.5082664604598348,False,fd_energy_ratio_500_1500(|zdiff|=0.070);env_energy_ratio_150_300(|zdiff|=0.353);env_energy_ratio_0_50(|zdiff|=0.557),fd_energy_ratio_0_500(|zdiff|=1.794);env_energy_ratio_50_150(|zdiff|=1.479);td_kurtosis(|zdiff|=1.073),explanatory side evidence only; not target truth
M,data/raw/target_domain/train_bearing_a_to_p/M.mat,OR,11.90297110730989,12.122259899234418,12.363008482279783,12.45826022680676,OR,10.259987482847936,1.5944323239935383,1.4602413414035686,1.5575743661541508,1.3122902706420974,N,0.3854407728241404,False,env_energy_ratio_150_300(|zdiff|=0.187);fd_energy_ratio_3000_6000(|zdiff|=0.258);env_energy_ratio_50_150(|zdiff|=0.408),fd_energy_ratio_500_1500(|zdiff|=3.971);env_energy_ratio_300_500(|zdiff|=2.721);env_energy_ratio_0_50(|zdiff|=1.353),explanatory side evidence only; not target truth
N,data/raw/target_domain/train_bearing_a_to_p/N.mat,OR,24.081243291153335,24.33021475709231,24.500956638766052,24.71729335506281,OR,20.757275852489943,2.666943602149881,2.7546899058591046,2.5246149541929266,3.48023806487545,B,0.2727066757759004,False,fd_energy_ratio_0_500(|zdiff|=0.058);fd_energy_ratio_3000_6000(|zdiff|=0.207);fd_energy_ratio_1500_3000(|zdiff|=0.361),env_kurtosis(|zdiff|=6.971);td_crest_factor(|zdiff|=4.009);td_kurtosis(|zdiff|=3.163),explanatory side evidence only; not target truth
O,data/raw/target_domain/train_bearing_a_to_p/O.mat,OR,2.895096087871239,2.9985465849151525,3.057099335366393,2.598859823834318,N,2.4954819561780877,1.4705291529076099,1.5333294230818062,1.3609557757821826,0.9546234548618993,N,0.4047715845907271,False,env_energy_ratio_300_500(|zdiff|=0.115);env_energy_ratio_150_300(|zdiff|=0.164);fd_energy_ratio_3000_6000(|zdiff|=0.170),fd_energy_ratio_0_500(|zdiff|=4.111);fd_energy_ratio_1500_3000(|zdiff|=1.486);fd_energy_ratio_500_1500(|zdiff|=1.334),explanatory side evidence only; not target truth
P,data/raw/target_domain/train_bearing_a_to_p/P.mat,OR,9.976763564307145,10.216279652364763,10.446256357931638,10.54032636405175,OR,8.599657040775487,1.3037659111540134,1.2779108679482667,1.3182366141146764,1.4927277697796786,IR,0.4340718799416019,False,fd_energy_ratio_0_500(|zdiff|=0.075);fd_energy_ratio_500_1500(|zdiff|=0.108);env_energy_ratio_0_50(|zdiff|=0.777),fd_energy_ratio_3000_6000(|zdiff|=2.130);env_energy_ratio_300_500(|zdiff|=2.060);fd_energy_ratio_1500_3000(|zdiff|=1.657),explanatory side evidence only; not target truth
