target_id,pred_label,p_OR_A0,p_IR_A0,p_B_A0,p_N_A0,final_pred_label,p_OR_final,p_IR_final,p_B_final,p_N_final,label_changed_A0_to_final,probability_L1_difference,interpretation
A,OR,0.4355555555555555,0.1764444444444444,0.268,0.12,OR,0.43555555555555553,0.17644444444444443,0.268,0.12000000000000001,False,9.71445146547012e-17,STEP09 selected A0; final strategy intentionally has no adaptation change
B,OR,0.4631111111111111,0.1268888888888888,0.2982222222222222,0.1117777777777777,OR,0.4631111111111111,0.12688888888888888,0.2982222222222222,0.11177777777777778,False,1.6653345369377348e-16,STEP09 selected A0; final strategy intentionally has no adaptation change
C,OR,0.6288888888888889,0.1635555555555555,0.1142222222222222,0.0933333333333333,OR,0.6288888888888889,0.16355555555555554,0.11422222222222222,0.09333333333333334,False,9.71445146547012e-17,STEP09 selected A0; final strategy intentionally has no adaptation change
D,OR,0.5326666666666667,0.1375555555555555,0.2273333333333333,0.1024444444444444,OR,0.5326666666666667,0.13755555555555557,0.22733333333333333,0.10244444444444444,False,1.5265566588595902e-16,STEP09 selected A0; final strategy intentionally has no adaptation change
E,OR,0.6122222222222222,0.1704444444444444,0.1195555555555555,0.0977777777777777,OR,0.6122222222222222,0.17044444444444445,0.11955555555555557,0.09777777777777778,False,2.0816681711721685e-16,STEP09 selected A0; final strategy intentionally has no adaptation change
F,OR,0.472,0.1484444444444444,0.2766666666666666,0.1028888888888888,OR,0.47200000000000003,0.14844444444444443,0.27666666666666667,0.10288888888888889,False,2.3592239273284576e-16,STEP09 selected A0; final strategy intentionally has no adaptation change
G,OR,0.4686666666666667,0.1233333333333333,0.2853333333333333,0.1226666666666666,OR,0.4686666666666667,0.12333333333333334,0.2853333333333333,0.12266666666666667,False,1.1102230246251565e-16,STEP09 selected A0; final strategy intentionally has no adaptation change
H,OR,0.5704444444444444,0.2968888888888888,0.0193333333333333,0.1133333333333333,OR,0.5704444444444444,0.29688888888888887,0.01933333333333333,0.11333333333333333,False,1.1449174941446927e-16,STEP09 selected A0; final strategy intentionally has no adaptation change
I,OR,0.5624444444444445,0.1699999999999999,0.1742222222222222,0.0933333333333333,OR,0.5624444444444445,0.16999999999999998,0.17422222222222222,0.09333333333333334,False,1.5265566588595902e-16,STEP09 selected A0; final strategy intentionally has no adaptation change
J,OR,0.5935555555555555,0.1764444444444444,0.1364444444444444,0.0935555555555555,OR,0.5935555555555555,0.17644444444444443,0.13644444444444445,0.09355555555555556,False,1.3877787807814457e-16,STEP09 selected A0; final strategy intentionally has no adaptation change
K,OR,0.5617777777777777,0.2648888888888889,0.0551111111111111,0.1182222222222222,OR,0.5617777777777777,0.2648888888888889,0.05511111111111111,0.11822222222222223,False,4.163336342344337e-17,STEP09 selected A0; final strategy intentionally has no adaptation change
L,OR,0.4757777777777778,0.1317777777777778,0.2731111111111111,0.1193333333333333,OR,0.4757777777777778,0.1317777777777778,0.27311111111111114,0.11933333333333333,False,8.326672684688674e-17,STEP09 selected A0; final strategy intentionally has no adaptation change
M,OR,0.5744444444444444,0.2528888888888889,0.0551111111111111,0.1175555555555555,OR,0.5744444444444444,0.2528888888888889,0.05511111111111111,0.11755555555555557,False,8.326672684688674e-17,STEP09 selected A0; final strategy intentionally has no adaptation change
N,OR,0.4744444444444444,0.2271111111111111,0.2017777777777777,0.0966666666666666,OR,0.4744444444444444,0.22711111111111112,0.20177777777777778,0.09666666666666666,False,1.8041124150158794e-16,STEP09 selected A0; final strategy intentionally has no adaptation change
O,OR,0.4555555555555555,0.1117777777777777,0.3128888888888889,0.1197777777777777,OR,0.45555555555555555,0.11177777777777778,0.3128888888888889,0.11977777777777777,False,2.0816681711721685e-16,STEP09 selected A0; final strategy intentionally has no adaptation change
P,OR,0.5475555555555556,0.1262222222222222,0.2251111111111111,0.1011111111111111,OR,0.5475555555555556,0.1262222222222222,0.22511111111111112,0.10111111111111111,False,4.163336342344337e-17,STEP09 selected A0; final strategy intentionally has no adaptation change
