feature,feature_group,rf_gini_importance,rank
env_rms,envelope,0.09491698791868,1
env_entropy_0_500,envelope,0.09250037600381948,2
td_peak_abs,impact,0.0760127445104992,3
td_ptp,impact,0.07291052914813784,4
td_std,time_energy,0.07282857214907637,5
fd_energy_ratio_1500_3000,spectrum,0.06066292210840865,6
td_rms,time_energy,0.055959566825185145,7
fd_f95_hz_0_6k,spectrum,0.05516003778949873,8
env_energy_ratio_50_150,envelope,0.046766836959186285,9
env_dominant_hz_0_500,envelope,0.0384006826635605,10
fd_dominant_hz_0_6k,spectrum,0.036068367001235654,11
td_zero_cross_rate,time_shape,0.03472367059042935,12
fd_centroid_hz_0_6k,spectrum,0.030650527042974822,13
env_energy_ratio_150_300,envelope,0.026596322830010847,14
fd_energy_ratio_3000_6000,spectrum,0.023080375368167396,15
td_shape_factor,time_shape,0.02305557243818126,16
fd_energy_ratio_0_500,spectrum,0.022548805390191346,17
fd_entropy_0_6k,spectrum,0.021984393592681645,18
td_kurtosis,impact,0.021229836289957876,19
env_energy_ratio_0_50,envelope,0.020694031870363703,20
fd_energy_ratio_500_1500,spectrum,0.017832074071422933,21
env_kurtosis,envelope,0.012719279738761973,22
env_energy_ratio_300_500,envelope,0.008823544917795485,23
td_skewness,time_shape,0.00855285386188766,24
env_centroid_hz_0_500,envelope,0.007928591476201062,25
td_clearance_factor,impact,0.006705399759167361,26
td_impulse_factor,impact,0.0062155291918559305,27
td_crest_factor,impact,0.004471568492661491,28
