case_id,case_role,feature,feature_group,path_importance,rank,explained_label
A,target_prediction,env_rms,envelope,0.12593037677823574,1,OR
A,target_prediction,td_peak_abs,impact,0.1045311891286841,2,OR
A,target_prediction,td_ptp,impact,0.09917973457627802,3,OR
A,target_prediction,td_std,time_energy,0.09776629106525214,4,OR
A,target_prediction,env_entropy_0_500,envelope,0.08439908582977441,5,OR
A,target_prediction,td_rms,time_energy,0.07685676912240193,6,OR
A,target_prediction,fd_energy_ratio_1500_3000,spectrum,0.07125968148363995,7,OR
A,target_prediction,fd_f95_hz_0_6k,spectrum,0.05838661305490018,8,OR
A,target_prediction,td_zero_cross_rate,time_shape,0.03520825631427545,9,OR
A,target_prediction,env_energy_ratio_50_150,envelope,0.031290942977957883,10,OR
A,target_prediction,fd_dominant_hz_0_6k,spectrum,0.02681592148392328,11,OR
A,target_prediction,td_shape_factor,time_shape,0.025865944036498164,12,OR
A,target_prediction,td_kurtosis,impact,0.02454935206379753,13,OR
A,target_prediction,env_dominant_hz_0_500,envelope,0.02204816430290497,14,OR
A,target_prediction,fd_energy_ratio_0_500,spectrum,0.02106338480807182,15,OR
A,target_prediction,fd_centroid_hz_0_6k,spectrum,0.01699981022705068,16,OR
A,target_prediction,env_energy_ratio_150_300,envelope,0.015413484013730895,17,OR
A,target_prediction,fd_energy_ratio_500_1500,spectrum,0.014210478004631977,18,OR
A,target_prediction,env_kurtosis,envelope,0.013557480869324843,19,OR
A,target_prediction,fd_energy_ratio_3000_6000,spectrum,0.00816546705060887,20,OR
A,target_prediction,env_energy_ratio_0_50,envelope,0.0076897367022567015,21,OR
A,target_prediction,td_impulse_factor,impact,0.004505339198562001,22,OR
A,target_prediction,fd_entropy_0_6k,spectrum,0.004356462240088453,23,OR
A,target_prediction,td_skewness,time_shape,0.0028007942701141677,24,OR
A,target_prediction,env_centroid_hz_0_500,envelope,0.002623803702602468,25,OR
A,target_prediction,env_energy_ratio_300_500,envelope,0.0021555225837659995,26,OR
A,target_prediction,td_clearance_factor,impact,0.0014696085180196093,27,OR
A,target_prediction,td_crest_factor,impact,0.000900305592647761,28,OR
B,target_prediction,env_rms,envelope,0.12660416102787603,1,OR
B,target_prediction,td_peak_abs,impact,0.1033466192713438,2,OR
B,target_prediction,td_ptp,impact,0.1013238524785037,3,OR
B,target_prediction,td_std,time_energy,0.10014750095725754,4,OR
B,target_prediction,env_entropy_0_500,envelope,0.0847443924833274,5,OR
B,target_prediction,td_rms,time_energy,0.07727536695679796,6,OR
B,target_prediction,fd_energy_ratio_1500_3000,spectrum,0.07144827481571306,7,OR
B,target_prediction,fd_f95_hz_0_6k,spectrum,0.06096236509382479,8,OR
B,target_prediction,td_zero_cross_rate,time_shape,0.03617703846025888,9,OR
B,target_prediction,env_energy_ratio_50_150,envelope,0.03045836131432141,10,OR
B,target_prediction,td_kurtosis,impact,0.025983663751331824,11,OR
B,target_prediction,td_shape_factor,time_shape,0.024765904129737375,12,OR
B,target_prediction,fd_dominant_hz_0_6k,spectrum,0.02309875022691566,13,OR
B,target_prediction,env_dominant_hz_0_500,envelope,0.02215752779743496,14,OR
B,target_prediction,fd_energy_ratio_0_500,spectrum,0.021069361904065855,15,OR
B,target_prediction,fd_centroid_hz_0_6k,spectrum,0.017524838417023684,16,OR
B,target_prediction,fd_energy_ratio_500_1500,spectrum,0.013839271767503165,17,OR
B,target_prediction,env_energy_ratio_150_300,envelope,0.013176849229146581,18,OR
B,target_prediction,env_kurtosis,envelope,0.013072052824798279,19,OR
B,target_prediction,env_energy_ratio_0_50,envelope,0.008493929082239875,20,OR
B,target_prediction,fd_energy_ratio_3000_6000,spectrum,0.0074120234905207544,21,OR
B,target_prediction,fd_entropy_0_6k,spectrum,0.003381658464396935,22,OR
B,target_prediction,td_impulse_factor,impact,0.003093540768027864,23,OR
B,target_prediction,env_centroid_hz_0_500,envelope,0.0030168648298851005,24,OR
B,target_prediction,env_energy_ratio_300_500,envelope,0.00272029778813041,25,OR
B,target_prediction,td_skewness,time_shape,0.0025968939472232632,26,OR
B,target_prediction,td_clearance_factor,impact,0.0014486268164203,27,OR
B,target_prediction,td_crest_factor,impact,0.0006600119059735517,28,OR
C,target_prediction,env_rms,envelope,0.12724254287165135,1,OR
C,target_prediction,td_peak_abs,impact,0.10812363917578449,2,OR
C,target_prediction,td_ptp,impact,0.10198345319757283,3,OR
C,target_prediction,td_std,time_energy,0.09333324295928383,4,OR
C,target_prediction,env_entropy_0_500,envelope,0.07889216758201936,5,OR
C,target_prediction,td_rms,time_energy,0.0736265415593329,6,OR
C,target_prediction,fd_energy_ratio_1500_3000,spectrum,0.06880925105864302,7,OR
C,target_prediction,fd_f95_hz_0_6k,spectrum,0.05770987704576464,8,OR
C,target_prediction,td_zero_cross_rate,time_shape,0.03571389806886672,9,OR
C,target_prediction,fd_dominant_hz_0_6k,spectrum,0.035515352656108085,10,OR
C,target_prediction,env_dominant_hz_0_500,envelope,0.02780856999819747,11,OR
C,target_prediction,env_energy_ratio_50_150,envelope,0.02748933621975834,12,OR
C,target_prediction,td_shape_factor,time_shape,0.024797289636084106,13,OR
C,target_prediction,td_kurtosis,impact,0.02467903875264921,14,OR
C,target_prediction,fd_centroid_hz_0_6k,spectrum,0.021783586800585987,15,OR
C,target_prediction,fd_energy_ratio_0_500,spectrum,0.01991345018908203,16,OR
C,target_prediction,env_energy_ratio_150_300,envelope,0.01670551886354702,17,OR
C,target_prediction,env_kurtosis,envelope,0.014293492803828606,18,OR
C,target_prediction,fd_energy_ratio_500_1500,spectrum,0.012784986661874321,19,OR
C,target_prediction,fd_energy_ratio_3000_6000,spectrum,0.010642366571445069,20,OR
C,target_prediction,env_energy_ratio_0_50,envelope,0.0061331327874479214,21,OR
C,target_prediction,td_impulse_factor,impact,0.004094290739549363,22,OR
C,target_prediction,env_energy_ratio_300_500,envelope,0.002398891674148087,23,OR
C,target_prediction,env_centroid_hz_0_500,envelope,0.0023958571498232423,24,OR
C,target_prediction,fd_entropy_0_6k,spectrum,0.0013345333024687273,25,OR
C,target_prediction,td_clearance_factor,impact,0.0012908666740318292,26,OR
C,target_prediction,td_crest_factor,impact,0.00031574151464179416,27,OR
