case_id,case_role,n_windows,explained_label,base_score,top_features,top_groups,low_features,top5_mechanism_related_count,top5_ablation_abs_score_change,top5_ablation_signed_score_drop,top5_ablation_label,low5_ablation_abs_score_change,low5_ablation_signed_score_drop,low5_ablation_label,random5_abs_score_change_mean,random5_abs_score_change_std,random5_label_change_rate,random_control_example,known_or_unknown_label,target_id,model_score_top1,score_margin_top1_top2,entropy_norm,window_consistency,uncertainty_level,mechanism_nearest_source_class,mechanism_pred_class_similarity_index,mechanism_model_prototype_agree,pred_class_distance_over_source_p95,truth_status,explanation_boundary
A,target_prediction,15,OR,0.43555555555555553,env_rms;td_peak_abs;td_ptp;td_std;env_entropy_0_500,envelope;impact;impact;time_energy;envelope,td_skewness;env_centroid_hz_0_500;env_energy_ratio_300_500;td_clearance_factor;td_crest_factor,4,0.26525925925925925,0.26525925925925925,IR,0.030222222222222206,-0.030222222222222206,OR,0.06290370370370373,0.03706872412064455,0.0,td_impulse_factor;fd_dominant_hz_0_6k;fd_energy_ratio_0_500;env_energy_ratio_150_300;fd_energy_ratio_1500_3000,UNKNOWN,A,0.4355555555555555,0.1675555555555555,0.9200188558504778,1.0,very_low_trust,IR,0.4509762852738132,False,3.5688453227811974,unknown,explains frozen model output only; cannot confirm target truth
B,target_prediction,15,OR,0.46311111111111114,env_rms;td_peak_abs;td_ptp;td_std;env_entropy_0_500,envelope;impact;impact;time_energy;envelope,env_centroid_hz_0_500;env_energy_ratio_300_500;td_skewness;td_clearance_factor;td_crest_factor,4,0.14044444444444448,0.14044444444444448,OR,0.0028888888888888298,-0.0028888888888888298,OR,0.05721481481481479,0.04113277810866721,0.0,fd_energy_ratio_0_500;td_rms;fd_centroid_hz_0_6k;fd_f95_hz_0_6k;fd_energy_ratio_1500_3000,UNKNOWN,B,0.4631111111111111,0.1648888888888888,0.8830798401884864,1.0,very_low_trust,B,0.5094920848327692,False,2.464126188467588,unknown,explains frozen model output only; cannot confirm target truth
C,target_prediction,15,OR,0.6288888888888888,env_rms;td_peak_abs;td_ptp;td_std;env_entropy_0_500,envelope;impact;impact;time_energy;envelope,env_centroid_hz_0_500;fd_entropy_0_6k;td_clearance_factor;td_crest_factor;td_skewness,4,0.28940740740740734,0.28940740740740734,IR,0.010888888888888726,-0.010888888888888726,OR,0.07478518518518519,0.04692585324888714,0.0,fd_energy_ratio_3000_6000;td_rms;env_energy_ratio_300_500;td_shape_factor;env_energy_ratio_0_50,UNKNOWN,C,0.6288888888888889,0.4653333333333334,0.7624485240401053,1.0,very_low_trust,OR,0.4386833882486937,True,53.50158309007545,unknown,explains frozen model output only; cannot confirm target truth
D,target_prediction,15,OR,0.5326666666666668,env_rms;td_peak_abs;td_std;td_ptp;env_entropy_0_500,envelope;impact;time_energy;impact;envelope,env_centroid_hz_0_500;td_skewness;env_energy_ratio_300_500;td_clearance_factor;td_crest_factor,4,0.21866666666666684,0.21866666666666684,IR,0.025111111111110973,-0.025111111111110973,OR,0.06688518518518505,0.04804209299167614,0.0,env_kurtosis;fd_energy_ratio_1500_3000;env_dominant_hz_0_500;env_energy_ratio_50_150;td_shape_factor,UNKNOWN,D,0.5326666666666667,0.3053333333333334,0.8501429004679777,1.0,very_low_trust,IR,0.4401213796058136,False,8.464886136067252,unknown,explains frozen model output only; cannot confirm target truth
E,target_prediction,15,OR,0.6122222222222221,env_rms;td_peak_abs;td_ptp;td_std;env_entropy_0_500,envelope;impact;impact;time_energy;envelope,env_energy_ratio_300_500;td_clearance_factor;fd_entropy_0_6k;td_crest_factor;td_skewness,4,0.30837037037037024,0.30837037037037024,IR,0.0013333333333334085,-0.0013333333333334085,OR,0.07931111111111123,0.0622787742459954,0.0,env_energy_ratio_150_300;env_dominant_hz_0_500;fd_energy_ratio_0_500;td_rms;fd_energy_ratio_3000_6000,UNKNOWN,E,0.6122222222222222,0.4417777777777777,0.7813924930289456,1.0,very_low_trust,B,0.3350609922803524,False,27.464912040347382,unknown,explains frozen model output only; cannot confirm target truth
F,target_prediction,15,OR,0.4719999999999999,env_rms;td_peak_abs;td_std;td_ptp;env_entropy_0_500,envelope;impact;time_energy;impact;envelope,env_centroid_hz_0_500;td_skewness;env_energy_ratio_300_500;td_clearance_factor;td_crest_factor,4,0.21407407407407397,0.21407407407407397,IR,0.03933333333333339,-0.03933333333333339,OR,0.068125925925926,0.04112014743118402,0.0,fd_entropy_0_6k;fd_energy_ratio_1500_3000;td_kurtosis;td_impulse_factor;td_zero_cross_rate,UNKNOWN,F,0.472,0.1953333333333333,0.8851017594644547,1.0,very_low_trust,IR,0.4623527854872604,False,5.898513788893458,unknown,explains frozen model output only; cannot confirm target truth
G,target_prediction,15,OR,0.4686666666666666,env_rms;td_peak_abs;td_ptp;td_std;env_entropy_0_500,envelope;impact;impact;time_energy;envelope,env_centroid_hz_0_500;env_energy_ratio_300_500;td_skewness;td_clearance_factor;td_crest_factor,4,0.1476393472680601,0.1476393472680601,IR,0.003555555555555645,-0.003555555555555645,OR,0.05910370370370376,0.04178818992013745,0.0,env_energy_ratio_150_300;td_shape_factor;env_energy_ratio_50_150;env_energy_ratio_0_50;fd_energy_ratio_1500_3000,UNKNOWN,G,0.4686666666666667,0.1833333333333333,0.8861975265990578,1.0,very_low_trust,N,0.4556538531944735,False,2.499758805438059,unknown,explains frozen model output only; cannot confirm target truth
H,target_prediction,15,OR,0.5704444444444444,env_rms;td_peak_abs;td_ptp;td_std;env_entropy_0_500,envelope;impact;impact;time_energy;envelope,td_clearance_factor;env_energy_ratio_300_500;fd_entropy_0_6k;td_crest_factor;td_skewness,4,0.34860066006600654,0.34860066006600654,IR,0.011333333333333306,-0.011333333333333306,OR,0.09054074074074077,0.060608541150521805,0.0,fd_dominant_hz_0_6k;td_zero_cross_rate;env_centroid_hz_0_500;td_rms;env_energy_ratio_50_150,UNKNOWN,H,0.5704444444444444,0.2735555555555555,0.7241004929389454,1.0,very_low_trust,IR,0.466723930958926,False,12.579171533198773,unknown,explains frozen model output only; cannot confirm target truth
I,target_prediction,15,OR,0.5624444444444445,env_rms;td_peak_abs;td_ptp;td_std;env_entropy_0_500,envelope;impact;impact;time_energy;envelope,env_centroid_hz_0_500;fd_entropy_0_6k;td_skewness;td_clearance_factor;td_crest_factor,4,0.25822222222222235,0.25822222222222235,IR,0.01244444444444437,-0.01244444444444437,OR,0.07991111111111103,0.05845164356983746,0.0,env_dominant_hz_0_500;fd_f95_hz_0_6k;td_impulse_factor;env_energy_ratio_300_500;td_zero_cross_rate,UNKNOWN,I,0.5624444444444445,0.3882222222222223,0.8300444149092056,1.0,very_low_trust,B,0.4784465434499113,False,47.00924700171183,unknown,explains frozen model output only; cannot confirm target truth
J,target_prediction,15,OR,0.5935555555555556,env_rms;td_peak_abs;td_ptp;td_std;env_entropy_0_500,envelope;impact;impact;time_energy;envelope,env_centroid_hz_0_500;fd_entropy_0_6k;td_clearance_factor;td_skewness;td_crest_factor,4,0.28933333333333344,0.28933333333333344,IR,0.008222222222222242,-0.008222222222222242,OR,0.08905925925925923,0.06157754931185214,0.0,env_dominant_hz_0_500;env_energy_ratio_150_300;env_energy_ratio_0_50;fd_energy_ratio_0_500;fd_energy_ratio_1500_3000,UNKNOWN,J,0.5935555555555555,0.4171111111111111,0.8000659835126298,1.0,very_low_trust,B,0.3411264999381195,False,58.24759875024184,unknown,explains frozen model output only; cannot confirm target truth
K,target_prediction,15,OR,0.5617777777777778,env_rms;td_peak_abs;td_ptp;td_std;env_entropy_0_500,envelope;impact;impact;time_energy;envelope,fd_entropy_0_6k;td_clearance_factor;env_energy_ratio_300_500;td_crest_factor;td_skewness,4,0.34822222222222227,0.34822222222222227,IR,0.008888888888888835,-0.008888888888888835,OR,0.08546666666666661,0.06182794071351205,0.0,fd_energy_ratio_3000_6000;env_energy_ratio_150_300;fd_f95_hz_0_6k;td_shape_factor;fd_dominant_hz_0_6k,UNKNOWN,K,0.5617777777777777,0.2968888888888888,0.7848260265582896,1.0,very_low_trust,IR,0.4224057678914895,False,11.337531717093244,unknown,explains frozen model output only; cannot confirm target truth
L,target_prediction,15,OR,0.4757777777777778,env_rms;td_peak_abs;td_ptp;td_std;env_entropy_0_500,envelope;impact;impact;time_energy;envelope,env_centroid_hz_0_500;env_energy_ratio_300_500;td_skewness;td_clearance_factor;td_crest_factor,4,0.19966666666666671,0.19966666666666671,IR,0.013999999999999901,-0.013999999999999901,OR,0.06180000000000001,0.03861441618754999,0.0,env_energy_ratio_50_150;env_dominant_hz_0_500;fd_energy_ratio_1500_3000;env_energy_ratio_150_300;fd_centroid_hz_0_6k,UNKNOWN,L,0.4757777777777778,0.2026666666666666,0.8862642605736082,1.0,very_low_trust,B,0.5082664604598348,False,2.7797366033871103,unknown,explains frozen model output only; cannot confirm target truth
M,target_prediction,15,OR,0.5744444444444444,env_rms;td_peak_abs;td_ptp;td_std;env_entropy_0_500,envelope;impact;impact;time_energy;envelope,env_centroid_hz_0_500;td_clearance_factor;env_energy_ratio_300_500;td_crest_factor;td_skewness,4,0.3281481481481481,0.3281481481481481,IR,0.03488888888888886,-0.03488888888888886,OR,0.061111111111111116,0.05187157078070373,0.0,td_zero_cross_rate;env_energy_ratio_150_300;td_rms;fd_entropy_0_6k;env_energy_ratio_50_150,UNKNOWN,M,0.5744444444444444,0.3215555555555555,0.7772661512658562,1.0,very_low_trust,N,0.3854407728241404,False,10.259987482847936,unknown,explains frozen model output only; cannot confirm target truth
