domain,subgroup,file_id,independent_object_id,relative_path,file_name,size_bytes,file_sha256,mat_read_status,mat_variables_json,variable_count,sensor_channels,de_present,fe_present,ba_present,de_shape,fe_shape,ba_shape,primary_signal_var,primary_signal_shape,primary_signal_points,primary_signal_sha256,sampling_rate_hz,sampling_rate_basis,duration_seconds,duration_basis,rpm,rpm_source,class_label,label_source,fault_bearing_location,fault_bearing_location_source,fault_size_in,load_hp,outer_race_position_clock,target_truth_status,finite_count,nonfinite_count,is_constant,signal_min,signal_max,signal_mean,signal_std,missing_flags,quality_flags
source,source_12khz_de,RAWFILE-001,source_domain/cwru_12khz_de/B007_0.mat,source_domain/cwru_12khz_de/B007_0.mat,B007_0.mat,1936304,4431bdfdc6a49cac359fdcca3fda44da7631f077d176e1f7fc4ee575a1f2bed4,OK,"[{""dtype"":""double"",""name"":""X118_DE_time"",""semantic"":""DE"",""shape"":[96000,1]},{""dtype"":""double"",""name"":""X118_FE_time"",""semantic"":""FE"",""shape"":[96000,1]},{""dtype"":""double"",""name"":""X118_BA_time"",""semantic"":""BA"",""shape"":[96000,1]},{""dtype"":""double"",""name"":""X118RPM"",""semantic"":""RPM"",""shape"":[1,1]}]",4,BA;DE;FE,True,True,True,96000x1,96000x1,96000x1,X118_DE_time,96000,96000,f05bbec164d1d0e63102b4fb399da2ae10bd8c8e0485a4f5c5fc1e8681bf330a,12000,目录12khz_de + 题面DE轴承12kHz,8.0,主分析信号点数/采样率,1796.0,MAT变量,B,源域文件名前缀+题面类别口径,DE,数据子目录语义；不得由DE/FE传感器变量反推,0.007,0.0,,known,96000,0,False,-0.6196271283792647,0.5794689993652463,0.00014380119575195966,0.13779018685383243,,
source,source_12khz_de,RAWFILE-002,source_domain/cwru_12khz_de/B007_1.mat,source_domain/cwru_12khz_de/B007_1.mat,B007_1.mat,1904669,3d8e2a3c8ba7206397338e9e2eb0d3e7af0fca27d92aafe2fc00f1afe207dbe0,OK,"[{""dtype"":""double"",""name"":""X119_DE_time"",""semantic"":""DE"",""shape"":[96000,1]},{""dtype"":""double"",""name"":""X119_FE_time"",""semantic"":""FE"",""shape"":[96000,1]},{""dtype"":""double"",""name"":""X119_BA_time"",""semantic"":""BA"",""shape"":[96000,1]},{""dtype"":""double"",""name"":""X119RPM"",""semantic"":""RPM"",""shape"":[1,1]}]",4,BA;DE;FE,True,True,True,96000x1,96000x1,96000x1,X119_DE_time,96000,96000,d598d45f9f0d5e576034ea552db679d16e76eb32227762f9de0459b9d4cfb6d1,12000,目录12khz_de + 题面DE轴承12kHz,8.0,主分析信号点数/采样率,1772.0,MAT变量,B,源域文件名前缀+题面类别口径,DE,数据子目录语义；不得由DE/FE传感器变量反推,0.007,1.0,,known,96000,0,False,-0.6635408970738204,0.6357777057205909,-7.311727591620766e-05,0.13885010042682341,,
source,source_12khz_de,RAWFILE-003,source_domain/cwru_12khz_de/B007_2.mat,source_domain/cwru_12khz_de/B007_2.mat,B007_2.mat,1918639,7965b87166565d4b08b83d9c1f2f7ffd5c997eeeb93d31c7a34d243f8800e830,OK,"[{""dtype"":""double"",""name"":""X120_DE_time"",""semantic"":""DE"",""shape"":[96000,1]},{""dtype"":""double"",""name"":""X120_FE_time"",""semantic"":""FE"",""shape"":[96000,1]},{""dtype"":""double"",""name"":""X120_BA_time"",""semantic"":""BA"",""shape"":[96000,1]},{""dtype"":""double"",""name"":""X120RPM"",""semantic"":""RPM"",""shape"":[1,1]}]",4,BA;DE;FE,True,True,True,96000x1,96000x1,96000x1,X120_DE_time,96000,96000,7cab1cadfe85316610c64aae33d75c1ec3d88580a82db5177cb11b920a97ed56,12000,目录12khz_de + 题面DE轴承12kHz,8.0,主分析信号点数/采样率,1748.0,MAT变量,B,源域文件名前缀+题面类别口径,DE,数据子目录语义；不得由DE/FE传感器变量反推,0.007,2.0,,known,96000,0,False,-0.5594425181799354,0.6000194379078888,-5.4912400660713806e-05,0.14750608298769208,,
source,source_12khz_de,RAWFILE-004,source_domain/cwru_12khz_de/B007_3.mat,source_domain/cwru_12khz_de/B007_3.mat,B007_3.mat,1971999,1ed08a345df7345280dbae282cb53cb4f53b380bf912809381558bfc947f693a,OK,"[{""dtype"":""double"",""name"":""X121_DE_time"",""semantic"":""DE"",""shape"":[96000,1]},{""dtype"":""double"",""name"":""X121_FE_time"",""semantic"":""FE"",""shape"":[96000,1]},{""dtype"":""double"",""name"":""X121_BA_time"",""semantic"":""BA"",""shape"":[96000,1]},{""dtype"":""double"",""name"":""X121RPM"",""semantic"":""RPM"",""shape"":[1,1]}]",4,BA;DE;FE,True,True,True,96000x1,96000x1,96000x1,X121_DE_time,96000,96000,76e7d63a802e8ff03268ae675d8dda9f437946c6b8cbe68e199731f86352c8b3,12000,目录12khz_de + 题面DE轴承12kHz,8.0,主分析信号点数/采样率,1722.0,MAT变量,B,源域文件名前缀+题面类别口径,DE,数据子目录语义；不得由DE/FE传感器变量反推,0.007,3.0,,known,96000,0,False,-0.7247619405123412,0.6673071213639062,-4.2475635428496044e-05,0.15410751479769783,,
source,source_12khz_de,RAWFILE-005,source_domain/cwru_12khz_de/B014_0.mat,source_domain/cwru_12khz_de/B014_0.mat,B014_0.mat,1901967,f8fe5a077db7014726a23ff65705c81edbc311aa5e3359f00fe33d8a912a45fe,OK,"[{""dtype"":""double"",""name"":""X185_DE_time"",""semantic"":""DE"",""shape"":[96000,1]},{""dtype"":""double"",""name"":""X185_FE_time"",""semantic"":""FE"",""shape"":[96000,1]},{""dtype"":""double"",""name"":""X185_BA_time"",""semantic"":""BA"",""shape"":[96000,1]},{""dtype"":""double"",""name"":""X185RPM"",""semantic"":""RPM"",""shape"":[1,1]}]",4,BA;DE;FE,True,True,True,96000x1,96000x1,96000x1,X185_DE_time,96000,96000,6de870ecef02012ea3a2057a173983dc9bd3f01e30dcbc8ca82f613ab8542ac5,12000,目录12khz_de + 题面DE轴承12kHz,8.0,主分析信号点数/采样率,1796.0,MAT变量,B,源域文件名前缀+题面类别口径,DE,数据子目录语义；不得由DE/FE传感器变量反推,0.014,0.0,,known,96000,0,False,-1.9682036960725562,2.2734648468416156,-5.653457471857278e-05,0.14751519995635212,,
source,source_12khz_de,RAWFILE-006,source_domain/cwru_12khz_de/B014_1.mat,source_domain/cwru_12khz_de/B014_1.mat,B014_1.mat,1881900,022203036bf24909ae83af56ec4751fc056e5ed43e8e3b1fc52b3fdcf98c6417,OK,"[{""dtype"":""double"",""name"":""X186_DE_time"",""semantic"":""DE"",""shape"":[96000,1]},{""dtype"":""double"",""name"":""X186_FE_time"",""semantic"":""FE"",""shape"":[96000,1]},{""dtype"":""double"",""name"":""X186_BA_time"",""semantic"":""BA"",""shape"":[96000,1]},{""dtype"":""double"",""name"":""X186RPM"",""semantic"":""RPM"",""shape"":[1,1]}]",4,BA;DE;FE,True,True,True,96000x1,96000x1,96000x1,X186_DE_time,96000,96000,b9b11ce10353c9785272157b4394f2e5792045bd636c098a5011060a9b3111ec,12000,目录12khz_de + 题面DE轴承12kHz,8.0,主分析信号点数/采样率,1772.0,MAT变量,B,源域文件名前缀+题面类别口径,DE,数据子目录语义；不得由DE/FE传感器变量反推,0.014,1.0,,known,96000,0,False,-1.3083916945538412,1.335240041973105,-2.049906939338947e-05,0.14130576232756217,,
source,source_12khz_de,RAWFILE-007,source_domain/cwru_12khz_de/B014_2.mat,source_domain/cwru_12khz_de/B014_2.mat,B014_2.mat,1905443,da7b9ed7c9a50f64466ffefd256c7521c74c2451e850170f2206193959f54462,OK,"[{""dtype"":""double"",""name"":""X187_DE_time"",""semantic"":""DE"",""shape"":[96000,1]},{""dtype"":""double"",""name"":""X187_FE_time"",""semantic"":""FE"",""shape"":[96000,1]},{""dtype"":""double"",""name"":""X187_BA_time"",""semantic"":""BA"",""shape"":[96000,1]},{""dtype"":""double"",""name"":""X187RPM"",""semantic"":""RPM"",""shape"":[1,1]}]",4,BA;DE;FE,True,True,True,96000x1,96000x1,96000x1,X187_DE_time,96000,96000,64e84eaf17cf955c177c159ecdcd5275da26beac3d41f0b64629786cf2974a2d,12000,目录12khz_de + 题面DE轴承12kHz,8.0,主分析信号点数/采样率,1749.0,MAT变量,B,源域文件名前缀+题面类别口径,DE,数据子目录语义；不得由DE/FE传感器变量反推,0.014,2.0,,known,96000,0,False,-1.3903134120335534,1.8345112187049695,-4.450871810110649e-05,0.14755633563395226,,
source,source_12khz_de,RAWFILE-008,source_domain/cwru_12khz_de/B014_3.mat,source_domain/cwru_12khz_de/B014_3.mat,B014_3.mat,1956398,68bcbc055e594d1ae7873ddd086091efd9ead5fd706014a81c9b62643d1a90cd,OK,"[{""dtype"":""double"",""name"":""X188_DE_time"",""semantic"":""DE"",""shape"":[96000,1]},{""dtype"":""double"",""name"":""X188_FE_time"",""semantic"":""FE"",""shape"":[96000,1]},{""dtype"":""double"",""name"":""X188_BA_time"",""semantic"":""BA"",""shape"":[96000,1]},{""dtype"":""double"",""name"":""X188RPM"",""semantic"":""RPM"",""shape"":[1,1]}]",4,BA;DE;FE,True,True,True,96000x1,96000x1,96000x1,X188_DE_time,96000,96000,cdce3718570f4c5ed9b021e2d4dba7df208e9af01e413359e675a9389ccca556,12000,目录12khz_de + 题面DE轴承12kHz,8.0,主分析信号点数/采样率,1724.0,MAT变量,B,源域文件名前缀+题面类别口径,DE,数据子目录语义；不得由DE/FE传感器变量反推,0.014,3.0,,known,96000,0,False,-1.7174139110666464,1.9846451308495212,1.2020254461359536e-05,0.13886220809922117,,
source,source_12khz_de,RAWFILE-009,source_domain/cwru_12khz_de/B021_0.mat,source_domain/cwru_12khz_de/B021_0.mat,B021_0.mat,1924863,e98b8b1b70be77aadfec37b8289c0273291d745b5c8af239e7f3e3b0363ca336,OK,"[{""dtype"":""double"",""name"":""X222_DE_time"",""semantic"":""DE"",""shape"":[96000,1]},{""dtype"":""double"",""name"":""X222_FE_time"",""semantic"":""FE"",""shape"":[96000,1]},{""dtype"":""double"",""name"":""X222_BA_time"",""semantic"":""BA"",""shape"":[96000,1]},{""dtype"":""double"",""name"":""X222RPM"",""semantic"":""RPM"",""shape"":[1,1]}]",4,BA;DE;FE,True,True,True,96000x1,96000x1,96000x1,X222_DE_time,96000,96000,691a02a7e62f01b699d7d8c537ef3b38844cbe07a6de61ff48c869bd0afc4e8c,12000,目录12khz_de + 题面DE轴承12kHz,8.0,主分析信号点数/采样率,1796.0,MAT变量,B,源域文件名前缀+题面类别口径,DE,数据子目录语义；不得由DE/FE传感器变量反推,0.021,0.0,,known,96000,0,False,-1.6392407790679757,1.6382128337064754,0.0007516507848186014,0.13846965923766844,,
source,source_12khz_de,RAWFILE-010,source_domain/cwru_12khz_de/B021_1.mat,source_domain/cwru_12khz_de/B021_1.mat,B021_1.mat,1883082,b3a4c04be7056abdea669b393d92aeb8cb1f4b2ecf787c09d886d5660b783634,OK,"[{""dtype"":""double"",""name"":""X223_DE_time"",""semantic"":""DE"",""shape"":[96000,1]},{""dtype"":""double"",""name"":""X223_FE_time"",""semantic"":""FE"",""shape"":[96000,1]},{""dtype"":""double"",""name"":""X223_BA_time"",""semantic"":""BA"",""shape"":[96000,1]},{""dtype"":""double"",""name"":""X223RPM"",""semantic"":""RPM"",""shape"":[1,1]}]",4,BA;DE;FE,True,True,True,96000x1,96000x1,96000x1,X223_DE_time,96000,96000,b54dc3e2e2f9895017d60f55bb7538276515a4fc0f4fcabc6c058487672acbf9,12000,目录12khz_de + 题面DE轴承12kHz,8.0,主分析信号点数/采样率,1774.0,MAT变量,B,源域文件名前缀+题面类别口径,DE,数据子目录语义；不得由DE/FE传感器变量反推,0.021,1.0,,known,96000,0,False,-1.4178104926049824,1.4704485493111852,6.0232280247148135e-05,0.12340460927235733,,
