sample_id,stage,frequency_hz,psd
OR_typical_OR021@3_3,primary_processed,0.0,7.0305844461452764e-09
OR_typical_OR021@3_3,primary_processed,2.9296875,3.7929841970743726e-09
OR_typical_OR021@3_3,primary_processed,5.859375,5.430253044532399e-11
OR_typical_OR021@3_3,primary_processed,8.7890625,1.6879082110708423e-11
OR_typical_OR021@3_3,primary_processed,11.71875,1.1433216778079123e-11
OR_typical_OR021@3_3,primary_processed,14.6484375,1.69944669612244e-11
OR_typical_OR021@3_3,primary_processed,17.578125,2.1288702373699365e-11
OR_typical_OR021@3_3,primary_processed,20.5078125,1.6207659371854764e-11
OR_typical_OR021@3_3,primary_processed,23.4375,6.336987870337264e-11
OR_typical_OR021@3_3,primary_processed,26.3671875,6.0610994865489505e-09
OR_typical_OR021@3_3,primary_processed,29.296875,1.4240875075759796e-08
OR_typical_OR021@3_3,primary_processed,32.2265625,2.3707412992617608e-09
OR_typical_OR021@3_3,primary_processed,35.15625,2.5283322208717166e-10
OR_typical_OR021@3_3,primary_processed,38.0859375,7.024691133622557e-11
OR_typical_OR021@3_3,primary_processed,41.015625,1.3180092195750344e-10
OR_typical_OR021@3_3,primary_processed,43.9453125,2.9979121423145035e-10
OR_typical_OR021@3_3,primary_processed,46.875,1.1509376594174892e-10
OR_typical_OR021@3_3,primary_processed,49.8046875,9.952204985622054e-11
OR_typical_OR021@3_3,primary_processed,52.734375,4.874333845823269e-10
OR_typical_OR021@3_3,primary_processed,55.6640625,1.7757476023030248e-08
OR_typical_OR021@3_3,primary_processed,58.59375,6.056449136768921e-08
OR_typical_OR021@3_3,primary_processed,61.5234375,3.6535231284749706e-08
OR_typical_OR021@3_3,primary_processed,64.453125,1.4239217263978938e-09
OR_typical_OR021@3_3,primary_processed,67.3828125,1.5061014698301742e-09
OR_typical_OR021@3_3,primary_processed,70.3125,2.442805841427026e-09
OR_typical_OR021@3_3,primary_processed,73.2421875,2.9366024371819326e-09
OR_typical_OR021@3_3,primary_processed,76.171875,2.772265091621792e-09
OR_typical_OR021@3_3,primary_processed,79.1015625,1.01459171669051e-09
OR_typical_OR021@3_3,primary_processed,82.03125,3.809830402809825e-09
OR_typical_OR021@3_3,primary_processed,84.9609375,3.838115746941706e-08
OR_typical_OR021@3_3,primary_processed,87.890625,3.2536442870698594e-08
OR_typical_OR021@3_3,primary_processed,90.8203125,2.887596128877612e-09
OR_typical_OR021@3_3,primary_processed,93.75,4.1022905582089835e-09
OR_typical_OR021@3_3,primary_processed,96.6796875,4.650524583857901e-08
OR_typical_OR021@3_3,primary_processed,99.609375,6.080627325139647e-08
OR_typical_OR021@3_3,primary_processed,102.5390625,2.483637794225546e-07
OR_typical_OR021@3_3,primary_processed,105.46875,1.577355952477702e-07
OR_typical_OR021@3_3,primary_processed,108.3984375,4.936223455781888e-09
OR_typical_OR021@3_3,primary_processed,111.328125,6.278432239872003e-08
OR_typical_OR021@3_3,primary_processed,114.2578125,3.2869197267365554e-07
OR_typical_OR021@3_3,primary_processed,117.1875,1.708927757679116e-07
OR_typical_OR021@3_3,primary_processed,120.1171875,4.468610832432957e-08
OR_typical_OR021@3_3,primary_processed,123.046875,3.261948056964455e-08
OR_typical_OR021@3_3,primary_processed,125.9765625,1.166296092274361e-07
OR_typical_OR021@3_3,primary_processed,128.90625,9.607241045237708e-08
OR_typical_OR021@3_3,primary_processed,131.8359375,2.8855718406019724e-08
OR_typical_OR021@3_3,primary_processed,134.765625,3.930669432989655e-08
OR_typical_OR021@3_3,primary_processed,137.6953125,4.236954495267866e-07
OR_typical_OR021@3_3,primary_processed,140.625,8.575733671867796e-06
OR_typical_OR021@3_3,primary_processed,143.5546875,8.315991074331229e-06
OR_typical_OR021@3_3,primary_processed,146.484375,4.784423801608501e-07
OR_typical_OR021@3_3,primary_processed,149.4140625,6.055033668498141e-08
OR_typical_OR021@3_3,primary_processed,152.34375,1.9546169047954375e-05
OR_typical_OR021@3_3,primary_processed,155.2734375,9.182507984738948e-05
OR_typical_OR021@3_3,primary_processed,158.203125,2.6712877680859022e-05
OR_typical_OR021@3_3,primary_processed,161.1328125,5.325509781203881e-08
OR_typical_OR021@3_3,primary_processed,164.0625,2.3568741424180118e-08
OR_typical_OR021@3_3,primary_processed,166.9921875,4.867145257789304e-08
OR_typical_OR021@3_3,primary_processed,169.921875,1.7680974622195989e-07
OR_typical_OR021@3_3,primary_processed,172.8515625,1.9939358220537083e-07
OR_typical_OR021@3_3,primary_processed,175.78125,3.2852979802994166e-07
OR_typical_OR021@3_3,primary_processed,178.7109375,1.58576280651795e-07
OR_typical_OR021@3_3,primary_processed,181.640625,1.9048446331762684e-06
OR_typical_OR021@3_3,primary_processed,184.5703125,5.277056262602177e-06
OR_typical_OR021@3_3,primary_processed,187.5,9.092010448129951e-07
OR_typical_OR021@3_3,primary_processed,190.4296875,7.8516970482096e-09
OR_typical_OR021@3_3,primary_processed,193.359375,5.1578856791597425e-09
OR_typical_OR021@3_3,primary_processed,196.2890625,1.714833131453589e-08
OR_typical_OR021@3_3,primary_processed,199.21875,8.201592165983932e-08
OR_typical_OR021@3_3,primary_processed,202.1484375,6.757231685241174e-08
OR_typical_OR021@3_3,primary_processed,205.078125,1.731695124547953e-07
OR_typical_OR021@3_3,primary_processed,208.0078125,2.0764571636928215e-07
OR_typical_OR021@3_3,primary_processed,210.9375,7.171959106987149e-08
OR_typical_OR021@3_3,primary_processed,213.8671875,3.465414125607449e-08
OR_typical_OR021@3_3,primary_processed,216.796875,2.3645131210810245e-08
OR_typical_OR021@3_3,primary_processed,219.7265625,2.2320362397474777e-08
OR_typical_OR021@3_3,primary_processed,222.65625,2.0249343220239162e-08
OR_typical_OR021@3_3,primary_processed,225.5859375,1.0550525599462058e-07
OR_typical_OR021@3_3,primary_processed,228.515625,3.2209071706735077e-07
OR_typical_OR021@3_3,primary_processed,231.4453125,1.930744982206472e-07
OR_typical_OR021@3_3,primary_processed,234.375,1.8274377429170207e-07
OR_typical_OR021@3_3,primary_processed,237.3046875,1.2562035028242716e-07
OR_typical_OR021@3_3,primary_processed,240.234375,9.380670912381469e-08
