sample_id,stage,frequency_hz,psd
OR_typical_OR021@3_3,hilbert_envelope_no_bandpass,0.0,2.0653317759657183e-05
OR_typical_OR021@3_3,hilbert_envelope_no_bandpass,2.9296875,2.554654347486001e-05
OR_typical_OR021@3_3,hilbert_envelope_no_bandpass,5.859375,6.6487194721422514e-06
OR_typical_OR021@3_3,hilbert_envelope_no_bandpass,8.7890625,6.077145819341336e-06
OR_typical_OR021@3_3,hilbert_envelope_no_bandpass,11.71875,5.611619529076823e-06
OR_typical_OR021@3_3,hilbert_envelope_no_bandpass,14.6484375,4.8139896928168865e-06
OR_typical_OR021@3_3,hilbert_envelope_no_bandpass,17.578125,4.628081330633541e-06
OR_typical_OR021@3_3,hilbert_envelope_no_bandpass,20.5078125,4.191644311919674e-06
OR_typical_OR021@3_3,hilbert_envelope_no_bandpass,23.4375,5.443533649518295e-06
OR_typical_OR021@3_3,hilbert_envelope_no_bandpass,26.3671875,0.00010594099302225014
OR_typical_OR021@3_3,hilbert_envelope_no_bandpass,29.296875,0.00024406571490572966
OR_typical_OR021@3_3,hilbert_envelope_no_bandpass,32.2265625,3.9549940271561766e-05
OR_typical_OR021@3_3,hilbert_envelope_no_bandpass,35.15625,5.767498070661991e-06
OR_typical_OR021@3_3,hilbert_envelope_no_bandpass,38.0859375,3.7374899072825407e-06
OR_typical_OR021@3_3,hilbert_envelope_no_bandpass,41.015625,3.5646608315899714e-06
OR_typical_OR021@3_3,hilbert_envelope_no_bandpass,43.9453125,3.3582346818874066e-06
OR_typical_OR021@3_3,hilbert_envelope_no_bandpass,46.875,3.399310853769744e-06
OR_typical_OR021@3_3,hilbert_envelope_no_bandpass,49.8046875,3.4237153911436733e-06
OR_typical_OR021@3_3,hilbert_envelope_no_bandpass,52.734375,5.535976298723811e-06
OR_typical_OR021@3_3,hilbert_envelope_no_bandpass,55.6640625,1.0688954620403902e-05
OR_typical_OR021@3_3,hilbert_envelope_no_bandpass,58.59375,1.754503502484818e-05
OR_typical_OR021@3_3,hilbert_envelope_no_bandpass,61.5234375,9.516656006581024e-06
OR_typical_OR021@3_3,hilbert_envelope_no_bandpass,64.453125,3.3318025146046977e-06
OR_typical_OR021@3_3,hilbert_envelope_no_bandpass,67.3828125,3.8025130534705287e-06
OR_typical_OR021@3_3,hilbert_envelope_no_bandpass,70.3125,3.654279465223507e-06
OR_typical_OR021@3_3,hilbert_envelope_no_bandpass,73.2421875,3.8075750608079135e-06
OR_typical_OR021@3_3,hilbert_envelope_no_bandpass,76.171875,3.6841999991246256e-06
OR_typical_OR021@3_3,hilbert_envelope_no_bandpass,79.1015625,3.793721677342394e-06
OR_typical_OR021@3_3,hilbert_envelope_no_bandpass,82.03125,4.8520704354284e-06
OR_typical_OR021@3_3,hilbert_envelope_no_bandpass,84.9609375,2.583338542423446e-05
OR_typical_OR021@3_3,hilbert_envelope_no_bandpass,87.890625,0.00010997194349892095
OR_typical_OR021@3_3,hilbert_envelope_no_bandpass,90.8203125,4.511648214931086e-05
OR_typical_OR021@3_3,hilbert_envelope_no_bandpass,93.75,4.988223145007231e-06
OR_typical_OR021@3_3,hilbert_envelope_no_bandpass,96.6796875,3.3203685808456103e-06
OR_typical_OR021@3_3,hilbert_envelope_no_bandpass,99.609375,4.350449251218628e-06
OR_typical_OR021@3_3,hilbert_envelope_no_bandpass,102.5390625,3.433556174349412e-06
OR_typical_OR021@3_3,hilbert_envelope_no_bandpass,105.46875,3.983494535045741e-06
