relative_path,signal_var,native_points,native_fs_hz,processed_points,processed_fs_hz,detrend_applied,resampled,status
source_domain/cwru_12khz_fe/B007_0.mat,X282_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/B007_1.mat,X283_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/B007_2.mat,X284_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/B007_3.mat,X285_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/B014_0.mat,X286_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/B014_1.mat,X287_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/B014_2.mat,X288_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/B014_3.mat,X289_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/B021_0.mat,X290_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/B021_1.mat,X291_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/B021_2.mat,X292_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/B021_3.mat,X293_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/IR007_0.mat,X278_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/IR007_1.mat,X279_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/IR007_2.mat,X280_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/IR007_3.mat,X281_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/IR014_0.mat,X274_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/IR014_1.mat,X275_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/IR014_2.mat,X276_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/IR014_3.mat,X277_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/IR021_0.mat,X270_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/IR021_1.mat,X271_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/IR021_2.mat,X272_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/IR021_3.mat,X273_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/OR007@12_0.mat,X302_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/OR007@12_1.mat,X305_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/OR007@12_2.mat,X306_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/OR007@12_3.mat,X307_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/OR007@3_0.mat,X298_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/OR007@3_1.mat,X299_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/OR007@3_2.mat,X300_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/OR007@3_3.mat,X301_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/OR007@6_0.mat,X294_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/OR007@6_1.mat,X295_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/OR007@6_2.mat,X296_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/OR007@6_3.mat,X297_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/OR014@3_0.mat,X310_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/OR014@3_1.mat,X309_FE_time,121168,12000,121168,12000,False,False,OK
source_domain/cwru_12khz_fe/OR014@3_2.mat,X311_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/OR014@3_3.mat,X312_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/OR014@6_0.mat,X313_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/OR021@3_1.mat,X316_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/OR021@3_2.mat,X317_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/OR021@3_3.mat,X318_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_12khz_fe/OR021@6_0.mat,X315_FE_time,96000,12000,96000,12000,False,False,OK
source_domain/cwru_48khz_normal/N_0.mat,X097_DE_time,243938,48000,60985,12000,False,True,OK
source_domain/cwru_48khz_normal/N_1_(1772rpm).mat,X098_DE_time,384000,48000,96000,12000,False,True,OK
source_domain/cwru_48khz_normal/N_2_(1750rpm).mat,X099_DE_time,384000,48000,96000,12000,False,True,OK
source_domain/cwru_48khz_normal/N_3.mat,X100_DE_time,384000,48000,96000,12000,False,True,OK
