domain,relative_path,file_id,independent_object_id,subgroup,native_points,native_fs_hz,native_duration_s,common_points,common_fs_hz,common_duration_s,window_count,covered_until_s,tail_uncovered_s,resampled,up,down,fir_taps,cutoff_hz,filter_design_fs_hz
source,source_domain/cwru_12khz_fe/B007_0.mat,RAWFILE-061,source_domain/cwru_12khz_fe/B007_0.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/B007_1.mat,RAWFILE-062,source_domain/cwru_12khz_fe/B007_1.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/B007_2.mat,RAWFILE-063,source_domain/cwru_12khz_fe/B007_2.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/B007_3.mat,RAWFILE-064,source_domain/cwru_12khz_fe/B007_3.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/B014_0.mat,RAWFILE-065,source_domain/cwru_12khz_fe/B014_0.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/B014_1.mat,RAWFILE-066,source_domain/cwru_12khz_fe/B014_1.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/B014_2.mat,RAWFILE-067,source_domain/cwru_12khz_fe/B014_2.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/B014_3.mat,RAWFILE-068,source_domain/cwru_12khz_fe/B014_3.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/B021_0.mat,RAWFILE-069,source_domain/cwru_12khz_fe/B021_0.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/B021_1.mat,RAWFILE-070,source_domain/cwru_12khz_fe/B021_1.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/B021_2.mat,RAWFILE-071,source_domain/cwru_12khz_fe/B021_2.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/B021_3.mat,RAWFILE-072,source_domain/cwru_12khz_fe/B021_3.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/IR007_0.mat,RAWFILE-073,source_domain/cwru_12khz_fe/IR007_0.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/IR007_1.mat,RAWFILE-074,source_domain/cwru_12khz_fe/IR007_1.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/IR007_2.mat,RAWFILE-075,source_domain/cwru_12khz_fe/IR007_2.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/IR007_3.mat,RAWFILE-076,source_domain/cwru_12khz_fe/IR007_3.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/IR014_0.mat,RAWFILE-077,source_domain/cwru_12khz_fe/IR014_0.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/IR014_1.mat,RAWFILE-078,source_domain/cwru_12khz_fe/IR014_1.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/IR014_2.mat,RAWFILE-079,source_domain/cwru_12khz_fe/IR014_2.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/IR014_3.mat,RAWFILE-080,source_domain/cwru_12khz_fe/IR014_3.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/IR021_0.mat,RAWFILE-081,source_domain/cwru_12khz_fe/IR021_0.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/IR021_1.mat,RAWFILE-082,source_domain/cwru_12khz_fe/IR021_1.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
source,source_domain/cwru_12khz_fe/IR021_2.mat,RAWFILE-083,source_domain/cwru_12khz_fe/IR021_2.mat,source_12khz_fe,96000,12000,8.0,96000,12000,8.0,15,8.0,0.0,False,1,1,0,,
