window_id,group_id
WIN-7903ddfdfcd489ea8e7f,source_domain/cwru_12khz_fe/B007_0.mat
WIN-891173c04174ac17a6fb,source_domain/cwru_12khz_fe/B007_0.mat
WIN-ab17f14a1876d835f17f,source_domain/cwru_12khz_fe/B007_0.mat
WIN-eca284a71e0c1ac11041,source_domain/cwru_12khz_fe/B007_0.mat
WIN-2716e506699e08232ff4,source_domain/cwru_12khz_fe/B007_0.mat
WIN-7f96935775ac95b47312,source_domain/cwru_12khz_fe/B007_0.mat
WIN-504f12d19ee97d5f4b97,source_domain/cwru_12khz_fe/B007_0.mat
WIN-ddf026a9aa9e93933961,source_domain/cwru_12khz_fe/B007_0.mat
WIN-7d37f2d28f462c58c7ea,source_domain/cwru_12khz_fe/B007_0.mat
WIN-9635e7302773fb6d7204,source_domain/cwru_12khz_fe/B007_0.mat
WIN-80cf8cdf1be7194dc98f,source_domain/cwru_12khz_fe/B007_0.mat
WIN-f5636ea33223eed9d925,source_domain/cwru_12khz_fe/B007_0.mat
WIN-b8f7e3b7bbb386cf66e0,source_domain/cwru_12khz_fe/B007_0.mat
WIN-e69b8a5f43efd3e341c0,source_domain/cwru_12khz_fe/B007_0.mat
WIN-8fddd937f14d9d075c10,source_domain/cwru_12khz_fe/B007_0.mat
WIN-d473bf538145c5cb6764,source_domain/cwru_12khz_fe/B007_1.mat
WIN-645927b5904522565940,source_domain/cwru_12khz_fe/B007_1.mat
WIN-d542115139eb558ed2f3,source_domain/cwru_12khz_fe/B007_1.mat
WIN-278af3809b54154a0f5e,source_domain/cwru_12khz_fe/B007_1.mat
WIN-e92d52863a4e0f15de93,source_domain/cwru_12khz_fe/B007_1.mat
WIN-e4e32ea1ca545610d69e,source_domain/cwru_12khz_fe/B007_1.mat
WIN-f70b348fbf07a3e841c9,source_domain/cwru_12khz_fe/B007_1.mat
WIN-2d6addfdc68ea4b01135,source_domain/cwru_12khz_fe/B007_1.mat
WIN-cc2d1358a3ab2b7ee442,source_domain/cwru_12khz_fe/B007_1.mat
WIN-8ce4a63029b888f10682,source_domain/cwru_12khz_fe/B007_1.mat
WIN-e3f967093ebd831492ce,source_domain/cwru_12khz_fe/B007_1.mat
WIN-c932afcccfe487deef11,source_domain/cwru_12khz_fe/B007_1.mat
WIN-ca596ac1d7ec980606e5,source_domain/cwru_12khz_fe/B007_1.mat
WIN-ee38cce142716519a1ef,source_domain/cwru_12khz_fe/B007_1.mat
WIN-95891b5a79c5a82166e5,source_domain/cwru_12khz_fe/B007_1.mat
WIN-bed73ae248b507641f53,source_domain/cwru_12khz_fe/B007_2.mat
WIN-ca1b4f5413162000e2fb,source_domain/cwru_12khz_fe/B007_2.mat
WIN-4efaf5f5787c4d068504,source_domain/cwru_12khz_fe/B007_2.mat
WIN-2b5daa9a57e8986f6af4,source_domain/cwru_12khz_fe/B007_2.mat
WIN-17ffaa42ab4e1a7a0bf2,source_domain/cwru_12khz_fe/B007_2.mat
WIN-c8d2aba8f8ee0fe3a0ce,source_domain/cwru_12khz_fe/B007_2.mat
WIN-a3baec2d813e5b5bf25b,source_domain/cwru_12khz_fe/B007_2.mat
WIN-b2c0b1e6ee7c316790e6,source_domain/cwru_12khz_fe/B007_2.mat
WIN-c2ffe1f0417325d8f0d4,source_domain/cwru_12khz_fe/B007_2.mat
WIN-95387c7be4fc1e44a8da,source_domain/cwru_12khz_fe/B007_2.mat
WIN-691dcda830149b752ed4,source_domain/cwru_12khz_fe/B007_2.mat
WIN-17d94a9334029dfa613a,source_domain/cwru_12khz_fe/B007_2.mat
WIN-ce1088821854c23b82d0,source_domain/cwru_12khz_fe/B007_2.mat
WIN-493587db7c0f397b1294,source_domain/cwru_12khz_fe/B007_2.mat
WIN-5759020dae18cf676691,source_domain/cwru_12khz_fe/B007_2.mat
WIN-48bfb74691fab45b7368,source_domain/cwru_12khz_fe/B007_3.mat
WIN-329a0ec73e2cb6f6befe,source_domain/cwru_12khz_fe/B007_3.mat
WIN-b5f69035b70f0781318b,source_domain/cwru_12khz_fe/B007_3.mat
WIN-1700c07dd64b07a5c56f,source_domain/cwru_12khz_fe/B007_3.mat
WIN-c1455f1c48534c1d9942,source_domain/cwru_12khz_fe/B007_3.mat
WIN-d590c1261a8f8a71666e,source_domain/cwru_12khz_fe/B007_3.mat
WIN-cdd1f7ae6646012ac43b,source_domain/cwru_12khz_fe/B007_3.mat
WIN-90a7529848129262ca12,source_domain/cwru_12khz_fe/B007_3.mat
WIN-979526b8b548ff097201,source_domain/cwru_12khz_fe/B007_3.mat
WIN-1e2484005ec9defcf7c5,source_domain/cwru_12khz_fe/B007_3.mat
WIN-e4093a9c255c8e68bc2d,source_domain/cwru_12khz_fe/B007_3.mat
WIN-2601959fec1ce9560ef0,source_domain/cwru_12khz_fe/B007_3.mat
WIN-0320273825c2c88259a7,source_domain/cwru_12khz_fe/B007_3.mat
WIN-3629de27ad58b37be352,source_domain/cwru_12khz_fe/B007_3.mat
WIN-37b08499ea4aef44f627,source_domain/cwru_12khz_fe/B007_3.mat
WIN-b31da23344e493409fb2,source_domain/cwru_12khz_fe/B014_0.mat
WIN-75a3398578e2d3667396,source_domain/cwru_12khz_fe/B014_0.mat
WIN-5b309f969dcbb80a6771,source_domain/cwru_12khz_fe/B014_0.mat
WIN-f94500ae333b46c58a95,source_domain/cwru_12khz_fe/B014_0.mat
WIN-8a2155a2928d0380478f,source_domain/cwru_12khz_fe/B014_0.mat
WIN-12738a8ff1cde1df5252,source_domain/cwru_12khz_fe/B014_0.mat
WIN-35f379154ce90da08c7a,source_domain/cwru_12khz_fe/B014_0.mat
WIN-55f4ef1d25e27ac9d1f9,source_domain/cwru_12khz_fe/B014_0.mat
WIN-8acd47c7423c50b9be33,source_domain/cwru_12khz_fe/B014_0.mat
WIN-3427f9a7fd24dc310f77,source_domain/cwru_12khz_fe/B014_0.mat
WIN-6e721131deeaa0326e30,source_domain/cwru_12khz_fe/B014_0.mat
WIN-a86da486f40b03070c27,source_domain/cwru_12khz_fe/B014_0.mat
WIN-2c5dd68d9a3c2a8bd332,source_domain/cwru_12khz_fe/B014_0.mat
WIN-90ddf32d14f48f6c411c,source_domain/cwru_12khz_fe/B014_0.mat
WIN-4bccca6de03d58d4b6f0,source_domain/cwru_12khz_fe/B014_0.mat
WIN-6973a8c42964be865058,source_domain/cwru_12khz_fe/B014_1.mat
WIN-a3afac2b88e914c9a766,source_domain/cwru_12khz_fe/B014_1.mat
WIN-23a9dffe6f9b7b523adf,source_domain/cwru_12khz_fe/B014_1.mat
WIN-1a5b88ad287551c49d3b,source_domain/cwru_12khz_fe/B014_1.mat
