window_id,domain,file_id,independent_object_id,group_id,relative_path,subgroup,signal_var,common_fs_hz,window_start_common_idx,window_end_common_idx_exclusive,window_start_s,window_end_s,native_fs_hz,native_start_idx,native_end_idx_exclusive,class_label,label_status,load_hp,fault_size_in,outer_race_position_clock,fault_bearing_location,analysis_channel,rpm,bearing_model_for_mechanism
WIN-7903ddfdfcd489ea8e7f,source,RAWFILE-061,source_domain/cwru_12khz_fe/B007_0.mat,source_domain/cwru_12khz_fe/B007_0.mat,source_domain/cwru_12khz_fe/B007_0.mat,source_12khz_fe,X282_FE_time,12000,0,12000,0.0,1.0,12000,0,12000,B,known_source,0.0,0.007,,FE,FE,1798.0,SKF6203_FE
WIN-891173c04174ac17a6fb,source,RAWFILE-061,source_domain/cwru_12khz_fe/B007_0.mat,source_domain/cwru_12khz_fe/B007_0.mat,source_domain/cwru_12khz_fe/B007_0.mat,source_12khz_fe,X282_FE_time,12000,6000,18000,0.5,1.5,12000,6000,18000,B,known_source,0.0,0.007,,FE,FE,1798.0,SKF6203_FE
WIN-ab17f14a1876d835f17f,source,RAWFILE-061,source_domain/cwru_12khz_fe/B007_0.mat,source_domain/cwru_12khz_fe/B007_0.mat,source_domain/cwru_12khz_fe/B007_0.mat,source_12khz_fe,X282_FE_time,12000,12000,24000,1.0,2.0,12000,12000,24000,B,known_source,0.0,0.007,,FE,FE,1798.0,SKF6203_FE
WIN-eca284a71e0c1ac11041,source,RAWFILE-061,source_domain/cwru_12khz_fe/B007_0.mat,source_domain/cwru_12khz_fe/B007_0.mat,source_domain/cwru_12khz_fe/B007_0.mat,source_12khz_fe,X282_FE_time,12000,18000,30000,1.5,2.5,12000,18000,30000,B,known_source,0.0,0.007,,FE,FE,1798.0,SKF6203_FE
WIN-2716e506699e08232ff4,source,RAWFILE-061,source_domain/cwru_12khz_fe/B007_0.mat,source_domain/cwru_12khz_fe/B007_0.mat,source_domain/cwru_12khz_fe/B007_0.mat,source_12khz_fe,X282_FE_time,12000,24000,36000,2.0,3.0,12000,24000,36000,B,known_source,0.0,0.007,,FE,FE,1798.0,SKF6203_FE
WIN-7f96935775ac95b47312,source,RAWFILE-061,source_domain/cwru_12khz_fe/B007_0.mat,source_domain/cwru_12khz_fe/B007_0.mat,source_domain/cwru_12khz_fe/B007_0.mat,source_12khz_fe,X282_FE_time,12000,30000,42000,2.5,3.5,12000,30000,42000,B,known_source,0.0,0.007,,FE,FE,1798.0,SKF6203_FE
WIN-504f12d19ee97d5f4b97,source,RAWFILE-061,source_domain/cwru_12khz_fe/B007_0.mat,source_domain/cwru_12khz_fe/B007_0.mat,source_domain/cwru_12khz_fe/B007_0.mat,source_12khz_fe,X282_FE_time,12000,36000,48000,3.0,4.0,12000,36000,48000,B,known_source,0.0,0.007,,FE,FE,1798.0,SKF6203_FE
WIN-ddf026a9aa9e93933961,source,RAWFILE-061,source_domain/cwru_12khz_fe/B007_0.mat,source_domain/cwru_12khz_fe/B007_0.mat,source_domain/cwru_12khz_fe/B007_0.mat,source_12khz_fe,X282_FE_time,12000,42000,54000,3.5,4.5,12000,42000,54000,B,known_source,0.0,0.007,,FE,FE,1798.0,SKF6203_FE
WIN-7d37f2d28f462c58c7ea,source,RAWFILE-061,source_domain/cwru_12khz_fe/B007_0.mat,source_domain/cwru_12khz_fe/B007_0.mat,source_domain/cwru_12khz_fe/B007_0.mat,source_12khz_fe,X282_FE_time,12000,48000,60000,4.0,5.0,12000,48000,60000,B,known_source,0.0,0.007,,FE,FE,1798.0,SKF6203_FE
WIN-9635e7302773fb6d7204,source,RAWFILE-061,source_domain/cwru_12khz_fe/B007_0.mat,source_domain/cwru_12khz_fe/B007_0.mat,source_domain/cwru_12khz_fe/B007_0.mat,source_12khz_fe,X282_FE_time,12000,54000,66000,4.5,5.5,12000,54000,66000,B,known_source,0.0,0.007,,FE,FE,1798.0,SKF6203_FE
WIN-80cf8cdf1be7194dc98f,source,RAWFILE-061,source_domain/cwru_12khz_fe/B007_0.mat,source_domain/cwru_12khz_fe/B007_0.mat,source_domain/cwru_12khz_fe/B007_0.mat,source_12khz_fe,X282_FE_time,12000,60000,72000,5.0,6.0,12000,60000,72000,B,known_source,0.0,0.007,,FE,FE,1798.0,SKF6203_FE
WIN-f5636ea33223eed9d925,source,RAWFILE-061,source_domain/cwru_12khz_fe/B007_0.mat,source_domain/cwru_12khz_fe/B007_0.mat,source_domain/cwru_12khz_fe/B007_0.mat,source_12khz_fe,X282_FE_time,12000,66000,78000,5.5,6.5,12000,66000,78000,B,known_source,0.0,0.007,,FE,FE,1798.0,SKF6203_FE
WIN-b8f7e3b7bbb386cf66e0,source,RAWFILE-061,source_domain/cwru_12khz_fe/B007_0.mat,source_domain/cwru_12khz_fe/B007_0.mat,source_domain/cwru_12khz_fe/B007_0.mat,source_12khz_fe,X282_FE_time,12000,72000,84000,6.0,7.0,12000,72000,84000,B,known_source,0.0,0.007,,FE,FE,1798.0,SKF6203_FE
