relative_path,domain,signal_var,native_points,native_fs_hz,common_points,common_fs_hz,window_count,status
source_domain/cwru_12khz_fe/B007_0.mat,source,X282_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/B007_1.mat,source,X283_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/B007_2.mat,source,X284_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/B007_3.mat,source,X285_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/B014_0.mat,source,X286_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/B014_1.mat,source,X287_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/B014_2.mat,source,X288_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/B014_3.mat,source,X289_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/B021_0.mat,source,X290_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/B021_1.mat,source,X291_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/B021_2.mat,source,X292_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/B021_3.mat,source,X293_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/IR007_0.mat,source,X278_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/IR007_1.mat,source,X279_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/IR007_2.mat,source,X280_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/IR007_3.mat,source,X281_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/IR014_0.mat,source,X274_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/IR014_1.mat,source,X275_FE_time,96000,12000,96000,12000,15,OK
source_domain/cwru_12khz_fe/IR014_2.mat,source,X276_FE_time,96000,12000,96000,12000,15,OK
