window_id,class_label
WIN-7903ddfdfcd489ea8e7f,B
WIN-891173c04174ac17a6fb,B
WIN-ab17f14a1876d835f17f,B
WIN-eca284a71e0c1ac11041,B
WIN-2716e506699e08232ff4,B
WIN-7f96935775ac95b47312,B
WIN-504f12d19ee97d5f4b97,B
WIN-ddf026a9aa9e93933961,B
WIN-7d37f2d28f462c58c7ea,B
WIN-9635e7302773fb6d7204,B
WIN-80cf8cdf1be7194dc98f,B
WIN-f5636ea33223eed9d925,B
WIN-b8f7e3b7bbb386cf66e0,B
WIN-e69b8a5f43efd3e341c0,B
WIN-8fddd937f14d9d075c10,B
WIN-d473bf538145c5cb6764,B
WIN-645927b5904522565940,B
WIN-d542115139eb558ed2f3,B
WIN-278af3809b54154a0f5e,B
WIN-e92d52863a4e0f15de93,B
WIN-e4e32ea1ca545610d69e,B
WIN-f70b348fbf07a3e841c9,B
WIN-2d6addfdc68ea4b01135,B
WIN-cc2d1358a3ab2b7ee442,B
WIN-8ce4a63029b888f10682,B
WIN-e3f967093ebd831492ce,B
WIN-c932afcccfe487deef11,B
WIN-ca596ac1d7ec980606e5,B
WIN-ee38cce142716519a1ef,B
WIN-95891b5a79c5a82166e5,B
WIN-bed73ae248b507641f53,B
WIN-ca1b4f5413162000e2fb,B
WIN-4efaf5f5787c4d068504,B
WIN-2b5daa9a57e8986f6af4,B
WIN-17ffaa42ab4e1a7a0bf2,B
WIN-c8d2aba8f8ee0fe3a0ce,B
WIN-a3baec2d813e5b5bf25b,B
WIN-b2c0b1e6ee7c316790e6,B
WIN-c2ffe1f0417325d8f0d4,B
WIN-95387c7be4fc1e44a8da,B
WIN-691dcda830149b752ed4,B
WIN-17d94a9334029dfa613a,B
WIN-ce1088821854c23b82d0,B
WIN-493587db7c0f397b1294,B
WIN-5759020dae18cf676691,B
WIN-48bfb74691fab45b7368,B
WIN-329a0ec73e2cb6f6befe,B
WIN-b5f69035b70f0781318b,B
WIN-1700c07dd64b07a5c56f,B
WIN-c1455f1c48534c1d9942,B
WIN-d590c1261a8f8a71666e,B
WIN-cdd1f7ae6646012ac43b,B
WIN-90a7529848129262ca12,B
WIN-979526b8b548ff097201,B
WIN-1e2484005ec9defcf7c5,B
WIN-e4093a9c255c8e68bc2d,B
WIN-2601959fec1ce9560ef0,B
WIN-0320273825c2c88259a7,B
WIN-3629de27ad58b37be352,B
WIN-37b08499ea4aef44f627,B
WIN-b31da23344e493409fb2,B
WIN-75a3398578e2d3667396,B
WIN-5b309f969dcbb80a6771,B
WIN-f94500ae333b46c58a95,B
WIN-8a2155a2928d0380478f,B
WIN-12738a8ff1cde1df5252,B
WIN-35f379154ce90da08c7a,B
WIN-55f4ef1d25e27ac9d1f9,B
WIN-8acd47c7423c50b9be33,B
WIN-3427f9a7fd24dc310f77,B
WIN-6e721131deeaa0326e30,B
WIN-a86da486f40b03070c27,B
WIN-2c5dd68d9a3c2a8bd332,B
WIN-90ddf32d14f48f6c411c,B
WIN-4bccca6de03d58d4b6f0,B
WIN-6973a8c42964be865058,B
WIN-a3afac2b88e914c9a766,B
WIN-23a9dffe6f9b7b523adf,B
WIN-1a5b88ad287551c49d3b,B
WIN-5ff1104c2d9836b2a716,B
WIN-7743e9ef6f07f0097f12,B
WIN-8f186ca87b313d6e1e73,B
WIN-a04628c5fb57bb17a157,B
WIN-686a8465e68783e11ea5,B
WIN-8a4f533e2f54ce9d3b3d,B
WIN-5945b88ef9480f2adb32,B
WIN-81b730060fb0f9f3e062,B
WIN-a757e773381cfe600bc9,B
WIN-3bd82ba106cb26f6464e,B
WIN-48c1ad389c8d5489ec76,B
WIN-ad2f3523d4f033a46aeb,B
WIN-900d674f1e8f1a8d9ff9,B
WIN-8138d88731735b2e8334,B
WIN-28b607de24710b94389b,B
WIN-af27ccea3ef66e070230,B
WIN-a5f4b9487c91c5df82b1,B
WIN-dc43e05f3f0d9055c984,B
WIN-f71b9d992459d01d5b57,B
WIN-c99d320ce097697af301,B
WIN-268397442b83a1f7b44e,B
WIN-a6b3061c0a348b45bdc6,B
WIN-557bc71ff309dd260278,B
WIN-7f27102c94739b8c7b77,B
WIN-c1f19708361dfef88843,B
WIN-5227e0521be27aae84c5,B
WIN-25c24932c6ba90148763,B
WIN-fbf0bf5d0844273a42a6,B
WIN-e28340f0d7d9453a9caa,B
WIN-f77c4cc3d3a83b436b63,B
WIN-42ef98b4686408af7196,B
WIN-a65048188e9c2363e19a,B
WIN-ddf60ff253e37de91ced,B
WIN-643b84d5e705c0c4f20e,B
WIN-da858fbc7f7d6cd0a253,B
WIN-c5ffba9fa48ee2d2f8e6,B
WIN-7c366f0765f7f25a5d45,B
WIN-dbfe99d6cb64529c7d03,B
WIN-f794c617abb0155a5f49,B
WIN-71a23180ca05c3f356d7,B
WIN-e1f8581ec72156e4c40d,B
WIN-4307f92375069babe348,B
WIN-8ec9e349dc6a2dad86f5,B
WIN-3b1db9162d81b3487c0c,B
WIN-bbb6db2261581421a8dc,B
WIN-a15c4cd52a490317cae7,B
WIN-478f6d8d3e8f9056d252,B
WIN-4981f1e708cd35d5472e,B
WIN-242b37df1ed074df80b3,B
WIN-8c9b7a85d4ce7c3bc6b1,B
WIN-d7bd0c8a027e6db2f970,B
WIN-743bc7cb57880bbee02d,B
WIN-b91f84ec83a97fa03b8e,B
WIN-01542cc9fee777f6ce43,B
WIN-8bd08058b2baee587475,B
WIN-66227cd413cf12b07cf2,B
WIN-ce9aed289046dbf88e3d,B
WIN-b8a176c8599396fcb933,B
WIN-6a6cd868718760f9beb2,B
WIN-c73ce4e610533d0e394f,B
WIN-7ab4e13fbabfbd4e5db3,B
WIN-842bb62f1c993b737727,B
WIN-7571657e1d092958db86,B
WIN-6e194b460a6f9dfb63db,B
WIN-78752056609514e16c69,B
WIN-cebfacbec3451fecab55,B
WIN-2faee3c8f5a2fb07bfb9,B
WIN-524b6d879559ed5b2440,B
WIN-ca1dc236c64a0d336eb0,B
WIN-daf99a564745c1239bc0,B
WIN-44962460fdc546b555e0,B
WIN-9256778c4e9f54cc41aa,B
WIN-651c3edbaed6a47e5dea,B
WIN-200a713d371478eda482,B
WIN-c62646b8543263f175d1,B
WIN-92d189de72817f1e5ada,B
WIN-3229a1a5c839e1200807,B
WIN-867730a772b9dcd0ed48,B
WIN-f899c7d4a17a6b224947,B
WIN-0f6a3bc9202534158bf2,B
WIN-71ac72822ad527b35259,B
WIN-b05c8e4964f9df72bf1f,B
WIN-091f8a8ee20b9dd7c9e4,B
WIN-94b1eeafc18011bf8eef,B
WIN-f2a109bfcb3bd50884d4,B
WIN-9f44ba4ed2fff4393dbb,B
WIN-14094409b262f8c91fdc,B
WIN-9da80ffb14320d8be725,B
WIN-f0d3fcca08326ff41455,B
WIN-5816000a95fd48643e4b,B
WIN-6dc5e027873cf32d4e96,B
WIN-38a8a954f6798ec86167,B
WIN-9126f778aa047cde3fb2,B
WIN-fe66a6b6a14822d2f154,B
WIN-7fb954901dba6ace533b,B
WIN-b73493f0cb9947516581,B
WIN-6dbe514a262c18ead6c6,B
WIN-226e82c04a54964bbe8f,B
WIN-fe7b58007106a8a988a6,B
WIN-b7ba65720aef0997f313,B
WIN-f6330fca6f78e77e47a2,B
WIN-aedff8f49043e8611f7b,IR
WIN-687a139507a6a6959bf4,IR
WIN-72976a1165ffddbdf3cd,IR
WIN-583a43f7fd9ebf20deb0,IR
WIN-18101343915a3d7c252f,IR
WIN-db7ef28204ff4354b799,IR
WIN-4858540c7771fcd31f5e,IR
WIN-236290c16e2454609e8f,IR
WIN-daf59a603c9555423e28,IR
WIN-e7a5ec78c744c22f6f7b,IR
WIN-8ea36ad1ed8ed4050ee1,IR
WIN-6df3b1a0e807f9bfdd2a,IR
WIN-3e58b4956f9eb2a15f8f,IR
WIN-fe011dea2903f8cd4c22,IR
WIN-6436369b6b6a5c89b6f4,IR
WIN-76b37ed3bc783c0cc905,IR
WIN-ba35f61877490475d0c1,IR
WIN-7d6464ba2fca178a047a,IR
WIN-818ad005e3cb0f8cfeb1,IR
WIN-81b726fe00d127972160,IR
WIN-5c17bd1b9c8c56bae671,IR
WIN-31d80cf41e038ac53d82,IR
WIN-65b070ef7b219013641f,IR
WIN-675d4546c409d80d86e3,IR
WIN-6c7a4134cbf512b3a28e,IR
WIN-1609a00ca1d3a822e2dd,IR
WIN-c3216774c4460e657567,IR
WIN-793fae25042f4a3987f1,IR
WIN-73592ac81c9a7a22bac3,IR
WIN-6fc76f988f52786ece77,IR
WIN-b5260e2cd6b8d8f6cd67,IR
WIN-ade913420fc52d55847c,IR
WIN-01e7e62f4c2ecbdb18db,IR
WIN-70314c3ab088ce2bee55,IR
WIN-fed04242cbf1719d78bf,IR
WIN-979bf2d8b4fd579dcd33,IR
WIN-858f672a8ed729a64e8e,IR
WIN-75ab10ed4c5e44e818b5,IR
WIN-bd346145ae546172e166,IR
WIN-14dc9dcdf84c6b5f3943,IR
WIN-06b3ee637ecb4727711e,IR
WIN-8c6bd41037c8c6a97b20,IR
WIN-666695e7042d3c8f85e4,IR
WIN-b6c4c97697e059fc19ad,IR
WIN-6096a5f0b148a34900c5,IR
WIN-36c3fb867e1ebbfb7945,IR
WIN-2f3a8feb7ac80dd3054b,IR
WIN-c0c957a2ebecccd09b09,IR
WIN-9e34e8c735e92f8efcc4,IR
WIN-05e3b5dba0b8bf0cec71,IR
WIN-b3826052360ede3025ed,IR
WIN-876fac0ccd4036166ffe,IR
WIN-95ba58e2644691cf9155,IR
WIN-db8aa1c4a131bb7d038d,IR
WIN-39e8b4aaf58b74cc748a,IR
WIN-02135945bb18ff887375,IR
WIN-9b30f7c42b134f3dd64a,IR
WIN-d1c33fd95c8d96968d54,IR
WIN-70fafa99e816d7111b6d,IR
WIN-386787f7137c8175d934,IR
WIN-62696365c983df932a8d,IR
WIN-b1ebedb36966d2107ec7,IR
WIN-21f44ece947d5ffbac4a,IR
WIN-b72afe8ff9e3e40e1833,IR
WIN-06ef77117f462ca4aafc,IR
WIN-14b7f82858bbdbf77eeb,IR
WIN-57fcacb5f64126c65095,IR
WIN-39974fa6f44d1515f03e,IR
WIN-d484361e8fdc962b15cf,IR
WIN-571156a292963ce10be9,IR
WIN-8271e42c86cd42bc4463,IR
WIN-57bd81b8264d6660c5d3,IR
WIN-dad8679918e8871ce2f0,IR
WIN-f7c77baae89c17b6049f,IR
WIN-f743df3c3f350713e282,IR
WIN-85ae90faabadab7d5828,IR
WIN-bfd566badf798378011f,IR
WIN-a7acf3397ee9375b0e93,IR
WIN-3826c922b4c105df2f7d,IR
WIN-42e666986313bfbb88ab,IR
WIN-ec477fae56320663b28f,IR
WIN-c99d826df9499e731fbf,IR
WIN-cdc328545af4f4423377,IR
WIN-2290f757189fbcbee4aa,IR
WIN-cc3fd51f324cf584e730,IR
WIN-de8659e3136d7a79549a,IR
WIN-8a9c1c6fa65078d2c247,IR
WIN-9e326f99a153645d35c6,IR
WIN-c6091c5f9ebb00bcb9ad,IR
WIN-230fdb831982ad274196,IR
WIN-8dd5a29353542d2461f5,IR
WIN-1ac7616db8fc9d99f80d,IR
WIN-86e44c67fde4f980e3f0,IR
WIN-0ea1ca1043aa44936435,IR
WIN-d184189702c1c23867ae,IR
WIN-5b1a9fb52dcc810feee9,IR
WIN-be0f658db58ac0f0ff8a,IR
WIN-c8ed48b34da272d4bdf6,IR
WIN-cfd83e247fe639de1309,IR
WIN-92efb6dd469ce2ac10d0,IR
WIN-b0ec0d90db45a81fe520,IR
WIN-bab8f26b2be44958d70f,IR
WIN-307631e7cb0fb39c919d,IR
WIN-580e7f428d853bf89e27,IR
WIN-683537dfcd7db82db89e,IR
WIN-6bcc910060e6a2783f7c,IR
WIN-9db033efbdf410ea51c3,IR
WIN-5067f4851d1df38bb8ea,IR
WIN-57cbd4a80d5d75533139,IR
WIN-c7f02031e7dae0fdecb6,IR
WIN-b3641b72e6f4775ec2bb,IR
WIN-dffb160c65b929775fa1,IR
WIN-1b34a7d35b846363d699,IR
WIN-08914e4d1f36f7fd0623,IR
WIN-c9757224d240ac23ec8b,IR
WIN-9cbbfa0c8ae645300c76,IR
WIN-a8a5f313c519707a0e89,IR
WIN-d8c2edb9471f1ca481a2,IR
WIN-6ac8f82e3370980eb1d2,IR
WIN-1e336694d1ddc07bc2bd,IR
WIN-f1a58f4f3ed23b97e2f0,IR
WIN-cb72ed354d09b4f3ecad,IR
WIN-a2da8eec5688b9029b80,IR
WIN-766984dc5ab18ce09ac3,IR
WIN-df5af39b8a314ea3f8fc,IR
WIN-8cb9e165024733262024,IR
WIN-ea8ee01bb7d4b7a3cf25,IR
WIN-fe7d6dfecf911e3ccf77,IR
WIN-ebb0533d30429f8136a6,IR
WIN-e937ef2c89b66e754692,IR
WIN-b2dfa1f429227c4b8d2f,IR
WIN-49dbfe60afc8e26b16f0,IR
WIN-7bb0c885759045a6654a,IR
WIN-cce1986cc6e147facd2e,IR
WIN-956cec6db54c9f576589,IR
WIN-af90dedd3ab6bb4603ce,IR
WIN-ae5f60f8b954a932da59,IR
WIN-541679f2292056c93c74,IR
WIN-2815b3949c9296691723,IR
WIN-12b47fd529ff613b50db,IR
WIN-92a05a596e09faf0469e,IR
WIN-ac28aca983a363ed75a1,IR
WIN-b22099acebbf932611c6,IR
WIN-1edb17d9e2db8860f262,IR
WIN-ad0526632af328ea078a,IR
WIN-a12e8064cf48351cf1c4,IR
WIN-645dcea1edad34cd7ebc,IR
WIN-93a655c71ace7cf36461,IR
WIN-ea175eb069f7f0e8a1dc,IR
WIN-02e858828f8d6253d825,IR
WIN-ade818bd37afd0fa0740,IR
WIN-067e8414e36b441ec9ad,IR
WIN-82fc40b80dc0401d1d59,IR
WIN-257b647f86237e701c07,IR
WIN-681f97c80b2d7a4390c4,IR
WIN-ffd41a97997930c06560,IR
WIN-01ddea71fe80693dcd0c,IR
WIN-f7c97c65fdb4734fcde1,IR
WIN-a08c9311a67a450e72fc,IR
WIN-ba515142a0007c4b2629,IR
WIN-3162e5c6e8dc56508eb5,IR
WIN-4efa088d6b62e83b982a,IR
WIN-ac9006c3212e10886f49,IR
WIN-4ea6f053c047ef8704fa,IR
WIN-3f93669f64da8cfeb4f1,IR
WIN-7cfe75c680335acb71fc,IR
WIN-da1b2290cde4e3240e8d,IR
WIN-bf01017e9d620164e839,IR
WIN-648a6afb261a5ec06b8d,IR
WIN-8eb23f44087b49271219,IR
WIN-576502aab2e9e4c4775a,IR
WIN-ff4ea363627c75a13ff7,IR
WIN-fe77534eb996ee41b69b,IR
WIN-a1f094216dd6a49cd973,IR
WIN-bd4fdc3c59effa9f13f6,IR
WIN-00154dd47f4b27756990,IR
WIN-9805925649c8dcb8c2ca,IR
WIN-9439f1aa6712cf6d7c0e,IR
WIN-b98a836d1a68b385c13b,IR
WIN-46747e8a8dc1c5a79865,IR
WIN-fa6c8cafed1699d7517f,OR
WIN-748be3b276d7164e9abc,OR
WIN-8bc0f9ecea59ddc8639a,OR
WIN-5fd668811bc1cd1d4aa5,OR
WIN-d946fc2423b4c37de0ba,OR
WIN-c40afc9071dd90c1dd08,OR
WIN-99e8592999abd62a92ed,OR
WIN-74dc12ae699664545810,OR
WIN-9a56271c78fb4a9291b4,OR
