window_id,domain,file_id,independent_object_id,group_id,relative_path,subgroup,signal_var,common_fs_hz,window_start_common_idx,window_end_common_idx_exclusive,window_start_s,window_end_s,native_fs_hz,native_start_idx,native_end_idx_exclusive,class_label,label_status,load_hp,fault_size_in,outer_race_position_clock,fault_bearing_location,analysis_channel,rpm,bearing_model_for_mechanism
WIN-306010b55ca0e59ab5f5,target,RAWFILE-162,target_domain/train_bearing_a_to_p/A.mat,target_domain/train_bearing_a_to_p/A.mat,target_domain/train_bearing_a_to_p/A.mat,target_32khz,A,12000,0,12000,0.0,1.0,32000,0,32000,UNKNOWN_TRUTH,unknown_truth,,,,UNKNOWN,TARGET_UNKNOWN_SENSOR,,
WIN-eef3214ff15f4dd1c693,target,RAWFILE-162,target_domain/train_bearing_a_to_p/A.mat,target_domain/train_bearing_a_to_p/A.mat,target_domain/train_bearing_a_to_p/A.mat,target_32khz,A,12000,6000,18000,0.5,1.5,32000,16000,48000,UNKNOWN_TRUTH,unknown_truth,,,,UNKNOWN,TARGET_UNKNOWN_SENSOR,,
WIN-e277b18e45d231921986,target,RAWFILE-162,target_domain/train_bearing_a_to_p/A.mat,target_domain/train_bearing_a_to_p/A.mat,target_domain/train_bearing_a_to_p/A.mat,target_32khz,A,12000,12000,24000,1.0,2.0,32000,32000,64000,UNKNOWN_TRUTH,unknown_truth,,,,UNKNOWN,TARGET_UNKNOWN_SENSOR,,
WIN-c8099c7aa973435fcefe,target,RAWFILE-162,target_domain/train_bearing_a_to_p/A.mat,target_domain/train_bearing_a_to_p/A.mat,target_domain/train_bearing_a_to_p/A.mat,target_32khz,A,12000,18000,30000,1.5,2.5,32000,48000,80000,UNKNOWN_TRUTH,unknown_truth,,,,UNKNOWN,TARGET_UNKNOWN_SENSOR,,
WIN-03ee54a13bf27193f898,target,RAWFILE-162,target_domain/train_bearing_a_to_p/A.mat,target_domain/train_bearing_a_to_p/A.mat,target_domain/train_bearing_a_to_p/A.mat,target_32khz,A,12000,24000,36000,2.0,3.0,32000,64000,96000,UNKNOWN_TRUTH,unknown_truth,,,,UNKNOWN,TARGET_UNKNOWN_SENSOR,,
WIN-843e260a823103c55fc6,target,RAWFILE-162,target_domain/train_bearing_a_to_p/A.mat,target_domain/train_bearing_a_to_p/A.mat,target_domain/train_bearing_a_to_p/A.mat,target_32khz,A,12000,30000,42000,2.5,3.5,32000,80000,112000,UNKNOWN_TRUTH,unknown_truth,,,,UNKNOWN,TARGET_UNKNOWN_SENSOR,,
WIN-58f4fdcc4e742186c626,target,RAWFILE-162,target_domain/train_bearing_a_to_p/A.mat,target_domain/train_bearing_a_to_p/A.mat,target_domain/train_bearing_a_to_p/A.mat,target_32khz,A,12000,36000,48000,3.0,4.0,32000,96000,128000,UNKNOWN_TRUTH,unknown_truth,,,,UNKNOWN,TARGET_UNKNOWN_SENSOR,,
WIN-1b54c47333f6512787cb,target,RAWFILE-162,target_domain/train_bearing_a_to_p/A.mat,target_domain/train_bearing_a_to_p/A.mat,target_domain/train_bearing_a_to_p/A.mat,target_32khz,A,12000,42000,54000,3.5,4.5,32000,112000,144000,UNKNOWN_TRUTH,unknown_truth,,,,UNKNOWN,TARGET_UNKNOWN_SENSOR,,
WIN-2b94c34d801ae83c7ff4,target,RAWFILE-162,target_domain/train_bearing_a_to_p/A.mat,target_domain/train_bearing_a_to_p/A.mat,target_domain/train_bearing_a_to_p/A.mat,target_32khz,A,12000,48000,60000,4.0,5.0,32000,128000,160000,UNKNOWN_TRUTH,unknown_truth,,,,UNKNOWN,TARGET_UNKNOWN_SENSOR,,
WIN-62333cffcb7244781151,target,RAWFILE-162,target_domain/train_bearing_a_to_p/A.mat,target_domain/train_bearing_a_to_p/A.mat,target_domain/train_bearing_a_to_p/A.mat,target_32khz,A,12000,54000,66000,4.5,5.5,32000,144000,176000,UNKNOWN_TRUTH,unknown_truth,,,,UNKNOWN,TARGET_UNKNOWN_SENSOR,,
WIN-3696567f5a0ac7ae8bdb,target,RAWFILE-162,target_domain/train_bearing_a_to_p/A.mat,target_domain/train_bearing_a_to_p/A.mat,target_domain/train_bearing_a_to_p/A.mat,target_32khz,A,12000,60000,72000,5.0,6.0,32000,160000,192000,UNKNOWN_TRUTH,unknown_truth,,,,UNKNOWN,TARGET_UNKNOWN_SENSOR,,
WIN-4c6c1eacae528e912b20,target,RAWFILE-162,target_domain/train_bearing_a_to_p/A.mat,target_domain/train_bearing_a_to_p/A.mat,target_domain/train_bearing_a_to_p/A.mat,target_32khz,A,12000,66000,78000,5.5,6.5,32000,176000,208000,UNKNOWN_TRUTH,unknown_truth,,,,UNKNOWN,TARGET_UNKNOWN_SENSOR,,
WIN-cc736f2e3e77f40834d5,target,RAWFILE-162,target_domain/train_bearing_a_to_p/A.mat,target_domain/train_bearing_a_to_p/A.mat,target_domain/train_bearing_a_to_p/A.mat,target_32khz,A,12000,72000,84000,6.0,7.0,32000,192000,224000,UNKNOWN_TRUTH,unknown_truth,,,,UNKNOWN,TARGET_UNKNOWN_SENSOR,,
WIN-6ffb2395ec000874b64c,target,RAWFILE-162,target_domain/train_bearing_a_to_p/A.mat,target_domain/train_bearing_a_to_p/A.mat,target_domain/train_bearing_a_to_p/A.mat,target_32khz,A,12000,78000,90000,6.5,7.5,32000,208000,240000,UNKNOWN_TRUTH,unknown_truth,,,,UNKNOWN,TARGET_UNKNOWN_SENSOR,,
WIN-deaa80fb3febe6c69b39,target,RAWFILE-162,target_domain/train_bearing_a_to_p/A.mat,target_domain/train_bearing_a_to_p/A.mat,target_domain/train_bearing_a_to_p/A.mat,target_32khz,A,12000,84000,96000,7.0,8.0,32000,224000,256000,UNKNOWN_TRUTH,unknown_truth,,,,UNKNOWN,TARGET_UNKNOWN_SENSOR,,
WIN-cef57c533ee704d59fc2,target,RAWFILE-163,target_domain/train_bearing_a_to_p/B.mat,target_domain/train_bearing_a_to_p/B.mat,target_domain/train_bearing_a_to_p/B.mat,target_32khz,B,12000,0,12000,0.0,1.0,32000,0,32000,UNKNOWN_TRUTH,unknown_truth,,,,UNKNOWN,TARGET_UNKNOWN_SENSOR,,
WIN-0980687a63fd5f606d5f,target,RAWFILE-163,target_domain/train_bearing_a_to_p/B.mat,target_domain/train_bearing_a_to_p/B.mat,target_domain/train_bearing_a_to_p/B.mat,target_32khz,B,12000,6000,18000,0.5,1.5,32000,16000,48000,UNKNOWN_TRUTH,unknown_truth,,,,UNKNOWN,TARGET_UNKNOWN_SENSOR,,
WIN-d7ea16df635342bf1d46,target,RAWFILE-163,target_domain/train_bearing_a_to_p/B.mat,target_domain/train_bearing_a_to_p/B.mat,target_domain/train_bearing_a_to_p/B.mat,target_32khz,B,12000,12000,24000,1.0,2.0,32000,32000,64000,UNKNOWN_TRUTH,unknown_truth,,,,UNKNOWN,TARGET_UNKNOWN_SENSOR,,
WIN-fcc4860a3ce8955019c9,target,RAWFILE-163,target_domain/train_bearing_a_to_p/B.mat,target_domain/train_bearing_a_to_p/B.mat,target_domain/train_bearing_a_to_p/B.mat,target_32khz,B,12000,18000,30000,1.5,2.5,32000,48000,80000,UNKNOWN_TRUTH,unknown_truth,,,,UNKNOWN,TARGET_UNKNOWN_SENSOR,,
WIN-030ac98569c550c11455,target,RAWFILE-163,target_domain/train_bearing_a_to_p/B.mat,target_domain/train_bearing_a_to_p/B.mat,target_domain/train_bearing_a_to_p/B.mat,target_32khz,B,12000,24000,36000,2.0,3.0,32000,64000,96000,UNKNOWN_TRUTH,unknown_truth,,,,UNKNOWN,TARGET_UNKNOWN_SENSOR,,
WIN-a0fbde7107e695355723,target,RAWFILE-163,target_domain/train_bearing_a_to_p/B.mat,target_domain/train_bearing_a_to_p/B.mat,target_domain/train_bearing_a_to_p/B.mat,target_32khz,B,12000,30000,42000,2.5,3.5,32000,80000,112000,UNKNOWN_TRUTH,unknown_truth,,,,UNKNOWN,TARGET_UNKNOWN_SENSOR,,
WIN-ec1173656173fd2843c7,target,RAWFILE-163,target_domain/train_bearing_a_to_p/B.mat,target_domain/train_bearing_a_to_p/B.mat,target_domain/train_bearing_a_to_p/B.mat,target_32khz,B,12000,36000,48000,3.0,4.0,32000,96000,128000,UNKNOWN_TRUTH,unknown_truth,,,,UNKNOWN,TARGET_UNKNOWN_SENSOR,,
WIN-d6f6a3ac7d4c2efae738,target,RAWFILE-163,target_domain/train_bearing_a_to_p/B.mat,target_domain/train_bearing_a_to_p/B.mat,target_domain/train_bearing_a_to_p/B.mat,target_32khz,B,12000,42000,54000,3.5,4.5,32000,112000,144000,UNKNOWN_TRUTH,unknown_truth,,,,UNKNOWN,TARGET_UNKNOWN_SENSOR,,
WIN-9366616c98915af2be48,target,RAWFILE-163,target_domain/train_bearing_a_to_p/B.mat,target_domain/train_bearing_a_to_p/B.mat,target_domain/train_bearing_a_to_p/B.mat,target_32khz,B,12000,48000,60000,4.0,5.0,32000,128000,160000,UNKNOWN_TRUTH,unknown_truth,,,,UNKNOWN,TARGET_UNKNOWN_SENSOR,,
WIN-af16ec8f9339da146c04,target,RAWFILE-163,target_domain/train_bearing_a_to_p/B.mat,target_domain/train_bearing_a_to_p/B.mat,target_domain/train_bearing_a_to_p/B.mat,target_32khz,B,12000,54000,66000,4.5,5.5,32000,144000,176000,UNKNOWN_TRUTH,unknown_truth,,,,UNKNOWN,TARGET_UNKNOWN_SENSOR,,
