level,outer_fold,inner_fold,role,groups,OR,IR,B,N
outer,0,-1,train_pool,36,15,9,9,3
outer,0,-1,test,13,6,3,3,1
inner,0,0,train,24,10,6,6,2
inner,0,0,val,12,5,3,3,1
inner,0,0,outer_test,13,6,3,3,1
inner,0,1,train,24,10,6,6,2
inner,0,1,val,12,5,3,3,1
inner,0,1,outer_test,13,6,3,3,1
inner,0,2,train,24,10,6,6,2
inner,0,2,val,12,5,3,3,1
inner,0,2,outer_test,13,6,3,3,1
outer,1,-1,train_pool,37,16,9,9,3
outer,1,-1,test,12,5,3,3,1
inner,1,0,train,24,10,6,6,2
inner,1,0,val,13,6,3,3,1
inner,1,0,outer_test,12,5,3,3,1
inner,1,1,train,25,11,6,6,2
inner,1,1,val,12,5,3,3,1
inner,1,1,outer_test,12,5,3,3,1
inner,1,2,train,25,11,6,6,2
inner,1,2,val,12,5,3,3,1
inner,1,2,outer_test,12,5,3,3,1
outer,2,-1,train_pool,37,16,9,9,3
outer,2,-1,test,12,5,3,3,1
inner,2,0,train,24,10,6,6,2
inner,2,0,val,13,6,3,3,1
inner,2,0,outer_test,12,5,3,3,1
inner,2,1,train,25,11,6,6,2
inner,2,1,val,12,5,3,3,1
inner,2,1,outer_test,12,5,3,3,1
inner,2,2,train,25,11,6,6,2
inner,2,2,val,12,5,3,3,1
inner,2,2,outer_test,12,5,3,3,1
outer,3,-1,train_pool,37,16,9,9,3
outer,3,-1,test,12,5,3,3,1
inner,3,0,train,24,10,6,6,2
inner,3,0,val,13,6,3,3,1
inner,3,0,outer_test,12,5,3,3,1
inner,3,1,train,25,11,6,6,2
inner,3,1,val,12,5,3,3,1
inner,3,1,outer_test,12,5,3,3,1
inner,3,2,train,25,11,6,6,2
inner,3,2,val,12,5,3,3,1
inner,3,2,outer_test,12,5,3,3,1
