group_id,class_label,base_pred,final_pred,base_correct,final_correct
source_domain/cwru_12khz_fe/B007_0.mat,B,B,B,True,True
source_domain/cwru_12khz_fe/B007_3.mat,B,B,B,True,True
source_domain/cwru_12khz_fe/B014_0.mat,B,B,B,True,True
source_domain/cwru_12khz_fe/IR007_0.mat,IR,OR,IR,False,True
source_domain/cwru_12khz_fe/IR014_0.mat,IR,OR,IR,False,True
source_domain/cwru_12khz_fe/IR014_3.mat,IR,IR,IR,True,True
source_domain/cwru_12khz_fe/OR007@3_2.mat,OR,OR,OR,True,True
source_domain/cwru_12khz_fe/OR007@6_1.mat,OR,OR,OR,True,True
source_domain/cwru_12khz_fe/OR007@6_3.mat,OR,OR,OR,True,True
source_domain/cwru_12khz_fe/OR014@3_0.mat,OR,IR,OR,False,True
source_domain/cwru_12khz_fe/OR014@3_1.mat,OR,IR,IR,False,False
source_domain/cwru_12khz_fe/OR014@3_2.mat,OR,IR,OR,False,True
source_domain/cwru_48khz_normal/N_0.mat,N,OR,N,False,True
source_domain/cwru_12khz_fe/B014_3.mat,B,B,B,True,True
source_domain/cwru_12khz_fe/B021_2.mat,B,B,B,True,True
source_domain/cwru_12khz_fe/B021_3.mat,B,B,B,True,True
source_domain/cwru_12khz_fe/IR014_1.mat,IR,IR,IR,True,True
source_domain/cwru_12khz_fe/IR021_0.mat,IR,IR,IR,True,True
source_domain/cwru_12khz_fe/IR021_1.mat,IR,IR,IR,True,True
source_domain/cwru_12khz_fe/OR007@12_3.mat,OR,OR,OR,True,True
source_domain/cwru_12khz_fe/OR007@3_0.mat,OR,OR,OR,True,True
source_domain/cwru_12khz_fe/OR007@6_0.mat,OR,OR,OR,True,True
source_domain/cwru_12khz_fe/OR007@6_2.mat,OR,OR,OR,True,True
source_domain/cwru_12khz_fe/OR021@3_2.mat,OR,OR,B,True,False
source_domain/cwru_48khz_normal/N_2_(1750rpm).mat,N,N,N,True,True
source_domain/cwru_12khz_fe/B014_2.mat,B,B,B,True,True
source_domain/cwru_12khz_fe/B021_0.mat,B,B,B,True,True
source_domain/cwru_12khz_fe/B021_1.mat,B,B,B,True,True
source_domain/cwru_12khz_fe/IR007_2.mat,IR,IR,IR,True,True
source_domain/cwru_12khz_fe/IR014_2.mat,IR,IR,IR,True,True
source_domain/cwru_12khz_fe/IR021_2.mat,IR,IR,IR,True,True
source_domain/cwru_12khz_fe/OR007@3_3.mat,OR,IR,OR,False,True
source_domain/cwru_12khz_fe/OR014@3_3.mat,OR,OR,OR,True,True
source_domain/cwru_12khz_fe/OR021@3_1.mat,OR,IR,OR,False,True
source_domain/cwru_12khz_fe/OR021@3_3.mat,OR,IR,OR,False,True
source_domain/cwru_12khz_fe/OR021@6_0.mat,OR,OR,OR,True,True
source_domain/cwru_48khz_normal/N_3.mat,N,N,N,True,True
source_domain/cwru_12khz_fe/B007_1.mat,B,B,B,True,True
source_domain/cwru_12khz_fe/B007_2.mat,B,B,B,True,True
source_domain/cwru_12khz_fe/B014_1.mat,B,B,B,True,True
source_domain/cwru_12khz_fe/IR007_1.mat,IR,IR,IR,True,True
source_domain/cwru_12khz_fe/IR007_3.mat,IR,OR,IR,False,True
source_domain/cwru_12khz_fe/IR021_3.mat,IR,IR,IR,True,True
source_domain/cwru_12khz_fe/OR007@12_0.mat,OR,OR,OR,True,True
source_domain/cwru_12khz_fe/OR007@12_1.mat,OR,OR,OR,True,True
source_domain/cwru_12khz_fe/OR007@12_2.mat,OR,OR,OR,True,True
source_domain/cwru_12khz_fe/OR007@3_1.mat,OR,OR,OR,True,True
source_domain/cwru_12khz_fe/OR014@6_0.mat,OR,OR,OR,True,True
source_domain/cwru_48khz_normal/N_1_(1772rpm).mat,N,N,N,True,True
