outer_fold,group_id,model,median_ms,p95_ms,repeats,windows
0,source_domain/cwru_12khz_fe/B007_0.mat,H1_RF,7.15343400000279,9.20772859998493,200,15
0,source_domain/cwru_12khz_fe/B007_3.mat,H1_RF,7.278655000007461,7.511917100018195,200,15
0,source_domain/cwru_12khz_fe/B014_0.mat,H1_RF,7.269341500006021,7.526507949991412,200,15
0,source_domain/cwru_12khz_fe/IR007_0.mat,H1_RF,7.398776499996984,7.8979278000218756,200,15
0,source_domain/cwru_12khz_fe/IR014_0.mat,H1_RF,7.181384999995544,7.459486499995194,200,15
0,source_domain/cwru_12khz_fe/IR014_3.mat,H1_RF,7.355383000003712,7.622313349992282,200,15
0,source_domain/cwru_12khz_fe/OR007@3_2.mat,H1_RF,7.203836000016395,7.50203700000327,200,15
0,source_domain/cwru_12khz_fe/OR007@6_1.mat,H1_RF,7.398745499997972,7.74941520000425,200,15
0,source_domain/cwru_12khz_fe/OR007@6_3.mat,H1_RF,7.056211500014342,7.653871699996273,200,15
0,source_domain/cwru_12khz_fe/OR014@3_0.mat,H1_RF,7.276418000003559,7.611783849999654,200,15
0,source_domain/cwru_12khz_fe/OR014@3_1.mat,H1_RF,7.280514499996116,7.5552729999898816,200,19
0,source_domain/cwru_12khz_fe/OR014@3_2.mat,H1_RF,7.283916500000487,7.444995399994525,200,15
0,source_domain/cwru_48khz_normal/N_0.mat,H1_RF,7.206099499995844,7.417733150013817,200,9
1,source_domain/cwru_12khz_fe/B014_3.mat,H1_RF,7.330761999995161,7.539735600022368,200,15
1,source_domain/cwru_12khz_fe/B021_2.mat,H1_RF,7.401513999994336,7.707818050008086,200,15
1,source_domain/cwru_12khz_fe/B021_3.mat,H1_RF,7.38907250000409,7.7294933000061405,200,15
1,source_domain/cwru_12khz_fe/IR014_1.mat,H1_RF,7.332976000000713,7.853667499996674,200,15
1,source_domain/cwru_12khz_fe/IR021_0.mat,H1_RF,7.377287500005991,7.635218399987309,200,15
1,source_domain/cwru_12khz_fe/IR021_1.mat,H1_RF,7.236294500003737,7.4690532500127915,200,15
1,source_domain/cwru_12khz_fe/OR007@12_3.mat,H1_RF,7.2679575000051955,7.5897268999923995,200,15
1,source_domain/cwru_12khz_fe/OR007@3_0.mat,H1_RF,7.247606999996492,7.6381615000059355,200,15
1,source_domain/cwru_12khz_fe/OR007@6_0.mat,H1_RF,7.287607000009189,7.522189950000779,200,15
1,source_domain/cwru_12khz_fe/OR007@6_2.mat,H1_RF,7.303155500011371,7.605656950011053,200,15
1,source_domain/cwru_12khz_fe/OR021@3_2.mat,H1_RF,7.430087000003027,7.626037999985158,200,15
1,source_domain/cwru_48khz_normal/N_2_(1750rpm).mat,H1_RF,7.272599499998478,7.451057649981863,200,15
2,source_domain/cwru_12khz_fe/B014_2.mat,H1_RF,7.322276000010675,7.700426100002744,200,15
2,source_domain/cwru_12khz_fe/B021_0.mat,H1_RF,7.287658999985069,7.57387994998453,200,15
2,source_domain/cwru_12khz_fe/B021_1.mat,H1_RF,7.291369499995426,7.484715350015847,200,15
2,source_domain/cwru_12khz_fe/IR007_2.mat,H1_RF,7.286657500017668,7.717333599995868,200,15
2,source_domain/cwru_12khz_fe/IR014_2.mat,H1_RF,7.278640500004485,7.519089299995584,200,15
2,source_domain/cwru_12khz_fe/IR021_2.mat,H1_RF,7.251638499994328,7.565426749988546,200,15
2,source_domain/cwru_12khz_fe/OR007@3_3.mat,H1_RF,7.245369500012089,7.637586099997407,200,15
2,source_domain/cwru_12khz_fe/OR014@3_3.mat,H1_RF,7.170992499979434,7.332882199985135,200,15
2,source_domain/cwru_12khz_fe/OR021@3_1.mat,H1_RF,7.283341000032806,7.470403549996263,200,15
2,source_domain/cwru_12khz_fe/OR021@3_3.mat,H1_RF,7.2694999999782794,7.5940967499946055,200,15
2,source_domain/cwru_12khz_fe/OR021@6_0.mat,H1_RF,7.229167500014455,7.49461100000417,200,15
2,source_domain/cwru_48khz_normal/N_3.mat,H1_RF,7.15865050000275,7.327285350007173,200,15
3,source_domain/cwru_12khz_fe/B007_1.mat,H1_RF,7.337230499985026,7.687549300001706,200,15
3,source_domain/cwru_12khz_fe/B007_2.mat,H1_RF,7.268927499978872,7.475924999994277,200,15
3,source_domain/cwru_12khz_fe/B014_1.mat,H1_RF,7.469189000005372,8.063087299970562,200,15
3,source_domain/cwru_12khz_fe/IR007_1.mat,H1_RF,7.420964000004915,7.712881899996659,200,15
3,source_domain/cwru_12khz_fe/IR007_3.mat,H1_RF,7.405135999988488,8.148382499990701,200,15
3,source_domain/cwru_12khz_fe/IR021_3.mat,H1_RF,7.3701020000100925,7.7161645499927545,200,15
3,source_domain/cwru_12khz_fe/OR007@12_0.mat,H1_RF,7.391194500030451,7.771139299981654,200,15
3,source_domain/cwru_12khz_fe/OR007@12_1.mat,H1_RF,7.212620500013145,7.605710149999821,200,15
3,source_domain/cwru_12khz_fe/OR007@12_2.mat,H1_RF,7.270046999991564,7.438441549990671,200,15
3,source_domain/cwru_12khz_fe/OR007@3_1.mat,H1_RF,7.326787499977172,7.544440899957294,200,15
3,source_domain/cwru_12khz_fe/OR014@6_0.mat,H1_RF,7.367373500017038,9.880299400012385,200,15
3,source_domain/cwru_48khz_normal/N_1_(1772rpm).mat,H1_RF,7.242184999995516,7.45521364999604,200,15
