outer_fold,inner_fold,max_depth,weighting,file_macro_f1,recall_OR,recall_IR,recall_B,recall_N,train_time_s
0,0,8,file_balanced,1.0,1.0,1.0,1.0,1.0,0.2580442770000104
0,1,8,file_balanced,1.0,1.0,1.0,1.0,1.0,0.24278799699999354
0,2,8,file_balanced,0.875,0.6,1.0,1.0,1.0,0.24115061899999546
0,0,8,file_and_class_balanced,1.0,1.0,1.0,1.0,1.0,0.24444683999999484
0,1,8,file_and_class_balanced,1.0,1.0,1.0,1.0,1.0,0.2376224969999896
0,2,8,file_and_class_balanced,0.875,0.6,1.0,1.0,1.0,0.24225924999998938
0,0,16,file_balanced,1.0,1.0,1.0,1.0,1.0,0.24123372299999346
0,1,16,file_balanced,1.0,1.0,1.0,1.0,1.0,0.2437559869999859
0,2,16,file_balanced,0.875,0.6,1.0,1.0,1.0,0.24243280199999617
0,0,16,file_and_class_balanced,1.0,1.0,1.0,1.0,1.0,0.23278437100000815
0,1,16,file_and_class_balanced,1.0,1.0,1.0,1.0,1.0,0.23911316600000987
0,2,16,file_and_class_balanced,0.875,0.6,1.0,1.0,1.0,0.23967612399999894
0,0,None,file_balanced,1.0,1.0,1.0,1.0,1.0,0.235546056000004
0,1,None,file_balanced,1.0,1.0,1.0,1.0,1.0,0.24122515999999905
0,2,None,file_balanced,0.875,0.6,1.0,1.0,1.0,0.24229883000000996
0,0,None,file_and_class_balanced,1.0,1.0,1.0,1.0,1.0,0.23545435799999836
0,1,None,file_and_class_balanced,1.0,1.0,1.0,1.0,1.0,0.23772351899998512
0,2,None,file_and_class_balanced,0.875,0.6,1.0,1.0,1.0,0.2413006390000021
1,0,8,file_balanced,0.8726190476190476,0.8333333333333334,0.6666666666666666,1.0,1.0,0.23596739699999603
1,1,8,file_balanced,0.7125,0.6,0.3333333333333333,1.0,1.0,0.2490071389999855
1,2,8,file_balanced,1.0,1.0,1.0,1.0,1.0,0.24594539199998167
1,0,8,file_and_class_balanced,0.8193181818181818,0.6666666666666666,0.6666666666666666,1.0,1.0,0.22953751200000738
1,1,8,file_and_class_balanced,0.8642857142857143,0.8,0.6666666666666666,1.0,1.0,0.2476095609999902
1,2,8,file_and_class_balanced,1.0,1.0,1.0,1.0,1.0,0.23797654699998816
1,0,16,file_balanced,0.8726190476190476,0.8333333333333334,0.6666666666666666,1.0,1.0,0.22939648900000975
1,1,16,file_balanced,0.7125,0.6,0.3333333333333333,1.0,1.0,0.2499728950000133
1,2,16,file_balanced,1.0,1.0,1.0,1.0,1.0,0.24698125400001913
1,0,16,file_and_class_balanced,0.8193181818181818,0.6666666666666666,0.6666666666666666,1.0,1.0,0.22887112700001921
1,1,16,file_and_class_balanced,0.8642857142857143,0.8,0.6666666666666666,1.0,1.0,0.2434564899999998
1,2,16,file_and_class_balanced,1.0,1.0,1.0,1.0,1.0,0.2363794389999896
1,0,None,file_balanced,0.8726190476190476,0.8333333333333334,0.6666666666666666,1.0,1.0,0.2336161519999962
1,1,None,file_balanced,0.7125,0.6,0.3333333333333333,1.0,1.0,0.25217659800000547
1,2,None,file_balanced,1.0,1.0,1.0,1.0,1.0,0.24173928099997966
