outer_fold,inner_fold,base_macro_f1,H2_macro_f1,delta,H2_feature_count
0,0,0.9365079365079364,0.9365079365079365,1.1102230246251565e-16,19
0,1,0.8666666666666667,0.8666666666666667,0.0,19
0,2,0.9365079365079364,0.9365079365079365,1.1102230246251565e-16,19
1,0,0.775,0.775,0.0,20
1,1,0.3142857142857143,0.3142857142857143,0.0,19
1,2,0.9365079365079364,0.7984848484848486,-0.13802308802308783,19
2,0,0.9415584415584416,0.8875,-0.05405844155844164,20
2,1,0.8095238095238095,0.8095238095238095,0.0,20
2,2,0.7142857142857143,0.7142857142857143,0.0,19
3,0,0.8246753246753247,0.8246753246753247,0.0,20
3,1,0.8333333333333334,0.8333333333333334,0.0,19
3,2,0.5151515151515151,0.5583333333333333,0.04318181818181821,20
