target_id,group_id,distance_to_OR,distance_to_IR,distance_to_B,distance_to_N,nearest_source_class_centroid,second_nearest_source_class_centroid,centroid_distance_margin,nearest_distance_over_source_class_p95_radius,inside_nearest_source_class_p95_radius,no_transfer_pred_label,model_centroid_agree,truth_status
A,target_domain/train_bearing_a_to_p/A.mat,8.300407029647431,8.406990159258427,8.50386004939817,8.77652166911285,OR,IR,0.10658312961099625,4.9579283850874925,False,OR,True,unknown
B,target_domain/train_bearing_a_to_p/B.mat,3.2109626603067003,3.1697756102281898,3.278997805058688,3.4161581774467358,IR,OR,0.041187050078510534,4.1226132490386505,False,B,False,unknown
C,target_domain/train_bearing_a_to_p/C.mat,35.4368420697519,35.63061215056146,35.64421319696714,36.08274676643528,OR,IR,0.19377008080956415,21.166832487604925,False,B,False,unknown
D,target_domain/train_bearing_a_to_p/D.mat,12.674848252394371,12.829154787905095,12.926231245563953,13.293339886653602,OR,IR,0.15430653551072382,7.570832334217698,False,B,False,unknown
E,target_domain/train_bearing_a_to_p/E.mat,24.34023591761878,24.531397992001732,24.509640166074206,24.992943362744825,OR,B,0.16940424845542523,14.538702273834657,False,B,False,unknown
F,target_domain/train_bearing_a_to_p/F.mat,11.269170892431001,11.369078948206534,11.480325499048622,11.726665724229369,OR,IR,0.09990805577553274,6.731205113727854,False,OR,True,unknown
G,target_domain/train_bearing_a_to_p/G.mat,3.3627083572150025,3.3722121608974316,3.468947694772661,3.6203677576086988,OR,IR,0.00950380368242909,2.0085842965842313,False,B,False,unknown
H,target_domain/train_bearing_a_to_p/H.mat,16.830849885383135,17.019934574103587,17.13422243969466,17.47735602249822,OR,IR,0.18908468872045248,10.053259809288182,False,OR,True,unknown
I,target_domain/train_bearing_a_to_p/I.mat,39.915827086843464,40.11601523547674,40.136371217435816,40.57881012037514,OR,IR,0.2001881486332735,23.842181644977888,False,B,False,unknown
J,target_domain/train_bearing_a_to_p/J.mat,37.87526698642744,38.071248472183775,38.062763702248446,38.522990811547686,OR,B,0.18749671582100547,22.62333167687466,False,B,False,unknown
K,target_domain/train_bearing_a_to_p/K.mat,18.80283446885972,18.991171979766108,19.118319886739883,19.429042457736266,OR,IR,0.18833751090638629,11.23114883406156,False,OR,True,unknown
L,target_domain/train_bearing_a_to_p/L.mat,3.4911187577208183,3.4622554253389084,3.559247418636789,3.74829760035035,IR,OR,0.028863332381909856,4.503012781725136,False,B,False,unknown
M,target_domain/train_bearing_a_to_p/M.mat,18.92636347782748,19.119585237085847,19.23909796846018,19.57033264971329,OR,IR,0.1932217592583676,11.304934128897758,False,OR,True,unknown
N,target_domain/train_bearing_a_to_p/N.mat,14.605046347855458,14.789669878459325,14.815081961768813,15.268595502065637,OR,IR,0.18462353060386683,8.723761810103271,False,OR,True,unknown
O,target_domain/train_bearing_a_to_p/O.mat,3.658846296026708,3.644244443660058,3.7575109518822742,3.766048001469881,IR,OR,0.014601852366650014,4.739707876383997,False,B,False,unknown
P,target_domain/train_bearing_a_to_p/P.mat,13.004803507615454,13.164987216320263,13.28290558334592,13.642825701455982,OR,IR,0.16018370870480858,7.767918395157397,False,B,False,unknown
