pseudo_target_load,split_role,method,alpha,adaptation_uses_target_labels,macro_f1,accuracy,min_class_recall,recall,confusion_matrix,file_count
0,tuning,A0_no_transfer,0.0,False,0.9307692307692308,0.9230769230769231,0.6666666666666666,"{'OR': 1.0, 'IR': 0.6666666666666666, 'B': 1.0, 'N': 1.0}","[[6, 0, 0, 0], [1, 2, 0, 0], [0, 0, 3, 0], [0, 0, 0, 1]]",13
0,tuning,T1_shrink_moment,0.25,False,0.9307692307692308,0.9230769230769231,0.6666666666666666,"{'OR': 1.0, 'IR': 0.6666666666666666, 'B': 1.0, 'N': 1.0}","[[6, 0, 0, 0], [1, 2, 0, 0], [0, 0, 3, 0], [0, 0, 0, 1]]",13
0,tuning,T1_shrink_moment,0.5,False,0.9307692307692308,0.9230769230769231,0.6666666666666666,"{'OR': 1.0, 'IR': 0.6666666666666666, 'B': 1.0, 'N': 1.0}","[[6, 0, 0, 0], [1, 2, 0, 0], [0, 0, 3, 0], [0, 0, 0, 1]]",13
0,tuning,T1_shrink_moment,0.75,False,0.5178571428571429,0.6923076923076923,0.0,"{'OR': 0.8333333333333334, 'IR': 0.3333333333333333, 'B': 1.0, 'N': 0.0}","[[5, 0, 1, 0], [2, 1, 0, 0], [0, 0, 3, 0], [1, 0, 0, 0]]",13
0,tuning,T1_shrink_moment,1.0,False,0.46634615384615385,0.6153846153846154,0.0,"{'OR': 0.6666666666666666, 'IR': 0.3333333333333333, 'B': 1.0, 'N': 0.0}","[[4, 0, 2, 0], [2, 1, 0, 0], [0, 0, 3, 0], [1, 0, 0, 0]]",13
1,tuning,A0_no_transfer,0.0,False,0.9365079365079365,0.9166666666666666,0.8,"{'OR': 0.8, 'IR': 1.0, 'B': 1.0, 'N': 1.0}","[[4, 1, 0, 0], [0, 3, 0, 0], [0, 0, 3, 0], [0, 0, 0, 1]]",12
1,tuning,T1_shrink_moment,0.25,False,0.9365079365079365,0.9166666666666666,0.8,"{'OR': 0.8, 'IR': 1.0, 'B': 1.0, 'N': 1.0}","[[4, 1, 0, 0], [0, 3, 0, 0], [0, 0, 3, 0], [0, 0, 0, 1]]",12
1,tuning,T1_shrink_moment,0.5,False,0.8888888888888888,0.9166666666666666,0.8,"{'OR': 0.8, 'IR': 1.0, 'B': 1.0, 'N': 1.0}","[[4, 0, 0, 1], [0, 3, 0, 0], [0, 0, 3, 0], [0, 0, 0, 1]]",12
1,tuning,T1_shrink_moment,0.75,False,0.8888888888888888,0.9166666666666666,0.8,"{'OR': 0.8, 'IR': 1.0, 'B': 1.0, 'N': 1.0}","[[4, 0, 0, 1], [0, 3, 0, 0], [0, 0, 3, 0], [0, 0, 0, 1]]",12
1,tuning,T1_shrink_moment,1.0,False,0.7250000000000001,0.75,0.6666666666666666,"{'OR': 0.8, 'IR': 0.6666666666666666, 'B': 0.6666666666666666, 'N': 1.0}","[[4, 0, 0, 1], [1, 2, 0, 0], [0, 0, 2, 1], [0, 0, 0, 1]]",12
2,tuning,A0_no_transfer,0.0,False,0.9365079365079365,0.9166666666666666,0.8,"{'OR': 0.8, 'IR': 1.0, 'B': 1.0, 'N': 1.0}","[[4, 0, 1, 0], [0, 3, 0, 0], [0, 0, 3, 0], [0, 0, 0, 1]]",12
2,tuning,T1_shrink_moment,0.25,False,0.9365079365079365,0.9166666666666666,0.8,"{'OR': 0.8, 'IR': 1.0, 'B': 1.0, 'N': 1.0}","[[4, 0, 1, 0], [0, 3, 0, 0], [0, 0, 3, 0], [0, 0, 0, 1]]",12
2,tuning,T1_shrink_moment,0.5,False,0.9365079365079365,0.9166666666666666,0.8,"{'OR': 0.8, 'IR': 1.0, 'B': 1.0, 'N': 1.0}","[[4, 0, 1, 0], [0, 3, 0, 0], [0, 0, 3, 0], [0, 0, 0, 1]]",12
2,tuning,T1_shrink_moment,0.75,False,0.6416666666666666,0.6666666666666666,0.3333333333333333,"{'OR': 0.6, 'IR': 1.0, 'B': 0.3333333333333333, 'N': 1.0}","[[3, 0, 1, 1], [0, 3, 0, 0], [1, 0, 1, 1], [0, 0, 0, 1]]",12
2,tuning,T1_shrink_moment,1.0,False,0.6416666666666666,0.6666666666666666,0.3333333333333333,"{'OR': 0.6, 'IR': 1.0, 'B': 0.3333333333333333, 'N': 1.0}","[[3, 0, 1, 1], [0, 3, 0, 0], [1, 0, 1, 1], [0, 0, 0, 1]]",12
3,final_validation,A0_no_transfer,0.0,False,1.0,1.0,1.0,"{'OR': 1.0, 'IR': 1.0, 'B': 1.0, 'N': 1.0}","[[5, 0, 0, 0], [0, 3, 0, 0], [0, 0, 3, 0], [0, 0, 0, 1]]",12
3,final_validation,T1_shrink_moment,0.25,False,1.0,1.0,1.0,"{'OR': 1.0, 'IR': 1.0, 'B': 1.0, 'N': 1.0}","[[5, 0, 0, 0], [0, 3, 0, 0], [0, 0, 3, 0], [0, 0, 0, 1]]",12
