target_id,group_id,truth_status,window_count,score_OR,score_IR,score_B,score_N,pred_label,top_model_score,score_margin,score_entropy_norm,window_file_agreement
A,target_domain/train_bearing_a_to_p/A.mat,unknown,15,0.6058800549710871,0.04548484848484849,0.3388573187662865,0.009777777777777778,OR,0.6058800549710871,0.2670227362048006,0.6175506192664855,1.0
B,target_domain/train_bearing_a_to_p/B.mat,unknown,15,0.3445071173271173,0.043500973840973844,0.5606585754985755,0.051333333333333335,B,0.5606585754985755,0.21615145817145814,0.7071703704332719,1.0
C,target_domain/train_bearing_a_to_p/C.mat,unknown,15,0.44933333333333336,0.07066666666666667,0.48000000000000004,0.0,B,0.48000000000000004,0.030666666666666675,0.6485049193590803,0.4666666666666667
D,target_domain/train_bearing_a_to_p/D.mat,unknown,15,0.4461261626612503,0.06528541828541828,0.4685884190533313,0.02,B,0.4685884190533313,0.022462256392080993,0.7009334416832615,0.8
E,target_domain/train_bearing_a_to_p/E.mat,unknown,15,0.4504444444444445,0.04844444444444444,0.5011111111111111,0.0,B,0.5011111111111111,0.05066666666666658,0.6146802681577201,1.0
F,target_domain/train_bearing_a_to_p/F.mat,unknown,15,0.5695301597524793,0.053524734524734524,0.3660562168338973,0.010888888888888889,OR,0.5695301597524793,0.20347394291858206,0.6451773882703329,1.0
G,target_domain/train_bearing_a_to_p/G.mat,unknown,15,0.3407364206164206,0.04068169904169904,0.559248547008547,0.059333333333333335,B,0.559248547008547,0.21851212639212636,0.7139320476735344,1.0
H,target_domain/train_bearing_a_to_p/H.mat,unknown,15,0.7229557065283632,0.051864060159192336,0.218735788868,0.0064444444444444445,OR,0.7229557065283632,0.5042199176603632,0.5431518259310828,1.0
I,target_domain/train_bearing_a_to_p/I.mat,unknown,15,0.3804444444444444,0.06488888888888888,0.5546666666666666,0.0,B,0.5546666666666666,0.17422222222222222,0.629056399717568,1.0
J,target_domain/train_bearing_a_to_p/J.mat,unknown,15,0.41644444444444445,0.06244444444444444,0.5211111111111111,0.0,B,0.5211111111111111,0.10466666666666663,0.6330910833261286,0.8
K,target_domain/train_bearing_a_to_p/K.mat,unknown,15,0.7134149277075035,0.05755555555555556,0.221029516736941,0.008,OR,0.7134149277075035,0.4923854109705625,0.5608458632432259,1.0
L,target_domain/train_bearing_a_to_p/L.mat,unknown,15,0.37563359156113546,0.043111144781144785,0.5372552636577198,0.044000000000000004,B,0.5372552636577198,0.16162167209658435,0.70299822814414,1.0
M,target_domain/train_bearing_a_to_p/M.mat,unknown,15,0.7281153154862193,0.043555555555555556,0.22188468451378057,0.006444444444444445,OR,0.7281153154862193,0.5062306309724387,0.5295390862760905,1.0
N,target_domain/train_bearing_a_to_p/N.mat,unknown,15,0.4770938951652766,0.06801679772594264,0.45377819599766966,0.0011111111111111111,OR,0.4770938951652766,0.02331569916760695,0.6506614359546404,0.4
O,target_domain/train_bearing_a_to_p/O.mat,unknown,15,0.32227518518518516,0.03821888888888889,0.5619503703703704,0.07755555555555556,B,0.5619503703703704,0.23967518518518527,0.7299007604736091,1.0
P,target_domain/train_bearing_a_to_p/P.mat,unknown,15,0.4432341898517337,0.0632968142968143,0.47324677362922973,0.02022222222222222,B,0.47324677362922973,0.03001258377749605,0.6984628786045892,0.8
