target_id,A0_pred,A0_top_score,A0_margin,A0_score_entropy,transfer_pred,transfer_top_score,transfer_margin,transfer_score_entropy,label_changed
A,OR,0.6058800549710871,0.2670227362048006,0.6175506192664855,OR,0.646649405569338,0.35411699295685795,0.6071265581481449,False
B,B,0.5606585754985755,0.21615145817145814,0.7071703704332719,B,0.5395688800088799,0.17333389055389048,0.7129951348071691,False
C,B,0.48000000000000004,0.030666666666666675,0.6485049193590803,OR,0.48444444444444446,0.04688888888888887,0.6576858595471716,True
D,B,0.4685884190533313,0.022462256392080993,0.7009334416832615,OR,0.4543644774328985,0.005407017543859638,0.7159534027872555,True
E,B,0.5011111111111111,0.05066666666666658,0.6146802681577201,B,0.48177777777777775,0.012888888888888894,0.6170494194756342,False
F,OR,0.5695301597524793,0.20347394291858206,0.6451773882703329,OR,0.6292316704977636,0.3310706966028829,0.6316413723513649,False
G,B,0.559248547008547,0.21851212639212636,0.7139320476735344,B,0.5406836304436304,0.1776980145780146,0.7153500754451214,False
H,OR,0.7229557065283632,0.5042199176603632,0.5431518259310828,OR,0.7398812790820155,0.5522709010906638,0.5386447714658534,False
I,B,0.5546666666666666,0.17422222222222222,0.629056399717568,B,0.5399999999999999,0.14733333333333326,0.6358498756485114,False
J,B,0.5211111111111111,0.10466666666666663,0.6330910833261286,B,0.4895555555555556,0.04600000000000004,0.6428397512901111,False
K,OR,0.7134149277075035,0.4923854109705625,0.5608458632432259,OR,0.7222155813022746,0.5857644959378826,0.5954500266158487,False
L,B,0.5372552636577198,0.16162167209658435,0.70299822814414,B,0.48493469931913946,0.055208463647343886,0.7091529069259866,False
M,OR,0.7281153154862193,0.5062306309724387,0.5295390862760905,OR,0.6954551847672652,0.5208764712294456,0.6221604745212135,False
N,OR,0.4770938951652766,0.02331569916760695,0.6506614359546404,OR,0.5109938371449287,0.09267113868246674,0.652677623688122,False
O,B,0.5619503703703704,0.23967518518518527,0.7299007604736091,B,0.5663567195767195,0.24359899470899465,0.7229839183553464,False
P,B,0.47324677362922973,0.03001258377749605,0.6984628786045892,B,0.48905921427500376,0.07412982456140355,0.712917855160121,False
