load,seed,method,setting,macro_f1,accuracy,min_class_recall,recall_OR,recall_IR,recall_B,recall_N,confusion_matrix,file_count,pred_count_OR,pred_count_IR,pred_count_B,pred_count_N,predicted_class_count,max_class_share,hard_class_entropy_norm
0,20260919,A0,0,0.9307692307692308,0.9230769230769231,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,"[[6, 0, 0, 0], [1, 2, 0, 0], [0, 0, 3, 0], [0, 0, 0, 1]]",13,7,2,3,1,4,0.5384615384615384,0.8345901684333654
0,20260919,T1,0.25,0.9307692307692308,0.9230769230769231,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,"[[6, 0, 0, 0], [1, 2, 0, 0], [0, 0, 3, 0], [0, 0, 0, 1]]",13,7,2,3,1,4,0.5384615384615384,0.8345901684333654
0,20260919,T2,0.01,0.40340909090909094,0.46153846153846156,0.0,0.3333333333333333,0.3333333333333333,1.0,0.0,"[[2, 0, 2, 2], [2, 1, 0, 0], [0, 0, 3, 0], [1, 0, 0, 0]]",13,5,1,5,2,4,0.38461538461538464,0.880247514883099
0,20260919,T2,0.1,0.40340909090909094,0.46153846153846156,0.0,0.3333333333333333,0.3333333333333333,1.0,0.0,"[[2, 0, 2, 2], [2, 1, 0, 0], [0, 0, 3, 0], [1, 0, 0, 0]]",13,5,1,5,2,4,0.38461538461538464,0.880247514883099
0,20260919,T2,1,0.40340909090909094,0.46153846153846156,0.0,0.3333333333333333,0.3333333333333333,1.0,0.0,"[[2, 0, 2, 2], [2, 1, 0, 0], [0, 0, 3, 0], [1, 0, 0, 0]]",13,5,1,5,2,4,0.38461538461538464,0.880247514883099
0,20260919,T3,2,0.9307692307692308,0.9230769230769231,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,"[[6, 0, 0, 0], [1, 2, 0, 0], [0, 0, 3, 0], [0, 0, 0, 1]]",13,7,2,3,1,4,0.5384615384615384,0.8345901684333654
0,20260919,T3,5,0.9307692307692308,0.9230769230769231,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,"[[6, 0, 0, 0], [1, 2, 0, 0], [0, 0, 3, 0], [0, 0, 0, 1]]",13,7,2,3,1,4,0.5384615384615384,0.8345901684333654
1,20260919,A0,0,0.9365079365079365,0.9166666666666666,0.8,0.8,1.0,1.0,1.0,"[[4, 1, 0, 0], [0, 3, 0, 0], [0, 0, 3, 0], [0, 0, 0, 1]]",12,4,4,3,1,4,0.3333333333333333,0.9276942711037669
1,20260919,T1,0.25,0.9365079365079365,0.9166666666666666,0.8,0.8,1.0,1.0,1.0,"[[4, 1, 0, 0], [0, 3, 0, 0], [0, 0, 3, 0], [0, 0, 0, 1]]",12,4,4,3,1,4,0.3333333333333333,0.9276942711037669
1,20260919,T2,0.01,0.7234848484848485,0.75,0.3333333333333333,0.8,0.3333333333333333,1.0,1.0,"[[4, 0, 0, 1], [2, 1, 0, 0], [0, 0, 3, 0], [0, 0, 0, 1]]",12,6,1,3,2,4,0.5,0.8647869792568111
1,20260919,T2,0.1,0.5211038961038961,0.6666666666666666,0.0,0.8,0.3333333333333333,1.0,0.0,"[[4, 0, 0, 1], [2, 1, 0, 0], [0, 0, 3, 0], [0, 0, 1, 0]]",12,6,1,4,1,4,0.5,0.8129072918469556
1,20260919,T2,1,0.9272727272727272,0.9166666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,"[[5, 0, 0, 0], [1, 2, 0, 0], [0, 0, 3, 0], [0, 0, 0, 1]]",12,6,2,3,1,4,0.5,0.8647869792568114
1,20260919,T3,2,0.9365079365079365,0.9166666666666666,0.8,0.8,1.0,1.0,1.0,"[[4, 1, 0, 0], [0, 3, 0, 0], [0, 0, 3, 0], [0, 0, 0, 1]]",12,4,4,3,1,4,0.3333333333333333,0.9276942711037669
1,20260919,T3,5,0.9365079365079365,0.9166666666666666,0.8,0.8,1.0,1.0,1.0,"[[4, 1, 0, 0], [0, 3, 0, 0], [0, 0, 3, 0], [0, 0, 0, 1]]",12,4,4,3,1,4,0.3333333333333333,0.9276942711037669
2,20260919,A0,0,0.9365079365079365,0.9166666666666666,0.8,0.8,1.0,1.0,1.0,"[[4, 0, 1, 0], [0, 3, 0, 0], [0, 0, 3, 0], [0, 0, 0, 1]]",12,4,3,4,1,4,0.3333333333333333,0.9276942711037669
2,20260919,T1,0.25,0.9365079365079365,0.9166666666666666,0.8,0.8,1.0,1.0,1.0,"[[4, 0, 1, 0], [0, 3, 0, 0], [0, 0, 3, 0], [0, 0, 0, 1]]",12,4,3,4,1,4,0.3333333333333333,0.9276942711037669
2,20260919,T2,0.01,0.7928571428571429,0.75,0.6666666666666666,0.8,0.6666666666666666,0.6666666666666666,1.0,"[[4, 0, 1, 0], [0, 2, 1, 0], [1, 0, 2, 0], [0, 0, 0, 1]]",12,5,2,4,1,4,0.4166666666666667,0.8920795639257109
2,20260919,T2,0.1,0.7928571428571429,0.75,0.6666666666666666,0.8,0.6666666666666666,0.6666666666666666,1.0,"[[4, 0, 1, 0], [0, 2, 1, 0], [1, 0, 2, 0], [0, 0, 0, 1]]",12,5,2,4,1,4,0.4166666666666667,0.8920795639257109
2,20260919,T2,1,0.7928571428571429,0.75,0.6666666666666666,0.8,0.6666666666666666,0.6666666666666666,1.0,"[[4, 0, 1, 0], [0, 2, 1, 0], [1, 0, 2, 0], [0, 0, 0, 1]]",12,5,2,4,1,4,0.4166666666666667,0.8920795639257109
2,20260919,T3,2,0.9365079365079365,0.9166666666666666,0.8,0.8,1.0,1.0,1.0,"[[4, 0, 1, 0], [0, 3, 0, 0], [0, 0, 3, 0], [0, 0, 0, 1]]",12,4,3,4,1,4,0.3333333333333333,0.9276942711037669
2,20260919,T3,5,0.9365079365079365,0.9166666666666666,0.8,0.8,1.0,1.0,1.0,"[[4, 0, 1, 0], [0, 3, 0, 0], [0, 0, 3, 0], [0, 0, 0, 1]]",12,4,3,4,1,4,0.3333333333333333,0.9276942711037669
