target_id,alpha,aggregation,pred_label
A,0.2,majority,OR
A,0.2,mean,OR
A,0.2,median,OR
A,0.25,majority,OR
A,0.25,mean,OR
A,0.25,median,OR
A,0.3,majority,OR
A,0.3,mean,OR
A,0.3,median,OR
B,0.2,majority,B
B,0.2,mean,B
B,0.2,median,B
B,0.25,majority,B
B,0.25,mean,B
B,0.25,median,B
B,0.3,majority,B
B,0.3,mean,B
B,0.3,median,B
C,0.2,majority,OR
C,0.2,mean,OR
C,0.2,median,OR
C,0.25,majority,OR
C,0.25,mean,OR
C,0.25,median,OR
C,0.3,majority,OR
C,0.3,mean,OR
C,0.3,median,OR
D,0.2,majority,OR
D,0.2,mean,OR
D,0.2,median,OR
D,0.25,majority,B
D,0.25,mean,OR
D,0.25,median,B
D,0.3,majority,B
D,0.3,mean,B
D,0.3,median,B
E,0.2,majority,B
E,0.2,mean,B
E,0.2,median,B
E,0.25,majority,B
E,0.25,mean,B
E,0.25,median,B
E,0.3,majority,B
E,0.3,mean,B
E,0.3,median,B
F,0.2,majority,OR
F,0.2,mean,OR
F,0.2,median,OR
F,0.25,majority,OR
F,0.25,mean,OR
F,0.25,median,OR
F,0.3,majority,OR
F,0.3,mean,OR
F,0.3,median,OR
G,0.2,majority,B
G,0.2,mean,B
G,0.2,median,B
G,0.25,majority,B
G,0.25,mean,B
G,0.25,median,B
G,0.3,majority,B
G,0.3,mean,B
G,0.3,median,B
H,0.2,majority,OR
H,0.2,mean,OR
H,0.2,median,OR
H,0.25,majority,OR
H,0.25,mean,OR
H,0.25,median,OR
H,0.3,majority,OR
H,0.3,mean,OR
H,0.3,median,OR
I,0.2,majority,B
I,0.2,mean,B
I,0.2,median,B
I,0.25,majority,B
I,0.25,mean,B
I,0.25,median,B
I,0.3,majority,B
I,0.3,mean,B
I,0.3,median,B
J,0.2,majority,B
J,0.2,mean,B
J,0.2,median,B
J,0.25,majority,B
J,0.25,mean,B
J,0.25,median,B
J,0.3,majority,B
J,0.3,mean,B
J,0.3,median,B
K,0.2,majority,OR
K,0.2,mean,OR
K,0.2,median,OR
K,0.25,majority,OR
K,0.25,mean,OR
K,0.25,median,OR
K,0.3,majority,OR
K,0.3,mean,OR
K,0.3,median,OR
L,0.2,majority,B
L,0.2,mean,B
L,0.2,median,B
L,0.25,majority,B
L,0.25,mean,B
L,0.25,median,B
L,0.3,majority,B
L,0.3,mean,B
L,0.3,median,B
M,0.2,majority,OR
M,0.2,mean,OR
M,0.2,median,OR
M,0.25,majority,OR
M,0.25,mean,OR
M,0.25,median,OR
M,0.3,majority,OR
M,0.3,mean,OR
M,0.3,median,OR
N,0.2,majority,B
N,0.2,mean,OR
N,0.2,median,B
N,0.25,majority,B
N,0.25,mean,OR
N,0.25,median,B
N,0.3,majority,B
N,0.3,mean,OR
N,0.3,median,B
O,0.2,majority,B
O,0.2,mean,B
O,0.2,median,B
O,0.25,majority,B
O,0.25,mean,B
O,0.25,median,B
O,0.3,majority,B
O,0.3,mean,B
O,0.3,median,B
P,0.2,majority,B
P,0.2,mean,B
P,0.2,median,B
P,0.25,majority,B
P,0.25,mean,B
P,0.25,median,B
P,0.3,majority,B
P,0.3,mean,B
P,0.3,median,B
