target_id,seed,replicates,seed_mode_label,official_label_agreement_rate
A,20260919,200,OR,1.0
A,20260920,200,OR,1.0
A,20260921,200,OR,1.0
B,20260919,200,B,1.0
B,20260920,200,B,1.0
B,20260921,200,B,1.0
C,20260919,200,OR,0.99
C,20260920,200,OR,0.96
C,20260921,200,OR,0.965
D,20260919,200,OR,0.665
D,20260920,200,OR,0.67
D,20260921,200,OR,0.635
E,20260919,200,B,1.0
E,20260920,200,B,1.0
E,20260921,200,B,0.995
F,20260919,200,OR,1.0
F,20260920,200,OR,1.0
F,20260921,200,OR,1.0
G,20260919,200,B,1.0
G,20260920,200,B,1.0
G,20260921,200,B,1.0
H,20260919,200,OR,1.0
H,20260920,200,OR,1.0
H,20260921,200,OR,1.0
I,20260919,200,B,1.0
I,20260920,200,B,1.0
I,20260921,200,B,1.0
J,20260919,200,B,0.97
J,20260920,200,B,0.95
J,20260921,200,B,0.96
K,20260919,200,OR,1.0
K,20260920,200,OR,1.0
K,20260921,200,OR,1.0
L,20260919,200,B,1.0
L,20260920,200,B,1.0
L,20260921,200,B,1.0
M,20260919,200,OR,1.0
M,20260920,200,OR,1.0
M,20260921,200,OR,1.0
N,20260919,200,OR,0.9
N,20260920,200,OR,0.95
N,20260921,200,OR,0.905
O,20260919,200,B,1.0
O,20260920,200,B,1.0
O,20260921,200,B,1.0
P,20260919,200,B,1.0
P,20260920,200,B,1.0
P,20260921,200,B,1.0
