target_id,A0_pred_label,A0_top_model_score,A0_score_margin,A0_score_entropy_norm,A0_window_file_agreement,pred_label,top_model_score,score_margin,score_entropy_norm,window_file_agreement,label_changed_A0_to_T1
A,OR,0.6058800549710871,0.2670227362048006,0.6175506192664855,1.0,OR,0.646649405569338,0.35411699295685795,0.6071265581481449,1.0,False
B,B,0.5606585754985755,0.2161514581714581,0.7071703704332719,1.0,B,0.5395688800088799,0.17333389055389048,0.7129951348071691,1.0,False
C,B,0.48,0.0306666666666666,0.6485049193590803,0.4666666666666667,OR,0.48444444444444446,0.04688888888888887,0.6576858595471716,0.6666666666666666,True
D,B,0.4685884190533313,0.0224622563920809,0.7009334416832615,0.8,OR,0.4543644774328985,0.005407017543859638,0.7159534027872555,0.4666666666666667,True
E,B,0.5011111111111111,0.0506666666666665,0.6146802681577201,1.0,B,0.48177777777777775,0.012888888888888894,0.6170494194756342,0.8,False
F,OR,0.5695301597524793,0.203473942918582,0.6451773882703329,1.0,OR,0.6292316704977636,0.3310706966028829,0.6316413723513649,1.0,False
G,B,0.559248547008547,0.2185121263921263,0.7139320476735344,1.0,B,0.5406836304436304,0.1776980145780146,0.7153500754451214,1.0,False
H,OR,0.7229557065283632,0.5042199176603632,0.5431518259310828,1.0,OR,0.7398812790820155,0.5522709010906638,0.5386447714658534,1.0,False
I,B,0.5546666666666666,0.1742222222222222,0.629056399717568,1.0,B,0.5399999999999999,0.14733333333333326,0.6358498756485114,1.0,False
J,B,0.5211111111111111,0.1046666666666666,0.6330910833261286,0.8,B,0.4895555555555556,0.04600000000000004,0.6428397512901111,0.6666666666666666,False
K,OR,0.7134149277075035,0.4923854109705625,0.5608458632432259,1.0,OR,0.7222155813022746,0.5857644959378826,0.5954500266158487,1.0,False
L,B,0.5372552636577198,0.1616216720965843,0.70299822814414,1.0,B,0.48493469931913946,0.055208463647343886,0.7091529069259866,0.7333333333333333,False
M,OR,0.7281153154862193,0.5062306309724387,0.5295390862760905,1.0,OR,0.6954551847672652,0.5208764712294456,0.6221604745212135,1.0,False
N,OR,0.4770938951652766,0.0233156991676069,0.6506614359546404,0.4,OR,0.5109938371449287,0.09267113868246674,0.652677623688122,0.4666666666666667,False
O,B,0.5619503703703704,0.2396751851851852,0.7299007604736091,1.0,B,0.5663567195767195,0.24359899470899465,0.7229839183553464,1.0,False
P,B,0.4732467736292297,0.030012583777496,0.6984628786045892,0.8,B,0.48905921427500376,0.07412982456140355,0.712917855160121,1.0,False
