target_id,group_id,window_count,score_OR,score_IR,score_B,score_N,pred_label,top_model_score,score_margin,score_entropy_norm,window_file_agreement,A0_pred_label,A0_top_model_score,A0_score_margin,label_changed_A0_to_T1,cross_setting_vote_agreement_rate,cross_setting_vote_label,cross_setting_distinct_labels,bootstrap_official_agreement_rate,bootstrap_min_seed_agreement_rate,bootstrap_seed_modes_agree,mechanism_nearest_before,mechanism_nearest_after,mechanism_distance_to_pred_before,mechanism_distance_to_pred_after,mechanism_pred_distance_over_source_p95,mechanism_similarity_index,mechanism_prediction_agree,three_most_consistent_features,three_largest_deviations,evidence_role,score_evidence_flag,window_stability_evidence_flag,mechanism_evidence_flag,uncertainty_evidence_category_count,uncertainty_flag,uncertainty_reasons,score_interpretation,truth_status,target_accuracy_available
A,target_domain/train_bearing_a_to_p/A.mat,15,0.646649405569338,0.049040404040404044,0.2925324126124801,0.011777777777777778,OR,0.646649405569338,0.35411699295685795,0.6071265581481449,1.0,OR,0.6058800549710871,0.2670227362048006,False,1.0,OR,1,1.0,1.0,True,B,B,3.4365725131475937,2.7150407928661098,2.2637346265441134,0.2691760483277256,False,band_ratio_0_500(|z-diff|=0.071);band_ratio_500_1500(|z-diff|=0.317);envelope_kurtosis(|z-diff|=0.478),spectral_flatness(|z-diff|=6.884);band_ratio_1500_3000(|z-diff|=5.005);spectral_entropy(|z-diff|=2.608),explanatory source-prototype evidence only; not target truth,True,False,True,2,low_trust,"score: top=0.647, margin=0.354, entropy=0.607; source refs q10/top=0.618, q10/margin=0.359, q90/entropy=0.623 | mechanism: nearest=B, predicted=OR, distance/p95=2.264",uncalibrated model scores; not true correctness probabilities,unknown,False
B,target_domain/train_bearing_a_to_p/B.mat,15,0.36623498945498945,0.04419613053613054,0.5395688800088799,0.05,B,0.5395688800088799,0.17333389055389048,0.7129951348071691,1.0,B,0.5606585754985755,0.2161514581714581,False,1.0,B,1,1.0,1.0,True,N,N,3.122168169295897,2.4304026477793417,1.796068367941902,0.2915109690249762,False,band_ratio_500_1500(|z-diff|=0.314);envelope_spectral_entropy(|z-diff|=0.961);rolloff95_hz(|z-diff|=1.057),spectral_flatness(|z-diff|=6.562);band_ratio_1500_3000(|z-diff|=3.264);dominant_frequency_hz(|z-diff|=2.229),explanatory source-prototype evidence only; not target truth,True,False,True,2,low_trust,"score: top=0.540, margin=0.173, entropy=0.713; source refs q10/top=0.618, q10/margin=0.359, q90/entropy=0.623 | mechanism: nearest=N, predicted=B, distance/p95=1.796",uncalibrated model scores; not true correctness probabilities,unknown,False
C,target_domain/train_bearing_a_to_p/C.mat,15,0.48444444444444446,0.078,0.4375555555555556,0.0,OR,0.48444444444444446,0.04688888888888887,0.6576858595471716,0.6666666666666666,B,0.48,0.0306666666666666,True,1.0,OR,1,0.9716666666666667,0.96,True,B,B,3.440009713014462,2.752946375135433,2.295339374195732,0.2664573111476747,False,spectral_centroid_hz(|z-diff|=0.089);band_ratio_0_500(|z-diff|=0.191);envelope_spectral_entropy(|z-diff|=0.437),spectral_flatness(|z-diff|=6.645);band_ratio_1500_3000(|z-diff|=5.317);rolloff95_hz(|z-diff|=2.809),explanatory source-prototype evidence only; not target truth,True,True,True,3,very_low_trust,"score: top=0.484, margin=0.047, entropy=0.658; source refs q10/top=0.618, q10/margin=0.359, q90/entropy=0.623 | window/stability: window=0.667, setting-vote=1.000, bootstrap=0.972 | mechanism: nearest=B, predicted=OR, distance/p95=2.295",uncalibrated model scores; not true correctness probabilities,unknown,False
D,target_domain/train_bearing_a_to_p/D.mat,15,0.4543644774328985,0.07712250712250711,0.44895745988903885,0.019555555555555555,OR,0.4543644774328985,0.005407017543859638,0.7159534027872555,0.4666666666666667,B,0.4685884190533313,0.0224622563920809,True,0.4444444444444444,B,2,0.6566666666666666,0.635,True,B,B,2.9557482123487935,2.413874122534912,2.0126292207685954,0.2929223410432801,False,band_ratio_3000_5500(|z-diff|=0.034);band_ratio_0_500(|z-diff|=0.129);envelope_kurtosis(|z-diff|=0.501),spectral_flatness(|z-diff|=5.560);rolloff95_hz(|z-diff|=3.175);spectral_entropy(|z-diff|=2.858),explanatory source-prototype evidence only; not target truth,True,True,True,3,very_low_trust,"score: top=0.454, margin=0.005, entropy=0.716; source refs q10/top=0.618, q10/margin=0.359, q90/entropy=0.623 | window/stability: window=0.467, setting-vote=0.444, bootstrap=0.657 | mechanism: nearest=B, predicted=OR, distance/p95=2.013",uncalibrated model scores; not true correctness probabilities,unknown,False
E,target_domain/train_bearing_a_to_p/E.mat,15,0.46888888888888886,0.04933333333333333,0.48177777777777775,0.0,B,0.48177777777777775,0.012888888888888894,0.6170494194756342,0.8,B,0.5011111111111111,0.0506666666666665,False,1.0,B,1,0.9983333333333333,0.995,True,B,B,3.1007588243717956,2.4042791740657328,1.7767631121479104,0.29374794159601764,True,band_ratio_500_1500(|z-diff|=0.581);envelope_spectral_entropy(|z-diff|=0.636);band_ratio_0_500(|z-diff|=0.695),spectral_flatness(|z-diff|=6.372);band_ratio_1500_3000(|z-diff|=4.035);zero_cross_rate(|z-diff|=2.219),explanatory source-prototype evidence only; not target truth,True,False,True,2,low_trust,"score: top=0.482, margin=0.013, entropy=0.617; source refs q10/top=0.618, q10/margin=0.359, q90/entropy=0.623 | mechanism: nearest=B, predicted=B, distance/p95=1.777",uncalibrated model scores; not true correctness probabilities,unknown,False
F,target_domain/train_bearing_a_to_p/F.mat,15,0.6292316704977636,0.06038513338513339,0.2981609738948807,0.012222222222222223,OR,0.6292316704977636,0.3310706966028829,0.6316413723513649,1.0,OR,0.5695301597524793,0.203473942918582,False,1.0,OR,1,1.0,1.0,True,B,B,3.252313613981537,2.578097207438755,2.1495544134771296,0.27947815333832476,False,band_ratio_0_500(|z-diff|=0.111);dominant_frequency_hz(|z-diff|=0.211);spectral_centroid_hz(|z-diff|=0.400),spectral_flatness(|z-diff|=6.408);band_ratio_1500_3000(|z-diff|=4.693);rolloff95_hz(|z-diff|=2.945),explanatory source-prototype evidence only; not target truth,True,False,True,2,low_trust,"score: top=0.629, margin=0.331, entropy=0.632; source refs q10/top=0.618, q10/margin=0.359, q90/entropy=0.623 | mechanism: nearest=B, predicted=OR, distance/p95=2.150",uncalibrated model scores; not true correctness probabilities,unknown,False
G,target_domain/train_bearing_a_to_p/G.mat,15,0.36298561586561584,0.04188630924630925,0.5406836304436304,0.05444444444444444,B,0.5406836304436304,0.1776980145780146,0.7153500754451214,1.0,B,0.559248547008547,0.2185121263921263,False,1.0,B,1,1.0,1.0,True,N,N,2.9202536365686247,2.278624008304564,1.6839039027085443,0.3050060017455671,False,band_ratio_500_1500(|z-diff|=0.076);rolloff95_hz(|z-diff|=0.340);envelope_spectral_entropy(|z-diff|=0.934),spectral_flatness(|z-diff|=6.158);dominant_frequency_hz(|z-diff|=2.210);band_ratio_0_500(|z-diff|=2.172),explanatory source-prototype evidence only; not target truth,True,False,True,2,low_trust,"score: top=0.541, margin=0.178, entropy=0.715; source refs q10/top=0.618, q10/margin=0.359, q90/entropy=0.623 | mechanism: nearest=N, predicted=B, distance/p95=1.684",uncalibrated model scores; not true correctness probabilities,unknown,False
I,target_domain/train_bearing_a_to_p/I.mat,15,0.39266666666666666,0.06733333333333333,0.5399999999999999,0.0,B,0.5399999999999999,0.14733333333333326,0.6358498756485114,1.0,B,0.5546666666666666,0.1742222222222222,False,1.0,B,1,1.0,1.0,True,B,B,3.0149850185880127,2.2975491602287357,1.697889596297447,0.30325552445460274,True,envelope_spectral_entropy(|z-diff|=0.039);band_ratio_500_1500(|z-diff|=0.171);spectral_centroid_hz(|z-diff|=0.305),spectral_flatness(|z-diff|=6.684);band_ratio_1500_3000(|z-diff|=3.706);spectral_entropy(|z-diff|=1.918),explanatory source-prototype evidence only; not target truth,True,False,True,2,low_trust,"score: top=0.540, margin=0.147, entropy=0.636; source refs q10/top=0.618, q10/margin=0.359, q90/entropy=0.623 | mechanism: nearest=B, predicted=B, distance/p95=1.698",uncalibrated model scores; not true correctness probabilities,unknown,False
J,target_domain/train_bearing_a_to_p/J.mat,15,0.44355555555555554,0.0668888888888889,0.4895555555555556,0.0,B,0.4895555555555556,0.04600000000000004,0.6428397512901111,0.6666666666666666,B,0.5211111111111111,0.1046666666666666,False,1.0,B,1,0.96,0.95,True,B,B,3.0275727346149925,2.3173194272377344,1.712499830216124,0.30144820899345226,True,band_ratio_500_1500(|z-diff|=0.031);zero_cross_rate(|z-diff|=0.090);envelope_spectral_entropy(|z-diff|=0.222),spectral_flatness(|z-diff|=5.889);band_ratio_1500_3000(|z-diff|=4.924);spectral_entropy(|z-diff|=1.737),explanatory source-prototype evidence only; not target truth,True,True,True,3,very_low_trust,"score: top=0.490, margin=0.046, entropy=0.643; source refs q10/top=0.618, q10/margin=0.359, q90/entropy=0.623 | window/stability: window=0.667, setting-vote=1.000, bootstrap=0.960 | mechanism: nearest=B, predicted=B, distance/p95=1.712",uncalibrated model scores; not true correctness probabilities,unknown,False
L,target_domain/train_bearing_a_to_p/L.mat,15,0.4297262356717956,0.04311684278684279,0.48493469931913946,0.04222222222222223,B,0.48493469931913946,0.055208463647343886,0.7091529069259866,0.7333333333333333,B,0.5372552636577198,0.1616216720965843,False,1.0,B,1,1.0,1.0,True,B,B,3.086306558720266,2.3862623444881863,1.7634486690763485,0.2953108466707248,True,band_ratio_500_1500(|z-diff|=0.519);spectral_rms_hz(|z-diff|=0.642);spectral_centroid_hz(|z-diff|=0.767),spectral_flatness(|z-diff|=6.742);band_ratio_1500_3000(|z-diff|=3.105);envelope_kurtosis(|z-diff|=2.182),explanatory source-prototype evidence only; not target truth,True,True,True,3,very_low_trust,"score: top=0.485, margin=0.055, entropy=0.709; source refs q10/top=0.618, q10/margin=0.359, q90/entropy=0.623 | window/stability: window=0.733, setting-vote=1.000, bootstrap=1.000 | mechanism: nearest=B, predicted=B, distance/p95=1.763",uncalibrated model scores; not true correctness probabilities,unknown,False
