target_id,group_id,pred_label,mechanism_nearest_before,mechanism_nearest_after,mechanism_distance_to_pred_before,mechanism_distance_to_pred_after,mechanism_pred_distance_over_source_p95,mechanism_similarity_index,mechanism_prediction_agree,three_most_consistent_features,three_largest_deviations,evidence_role
A,target_domain/train_bearing_a_to_p/A.mat,OR,B,B,3.4365725131475937,2.7150407928661098,2.2637346265441134,0.2691760483277256,False,band_ratio_0_500(|z-diff|=0.071);band_ratio_500_1500(|z-diff|=0.317);envelope_kurtosis(|z-diff|=0.478),spectral_flatness(|z-diff|=6.884);band_ratio_1500_3000(|z-diff|=5.005);spectral_entropy(|z-diff|=2.608),explanatory source-prototype evidence only; not target truth
B,target_domain/train_bearing_a_to_p/B.mat,B,N,N,3.122168169295897,2.4304026477793417,1.796068367941902,0.2915109690249762,False,band_ratio_500_1500(|z-diff|=0.314);envelope_spectral_entropy(|z-diff|=0.961);rolloff95_hz(|z-diff|=1.057),spectral_flatness(|z-diff|=6.562);band_ratio_1500_3000(|z-diff|=3.264);dominant_frequency_hz(|z-diff|=2.229),explanatory source-prototype evidence only; not target truth
C,target_domain/train_bearing_a_to_p/C.mat,OR,B,B,3.440009713014462,2.752946375135433,2.295339374195732,0.2664573111476747,False,spectral_centroid_hz(|z-diff|=0.089);band_ratio_0_500(|z-diff|=0.191);envelope_spectral_entropy(|z-diff|=0.437),spectral_flatness(|z-diff|=6.645);band_ratio_1500_3000(|z-diff|=5.317);rolloff95_hz(|z-diff|=2.809),explanatory source-prototype evidence only; not target truth
D,target_domain/train_bearing_a_to_p/D.mat,OR,B,B,2.9557482123487935,2.413874122534912,2.0126292207685954,0.2929223410432801,False,band_ratio_3000_5500(|z-diff|=0.034);band_ratio_0_500(|z-diff|=0.129);envelope_kurtosis(|z-diff|=0.501),spectral_flatness(|z-diff|=5.560);rolloff95_hz(|z-diff|=3.175);spectral_entropy(|z-diff|=2.858),explanatory source-prototype evidence only; not target truth
E,target_domain/train_bearing_a_to_p/E.mat,B,B,B,3.1007588243717956,2.4042791740657328,1.7767631121479104,0.29374794159601764,True,band_ratio_500_1500(|z-diff|=0.581);envelope_spectral_entropy(|z-diff|=0.636);band_ratio_0_500(|z-diff|=0.695),spectral_flatness(|z-diff|=6.372);band_ratio_1500_3000(|z-diff|=4.035);zero_cross_rate(|z-diff|=2.219),explanatory source-prototype evidence only; not target truth
F,target_domain/train_bearing_a_to_p/F.mat,OR,B,B,3.252313613981537,2.578097207438755,2.1495544134771296,0.27947815333832476,False,band_ratio_0_500(|z-diff|=0.111);dominant_frequency_hz(|z-diff|=0.211);spectral_centroid_hz(|z-diff|=0.400),spectral_flatness(|z-diff|=6.408);band_ratio_1500_3000(|z-diff|=4.693);rolloff95_hz(|z-diff|=2.945),explanatory source-prototype evidence only; not target truth
G,target_domain/train_bearing_a_to_p/G.mat,B,N,N,2.9202536365686247,2.278624008304564,1.6839039027085443,0.3050060017455671,False,band_ratio_500_1500(|z-diff|=0.076);rolloff95_hz(|z-diff|=0.340);envelope_spectral_entropy(|z-diff|=0.934),spectral_flatness(|z-diff|=6.158);dominant_frequency_hz(|z-diff|=2.210);band_ratio_0_500(|z-diff|=2.172),explanatory source-prototype evidence only; not target truth
H,target_domain/train_bearing_a_to_p/H.mat,OR,IR,IR,2.74063291533982,2.132888353604985,1.7783501571301708,0.3191942664823371,False,band_ratio_0_500(|z-diff|=0.061);band_ratio_500_1500(|z-diff|=0.213);envelope_kurtosis(|z-diff|=0.482),band_ratio_1500_3000(|z-diff|=5.657);spectral_flatness(|z-diff|=3.278);rolloff95_hz(|z-diff|=2.475),explanatory source-prototype evidence only; not target truth
I,target_domain/train_bearing_a_to_p/I.mat,B,B,B,3.0149850185880127,2.2975491602287357,1.697889596297447,0.30325552445460274,True,envelope_spectral_entropy(|z-diff|=0.039);band_ratio_500_1500(|z-diff|=0.171);spectral_centroid_hz(|z-diff|=0.305),spectral_flatness(|z-diff|=6.684);band_ratio_1500_3000(|z-diff|=3.706);spectral_entropy(|z-diff|=1.918),explanatory source-prototype evidence only; not target truth
J,target_domain/train_bearing_a_to_p/J.mat,B,B,B,3.0275727346149925,2.3173194272377344,1.712499830216124,0.30144820899345226,True,band_ratio_500_1500(|z-diff|=0.031);zero_cross_rate(|z-diff|=0.090);envelope_spectral_entropy(|z-diff|=0.222),spectral_flatness(|z-diff|=5.889);band_ratio_1500_3000(|z-diff|=4.924);spectral_entropy(|z-diff|=1.737),explanatory source-prototype evidence only; not target truth
K,target_domain/train_bearing_a_to_p/K.mat,OR,N,N,2.6135268114002037,2.0617988548245245,1.7190774712847723,0.32660538703392755,False,spectral_entropy(|z-diff|=0.158);band_ratio_0_500(|z-diff|=0.226);envelope_spectral_entropy(|z-diff|=0.293),band_ratio_1500_3000(|z-diff|=5.128);band_ratio_3000_5500(|z-diff|=2.756);spectral_flatness(|z-diff|=2.580),explanatory source-prototype evidence only; not target truth
