target_id,pred_label_recomputed,pred_label_10A,max_score_abs_diff
A,OR,OR,7.806255641895632e-17
B,B,B,2.220446049250313e-16
C,OR,OR,5.551115123125783e-17
D,OR,OR,1.1102230246251565e-16
E,B,B,1.1102230246251565e-16
F,OR,OR,8.326672684688674e-17
G,B,B,5.551115123125783e-17
H,OR,OR,1.1102230246251565e-16
I,B,B,1.1102230246251565e-16
J,B,B,1.1102230246251565e-16
K,OR,OR,8.326672684688674e-17
L,B,B,1.1102230246251565e-16
M,OR,OR,4.163336342344337e-17
N,OR,OR,1.1102230246251565e-16
O,B,B,1.1102230246251565e-16
P,B,B,5.551115123125783e-17
