feature,source_standardized_mean_gap_before,source_standardized_mean_gap_after,gap_change,relative_reduction,rank_before
peak_abs,37.8066762576362,28.35500719322714,-9.451669064409057,0.25000000000000017,1
peak_to_peak,36.132757614870364,27.099568211152768,-9.033189403717596,0.25000000000000017,2
mean_abs,34.08387791453944,25.562908435904586,-8.520969478634857,0.2499999999999999,3
std,27.136676289465704,20.352507217099284,-6.784169072366421,0.2499999999999998,4
envelope_rms,27.13667246768237,20.35250435076178,-6.78416811692059,0.2499999999999999,5
rms,27.12748193320321,20.345611449902407,-6.781870483300803,0.25000000000000006,6
spectral_flatness,7.274099514970025,5.455574636227518,-1.8185248787425072,0.2500000000000001,7
band_ratio_1500_3000,5.31784483266972,3.9883836245022897,-1.3294612081674302,0.25000000000000006,8
mean,2.7537740990427224,2.0653305742820414,-0.688443524760681,0.25000000000000017,9
spectral_entropy,2.592835962467437,1.944626971850576,-0.6482089906168609,0.25000000000000067,10
rolloff95_hz,2.4917441467785215,1.86880811008389,-0.6229360366946315,0.25000000000000044,11
band_ratio_3000_5500,1.868343042963005,1.401257282222254,-0.46708576074075103,0.2499999999999999,12
envelope_spectral_entropy,1.2119611097931022,0.9089708323448269,-0.30299027744827534,0.2499999999999998,13
dominant_frequency_hz,0.819007664096764,0.614255748072573,-0.20475191602419096,0.24999999999999997,14
shape_factor,0.5811119795775216,0.43583398468314277,-0.14527799489437881,0.24999999999999728,15
spectral_centroid_hz,0.5158124299809668,0.38685932248572563,-0.12895310749524114,0.24999999999999892,16
zero_cross_rate,0.4539611165910558,0.34047083744329104,-0.11349027914776477,0.2500000000000018,17
crest_factor,0.3679685491454018,0.2759764118590507,-0.09199213728635108,0.2500000000000017,18
spectral_rms_hz,0.3112592958797905,0.23344447190984366,-0.07781482396994685,0.2499999999999975,19
band_ratio_500_1500,0.3012075902204002,0.22590569266530036,-0.07530189755509986,0.24999999999999936,20
band_ratio_0_500,0.22508425963739084,0.16881319472804332,-0.056271064909347523,0.24999999999999917,21
skewness,0.20479933733993452,0.15359950300495093,-0.051199834334983596,0.24999999999999983,22
envelope_kurtosis,0.20240363981810702,0.1518027298635801,-0.05060090995452693,0.25000000000000083,23
impulse_factor,0.18211255614864308,0.13658441711148167,-0.04552813903716141,0.2500000000000035,24
clearance_factor,0.08464310045442157,0.06348232534081569,-0.02116077511360588,0.2500000000000058,25
kurtosis,0.05108021036785372,0.03831015777589043,-0.012770052591963288,0.24999999999999722,26
