target_id,official_label,loto_label,same_label,loto_score_OR,loto_score_IR,loto_score_B,loto_score_N,loto_top_score,loto_margin,official_top_score,official_margin,top_score_delta
A,OR,OR,True,0.6404918298117621,0.04904040404040406,0.29780109948116695,0.012666666666666668,0.6404918298117621,0.34269073033059516,0.646649405569338,0.3541169929568579,-0.006157575757575917
B,B,B,True,0.36140056462056463,0.04419043253043254,0.5446312250712251,0.04977777777777778,0.5446312250712251,0.18323066045066044,0.5395688800088799,0.1733338905538904,0.005062345062345153
C,OR,OR,True,0.486888888888889,0.08022222222222221,0.4328888888888888,0.0,0.486888888888889,0.05400000000000016,0.4844444444444444,0.0468888888888888,0.0024444444444445823
D,OR,B,False,0.42364225521067633,0.07845584045584045,0.4781241265557055,0.01977777777777778,0.4781241265557055,0.05448187134502919,0.4543644774328985,0.0054070175438596,0.023759649122807036
E,B,B,True,0.4691111111111111,0.04844444444444444,0.4824444444444445,0.0,0.4824444444444445,0.01333333333333342,0.4817777777777777,0.0128888888888888,0.0006666666666668153
F,OR,OR,True,0.6204495009917845,0.06126262626262626,0.3060656505233668,0.012222222222222223,0.6204495009917845,0.3143838504684177,0.6292316704977636,0.3310706966028829,-0.008782169505979098
G,B,B,True,0.3587059862359862,0.04169186480186479,0.5420465934065936,0.057555555555555554,0.5420465934065936,0.18334060717060735,0.5406836304436304,0.1776980145780146,0.0013629629629631212
H,OR,OR,True,0.7468251735825767,0.06784500959329942,0.1786631501574572,0.006666666666666665,0.7468251735825767,0.5681620234251195,0.7398812790820155,0.5522709010906638,0.00694389450056121
I,B,B,True,0.39777777777777784,0.07,0.5322222222222223,0.0,0.5322222222222223,0.13444444444444442,0.5399999999999999,0.1473333333333332,-0.007777777777777661
J,B,B,True,0.4493333333333334,0.068,0.48266666666666663,0.0,0.48266666666666663,0.033333333333333215,0.4895555555555556,0.046,-0.006888888888888944
K,OR,OR,True,0.7282874767271112,0.126,0.13326807882844427,0.012444444444444445,0.7282874767271112,0.595019397898667,0.7222155813022746,0.5857644959378826,0.00607189542483666
L,B,B,True,0.425221185166745,0.0431168427868428,0.48966197204641215,0.04200000000000001,0.48966197204641215,0.06444078687966714,0.4849346993191394,0.0552084636473438,0.004727272727272747
M,OR,OR,True,0.6976774069894875,0.11864406779661016,0.17167852521390245,0.012,0.6976774069894875,0.5259988817755851,0.6954551847672652,0.5208764712294456,0.0022222222222223476
N,OR,OR,True,0.512853096404188,0.0684612421703871,0.4164634392032027,0.0022222222222222222,0.512853096404188,0.09638965720098525,0.5109938371449287,0.0926711386824667,0.0018592592592592272
O,B,B,True,0.32186883597883603,0.038218888888888886,0.5672456084656085,0.07266666666666668,0.5672456084656085,0.24537677248677242,0.5663567195767195,0.2435989947089946,0.000888888888888939
P,B,B,True,0.3927912130754236,0.07667236467236467,0.5109808666966562,0.019555555555555555,0.5109808666966562,0.11818965362123263,0.4890592142750037,0.0741298245614035,0.021921652421652504
