target_id,bootstrap_runs,official_label,label_retention_rate,top_score_median,top_score_q05,top_score_q95,margin_median,margin_q05,margin_q95
A,120,OR,0.975,0.6493333333333333,0.4762526797385621,0.7901415873015872,0.3739365079365079,0.07965376344086021,0.6323659776055125
B,120,B,0.7,0.5292919627909642,0.4379811881281112,0.6508395061728395,0.17964216581979592,0.031325925925925854,0.3952912947135169
C,120,OR,0.5416666666666666,0.5127777777777778,0.4508777777777778,0.6461911111111112,0.11114939939939941,0.008555927051671778,0.3601800000000001
D,120,OR,0.38333333333333336,0.5186666666666667,0.4453759752284753,0.6377847158218125,0.15523492063492061,0.012577777777777783,0.3806981481481482
E,120,B,0.625,0.509,0.44467777777777784,0.6194333333333334,0.09855555555555556,0.0170825396825397,0.33848888888888884
F,120,OR,0.875,0.6047115703889898,0.46565970548653624,0.7254273990241258,0.30021249003814854,0.04726187308546145,0.5013544544544545
G,120,B,0.7333333333333333,0.5278695317013093,0.39131971781305114,0.6528450854700855,0.20374142155438407,0.02059180896790653,0.4037463374485596
H,120,OR,0.9833333333333333,0.7042510284576211,0.49128777833703835,0.8321265212573502,0.5071918248983499,0.16751674718196455,0.7197607779969417
I,120,B,0.8916666666666667,0.5616666666666666,0.45321111111111106,0.74189975,0.17844444444444443,0.018844444444444455,0.5206657222222223
J,120,B,0.6666666666666666,0.5246666666666666,0.4553888888888889,0.6560413333333334,0.10633333333333336,0.008666666666666724,0.3913191111111111
K,120,OR,0.9916666666666667,0.6707527852551072,0.4940045811595812,0.7871222222222223,0.4833895626125838,0.1971975476855193,0.667877317620651
L,120,B,0.5833333333333334,0.5209744482333997,0.4364416465271637,0.6440605246913581,0.15046419265114916,0.015729365079365003,0.36888244446790514
M,120,OR,0.9916666666666667,0.6360113685011226,0.4488002264058836,0.7902333333333332,0.43570934959349594,0.10244989027489025,0.6592111111111109
N,120,OR,0.7416666666666667,0.5179917134456027,0.43591774112580045,0.6082771693372689,0.1332527228871347,0.018495354537821206,0.27811440435726753
O,120,B,0.7583333333333333,0.5219567970204841,0.38879261220580186,0.6855494935582079,0.18574607563135115,0.03146375420652972,0.4738161427607263
P,120,B,0.7166666666666667,0.5368117958294429,0.45595019157088124,0.6636333333333333,0.17633333333333334,0.03186296296296286,0.42047482103952694
