target_id,pred_label,score_OR,score_IR,score_B,score_N,top_model_score,score_margin,window_file_agreement,cross_setting_vote_agreement_rate,bootstrap_official_agreement_rate,uncertainty_flag,truth_status,loto_label,same_label,label_retention_rate,top_score_q05,top_score_q95,margin_q05,margin_q95,score_identity,final_answer_identity,score_OR_display,score_IR_display,score_B_display,score_N_display,top_model_score_display,score_margin_display
A,OR,0.646649405569338,0.049040404040404,0.2925324126124801,0.0117777777777777,0.646649405569338,0.3541169929568579,1.0,1.0,1.0,low_trust,unknown,OR,True,0.975,0.4762526797385621,0.7901415873015872,0.0796537634408602,0.6323659776055125,uncalibrated model score; not true correctness probability,10-A official prediction; revalidated by 12-A2; no manual adjustment,0.647,0.049,0.293,0.012,0.647,0.354
B,B,0.3662349894549894,0.0441961305361305,0.5395688800088799,0.05,0.5395688800088799,0.1733338905538904,1.0,1.0,1.0,low_trust,unknown,B,True,0.7,0.4379811881281112,0.6508395061728395,0.0313259259259258,0.3952912947135169,uncalibrated model score; not true correctness probability,10-A official prediction; revalidated by 12-A2; no manual adjustment,0.366,0.044,0.540,0.050,0.540,0.173
C,OR,0.4844444444444444,0.078,0.4375555555555556,0.0,0.4844444444444444,0.0468888888888888,0.6666666666666666,1.0,0.9716666666666668,very_low_trust,unknown,OR,True,0.5416666666666666,0.4508777777777778,0.6461911111111112,0.0085559270516717,0.3601800000000001,uncalibrated model score; not true correctness probability,10-A official prediction; revalidated by 12-A2; no manual adjustment,0.484,0.078,0.438,0.000,0.484,0.047
D,OR,0.4543644774328985,0.0771225071225071,0.4489574598890388,0.0195555555555555,0.4543644774328985,0.0054070175438596,0.4666666666666667,0.4444444444444444,0.6566666666666666,very_low_trust,unknown,B,False,0.3833333333333333,0.4453759752284753,0.6377847158218125,0.0125777777777777,0.3806981481481482,uncalibrated model score; not true correctness probability,10-A official prediction; revalidated by 12-A2; no manual adjustment,0.454,0.077,0.449,0.020,0.454,0.005
E,B,0.4688888888888888,0.0493333333333333,0.4817777777777777,0.0,0.4817777777777777,0.0128888888888888,0.8,1.0,0.9983333333333332,low_trust,unknown,B,True,0.625,0.4446777777777778,0.6194333333333334,0.0170825396825397,0.3384888888888888,uncalibrated model score; not true correctness probability,10-A official prediction; revalidated by 12-A2; no manual adjustment,0.469,0.049,0.482,0.000,0.482,0.013
F,OR,0.6292316704977636,0.0603851333851333,0.2981609738948807,0.0122222222222222,0.6292316704977636,0.3310706966028829,1.0,1.0,1.0,low_trust,unknown,OR,True,0.875,0.4656597054865362,0.7254273990241258,0.0472618730854614,0.5013544544544545,uncalibrated model score; not true correctness probability,10-A official prediction; revalidated by 12-A2; no manual adjustment,0.629,0.060,0.298,0.012,0.629,0.331
G,B,0.3629856158656158,0.0418863092463092,0.5406836304436304,0.0544444444444444,0.5406836304436304,0.1776980145780146,1.0,1.0,1.0,low_trust,unknown,B,True,0.7333333333333333,0.3913197178130511,0.6528450854700855,0.0205918089679065,0.4037463374485596,uncalibrated model score; not true correctness probability,10-A official prediction; revalidated by 12-A2; no manual adjustment,0.363,0.042,0.541,0.054,0.541,0.178
H,OR,0.7398812790820155,0.0669527873710772,0.1876103779913517,0.0055555555555555,0.7398812790820155,0.5522709010906638,1.0,1.0,1.0,watch,unknown,OR,True,0.9833333333333332,0.4912877783370383,0.8321265212573502,0.1675167471819645,0.7197607779969417,uncalibrated model score; not true correctness probability,10-A official prediction; revalidated by 12-A2; no manual adjustment,0.740,0.067,0.188,0.006,0.740,0.552
I,B,0.3926666666666666,0.0673333333333333,0.5399999999999999,0.0,0.5399999999999999,0.1473333333333332,1.0,1.0,1.0,low_trust,unknown,B,True,0.8916666666666667,0.453211111111111,0.74189975,0.0188444444444444,0.5206657222222223,uncalibrated model score; not true correctness probability,10-A official prediction; revalidated by 12-A2; no manual adjustment,0.393,0.067,0.540,0.000,0.540,0.147
J,B,0.4435555555555555,0.0668888888888889,0.4895555555555556,0.0,0.4895555555555556,0.046,0.6666666666666666,1.0,0.96,very_low_trust,unknown,B,True,0.6666666666666666,0.4553888888888889,0.6560413333333334,0.0086666666666667,0.3913191111111111,uncalibrated model score; not true correctness probability,10-A official prediction; revalidated by 12-A2; no manual adjustment,0.444,0.067,0.490,0.000,0.490,0.046
K,OR,0.7222155813022746,0.1288888888888889,0.1364510853643919,0.0124444444444444,0.7222155813022746,0.5857644959378826,1.0,1.0,1.0,watch,unknown,OR,True,0.9916666666666668,0.4940045811595812,0.7871222222222223,0.1971975476855193,0.667877317620651,uncalibrated model score; not true correctness probability,10-A official prediction; revalidated by 12-A2; no manual adjustment,0.722,0.129,0.136,0.012,0.722,0.586
