number_id,question,name,exact_value,display_value,unit,sample_scope,display_decimals,source_path,run_id,final_data_lineage_id,final_code_bundle_id,model_artifact_id,conclusion
Q1-N-SRC,Q1,source independent files,49.0,49,files,49 independent source files,0,protocol/04A/latest_freeze_package.json,run_04-A_20260919T182731095541Z_8ac2c328_3e3b97c0,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,,冻结源MVP样本口径
Q1-N-TGT,Q1,target independent files,16.0,16,files,16 target A-P files,0,protocol/04A/latest_freeze_package.json,run_04-A_20260919T182731095541Z_8ac2c328_3e3b97c0,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,,目标域A-P口径
Q1-W-SRC,Q1,source windows,733.0,733,windows,49 source files,0,protocol/04A/latest_freeze_package.json,run_04-A_20260919T182731095541Z_8ac2c328_3e3b97c0,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,,1s/50%冻结主配置产生733窗
Q1-W-TGT,Q1,target windows,240.0,240,windows,16 target files,0,protocol/04A/latest_freeze_package.json,run_04-A_20260919T182731095541Z_8ac2c328_3e3b97c0,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,,15窗/文件，共240窗
Q1-FEAT,Q1,common feature count,26.0,26,features,common target-compatible feature interface,0,protocol/04A/latest_freeze_package.json,run_04-A_20260919T182731095541Z_8ac2c328_3e3b97c0,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,,最终公共输入26维
Q1-WIN-MIN,Q1,window sensitivity min Macro-F1,0.9508739837398374,0.9509,Macro-F1,6 frozen window settings,4,protocol/12A2/latest_freeze_package.json,run_12-A2_20260920T162707032450Z_88add8e8_f107c2fa,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,MODEL-SOURCE-4ee408ac96054e3b,合理窗口设置下结论未翻转
Q1-WIN-MAX,Q1,window sensitivity max Macro-F1,0.9672619047619048,0.9673,Macro-F1,6 frozen window settings,4,protocol/12A2/latest_freeze_package.json,run_12-A2_20260920T162707032450Z_88add8e8_f107c2fa,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,MODEL-SOURCE-4ee408ac96054e3b,不据此宣称1s/50%最优
Q2-BASE,Q2,baseline pooled OOF Macro-F1,0.8184523809523809,0.8185,Macro-F1,"49 files, grouped OOF",4,protocol/06A/latest_freeze_package.json,run_06-A_20260920T035742210347Z_b83cb3a6_01576948,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,,LR基线
Q2-DEV,Q2,H1_RF development pooled OOF Macro-F1,0.9675,0.9675,Macro-F1,"49 files, 4 paired outer folds; development evidence",4,protocol/12A1/latest_freeze_package.json,run_12-A1_20260920T155834545736Z_ea78ae62_5e3e74e2,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,MODEL-SOURCE-4ee408ac96054e3b,开发阶段配对OOF，不称完全独立终测
Q2-ORTHO,Q2,fixed H1_RF orthogonal load-holdout Macro-F1,0.9508739837398374,0.9509,Macro-F1,49 independent files; leave-one-load-out,4,protocol/12A2/latest_freeze_package.json,run_12-A2_20260920T162707032450Z_88add8e8_f107c2fa,LINEAGE-13A1-f5806e9190565028,GIT-STEP12-10c78f5c5e6f8d7a5ea5b9892ecd6eaffe8228ac,MODEL-SOURCE-4ee408ac96054e3b,P0-01关闭的独立跨载荷证据
