target_id,bootstrap_runs,official_label,label_retention_rate,top_score_median,top_score_q05,top_score_q95,margin_median,margin_q05,margin_q95,loto_label,same_label,top_score_delta
A,120,OR,0.975,0.6493333333333333,0.4762526797385621,0.7901415873015872,0.3739365079365079,0.0796537634408602,0.6323659776055125,OR,True,-0.0061575757575759
B,120,B,0.7,0.5292919627909642,0.4379811881281112,0.6508395061728395,0.1796421658197959,0.0313259259259258,0.3952912947135169,B,True,0.0050623450623451
C,120,OR,0.5416666666666666,0.5127777777777778,0.4508777777777778,0.6461911111111112,0.1111493993993994,0.0085559270516717,0.3601800000000001,OR,True,0.0024444444444445
D,120,OR,0.3833333333333333,0.5186666666666667,0.4453759752284753,0.6377847158218125,0.1552349206349206,0.0125777777777777,0.3806981481481482,B,False,0.023759649122807
E,120,B,0.625,0.509,0.4446777777777778,0.6194333333333334,0.0985555555555555,0.0170825396825397,0.3384888888888888,B,True,0.0006666666666668
F,120,OR,0.875,0.6047115703889898,0.4656597054865362,0.7254273990241258,0.3002124900381485,0.0472618730854614,0.5013544544544545,OR,True,-0.008782169505979
G,120,B,0.7333333333333333,0.5278695317013093,0.3913197178130511,0.6528450854700855,0.203741421554384,0.0205918089679065,0.4037463374485596,B,True,0.0013629629629631
H,120,OR,0.9833333333333332,0.7042510284576211,0.4912877783370383,0.8321265212573502,0.5071918248983499,0.1675167471819645,0.7197607779969417,OR,True,0.0069438945005612
I,120,B,0.8916666666666667,0.5616666666666666,0.453211111111111,0.74189975,0.1784444444444444,0.0188444444444444,0.5206657222222223,B,True,-0.0077777777777776
J,120,B,0.6666666666666666,0.5246666666666666,0.4553888888888889,0.6560413333333334,0.1063333333333333,0.0086666666666667,0.3913191111111111,B,True,-0.0068888888888889
K,120,OR,0.9916666666666668,0.6707527852551072,0.4940045811595812,0.7871222222222223,0.4833895626125838,0.1971975476855193,0.667877317620651,OR,True,0.0060718954248366
L,120,B,0.5833333333333334,0.5209744482333997,0.4364416465271637,0.6440605246913581,0.1504641926511491,0.015729365079365,0.3688824444679051,B,True,0.0047272727272727
M,120,OR,0.9916666666666668,0.6360113685011226,0.4488002264058836,0.7902333333333332,0.4357093495934959,0.1024498902748902,0.6592111111111109,OR,True,0.0022222222222223
N,120,OR,0.7416666666666667,0.5179917134456027,0.4359177411258004,0.6082771693372689,0.1332527228871347,0.0184953545378212,0.2781144043572675,OR,True,0.0018592592592592
O,120,B,0.7583333333333333,0.5219567970204841,0.3887926122058018,0.6855494935582079,0.1857460756313511,0.0314637542065297,0.4738161427607263,B,True,0.0008888888888889
P,120,B,0.7166666666666667,0.5368117958294429,0.4559501915708812,0.6636333333333333,0.1763333333333333,0.0318629629629628,0.4204748210395269,B,True,0.0219216524216525
