sample_id,stage,frequency_hz,psd,view_cn
B_difficult_B014_2,primary_processed,0.0,1.7173451223256404e-08,主信号功率谱
B_difficult_B014_2,primary_processed,2.9296875,1.0377052185466006e-08,主信号功率谱
B_difficult_B014_2,primary_processed,5.859375,1.471779116753178e-09,主信号功率谱
B_difficult_B014_2,primary_processed,8.7890625,8.410020411557477e-09,主信号功率谱
B_difficult_B014_2,primary_processed,11.71875,1.618696683216772e-08,主信号功率谱
B_difficult_B014_2,primary_processed,14.6484375,2.694778631563734e-09,主信号功率谱
B_difficult_B014_2,primary_processed,17.578125,1.350598808216237e-09,主信号功率谱
B_difficult_B014_2,primary_processed,20.5078125,5.68822881153296e-09,主信号功率谱
B_difficult_B014_2,primary_processed,23.4375,6.220098293427241e-09,主信号功率谱
B_difficult_B014_2,primary_processed,26.3671875,2.253127284625005e-07,主信号功率谱
B_difficult_B014_2,primary_processed,29.296875,8.514878868281807e-07,主信号功率谱
B_difficult_B014_2,primary_processed,32.2265625,2.0154602883115877e-07,主信号功率谱
B_difficult_B014_2,primary_processed,35.15625,1.461562020088332e-09,主信号功率谱
B_difficult_B014_2,primary_processed,38.0859375,3.1747286765987565e-10,主信号功率谱
B_difficult_B014_2,primary_processed,41.015625,3.3721513104201955e-10,主信号功率谱
B_difficult_B014_2,primary_processed,43.9453125,3.8520374143004937e-10,主信号功率谱
B_difficult_B014_2,primary_processed,46.875,3.1738515011039726e-10,主信号功率谱
B_difficult_B014_2,primary_processed,49.8046875,3.0915435277609305e-10,主信号功率谱
B_difficult_B014_2,primary_processed,52.734375,3.830367189230888e-10,主信号功率谱
B_difficult_B014_2,primary_processed,55.6640625,1.3526280579294589e-08,主信号功率谱
B_difficult_B014_2,primary_processed,58.59375,6.498260102755589e-08,主信号功率谱
B_difficult_B014_2,primary_processed,61.5234375,3.02214545808424e-08,主信号功率谱
B_difficult_B014_2,primary_processed,64.453125,1.598824583013289e-09,主信号功率谱
B_difficult_B014_2,primary_processed,67.3828125,1.5325993122986986e-09,主信号功率谱
