load,seed,method,setting,macro_f1,accuracy,min_class_recall
0,20260919,A0,0.0,0.9307692307692308,0.9230769230769232,0.6666666666666666
1,20260919,A0,0.0,0.9365079365079364,0.9166666666666666,0.8
2,20260919,A0,0.0,0.9365079365079364,0.9166666666666666,0.8
3,20260919,A0,0.0,1.0,1.0,1.0
0,20260919,T1,0.25,0.9307692307692308,0.9230769230769232,0.6666666666666666
1,20260919,T1,0.25,0.9365079365079364,0.9166666666666666,0.8
2,20260919,T1,0.25,0.9365079365079364,0.9166666666666666,0.8
3,20260919,T1,0.25,1.0,1.0,1.0
0,20260919,T2,1.0,0.4034090909090909,0.4615384615384615,0.0
1,20260919,T2,1.0,0.9272727272727272,0.9166666666666666,0.6666666666666666
2,20260919,T2,1.0,0.7928571428571429,0.75,0.6666666666666666
0,20260919,T3,2.0,0.9307692307692308,0.9230769230769232,0.6666666666666666
1,20260919,T3,2.0,0.9365079365079364,0.9166666666666666,0.8
2,20260919,T3,2.0,0.9365079365079364,0.9166666666666666,0.8
